"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-2"	"ta:ka:ka"	"19-C-20-4"	"19"	"C"	"20"	"4"	1	"Training"	1	1	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"nalala"	"71-J-0-1"	"71"	"J"	"0"	"1"	2	"Training"	1	2	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"na:lana"	"84-J-0-2"	"84"	"J"	"0"	"2"	3	"Training"	1	3	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"pakata"	"86-C-30-1"	"86"	"C"	"30"	"1"	4	"Training"	1	4	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"tapaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	5	"Training"	1	5	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"na:mala"	"7-J-10-4"	"7"	"J"	"10"	"4"	6	"Training"	1	6	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"namala"	"139-J-0-2"	"139"	"J"	"0"	"2"	7	"Training"	1	7	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"ta:pa:ta"	"139-C-20-2"	"139"	"C"	"20"	"2"	8	"Training"	1	8	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"tapata"	"7-C-20-4"	"7"	"C"	"20"	"4"	9	"Training"	1	9	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"ta:pata"	"71-C-30-1"	"71"	"C"	"30"	"1"	10	"Training"	1	10	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"ma:lala"	"86-J-0-1"	"86"	"J"	"0"	"1"	11	"Training"	1	11	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"pa:ka:ta"	"111-C-30-3"	"111"	"C"	"30"	"3"	12	"Training"	1	12	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"malana"	"19-J-10-4"	"19"	"J"	"10"	"4"	13	"Training"	1	13	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"nalana"	"111-J-10-3"	"111"	"J"	"10"	"3"	14	"Training"	1	14	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"pa:ka:ka"	"44-C-30-3"	"44"	"C"	"30"	"3"	15	"Training"	1	15	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"nama:la"	"44-J-10-3"	"44"	"J"	"10"	"3"	16	"Training"	1	16	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"pakata"	"86-C-30-1"	"86"	"C"	"30"	"1"	17	"Training"	2	1	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"pa:ka:ka"	"44-C-30-3"	"44"	"C"	"30"	"3"	18	"Training"	2	2	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"pa:ka:ta"	"111-C-30-3"	"111"	"C"	"30"	"3"	19	"Training"	2	3	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"ta:pa:ta"	"139-C-20-2"	"139"	"C"	"20"	"2"	20	"Training"	2	4	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"tapata"	"7-C-20-4"	"7"	"C"	"20"	"4"	21	"Training"	2	5	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"na:lana"	"84-J-0-2"	"84"	"J"	"0"	"2"	22	"Training"	2	6	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"nalana"	"111-J-10-3"	"111"	"J"	"10"	"3"	23	"Training"	2	7	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"ma:lala"	"86-J-0-1"	"86"	"J"	"0"	"1"	24	"Training"	2	8	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"ta:pata"	"71-C-30-1"	"71"	"C"	"30"	"1"	25	"Training"	2	9	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"nama:la"	"44-J-10-3"	"44"	"J"	"10"	"3"	26	"Training"	2	10	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"malana"	"19-J-10-4"	"19"	"J"	"10"	"4"	27	"Training"	2	11	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"namala"	"139-J-0-2"	"139"	"J"	"0"	"2"	28	"Training"	2	12	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"nalala"	"71-J-0-1"	"71"	"J"	"0"	"1"	29	"Training"	2	13	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"ta:ka:ka"	"19-C-20-4"	"19"	"C"	"20"	"4"	30	"Training"	2	14	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"na:mala"	"7-J-10-4"	"7"	"J"	"10"	"4"	31	"Training"	2	15	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"tapaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	32	"Training"	2	16	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"ta:pata"	"71-C-30-1"	"71"	"C"	"30"	"1"	33	"Training"	3	1	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"malana"	"19-J-10-4"	"19"	"J"	"10"	"4"	34	"Training"	3	2	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"ta:ka:ka"	"19-C-20-4"	"19"	"C"	"20"	"4"	35	"Training"	3	3	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"ta:pa:ta"	"139-C-20-2"	"139"	"C"	"20"	"2"	36	"Training"	3	4	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"nalana"	"111-J-10-3"	"111"	"J"	"10"	"3"	37	"Training"	3	5	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"pa:ka:ta"	"111-C-30-3"	"111"	"C"	"30"	"3"	38	"Training"	3	6	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"ma:lala"	"86-J-0-1"	"86"	"J"	"0"	"1"	39	"Training"	3	7	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"pa:ka:ka"	"44-C-30-3"	"44"	"C"	"30"	"3"	40	"Training"	3	8	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"nama:la"	"44-J-10-3"	"44"	"J"	"10"	"3"	41	"Training"	3	9	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"na:lana"	"84-J-0-2"	"84"	"J"	"0"	"2"	42	"Training"	3	10	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"tapata"	"7-C-20-4"	"7"	"C"	"20"	"4"	43	"Training"	3	11	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"na:mala"	"7-J-10-4"	"7"	"J"	"10"	"4"	44	"Training"	3	12	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"namala"	"139-J-0-2"	"139"	"J"	"0"	"2"	45	"Training"	3	13	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"pakata"	"86-C-30-1"	"86"	"C"	"30"	"1"	46	"Training"	3	14	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"nalala"	"71-J-0-1"	"71"	"J"	"0"	"1"	47	"Training"	3	15	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"tapaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	48	"Training"	3	16	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"pakata"	"86-C-30-1"	"86"	"C"	"30"	"1"	49	"Training"	4	1	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"pa:ka:ka"	"44-C-30-3"	"44"	"C"	"30"	"3"	50	"Training"	4	2	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"ta:pa:ta"	"139-C-20-2"	"139"	"C"	"20"	"2"	51	"Training"	4	3	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"nalala"	"71-J-0-1"	"71"	"J"	"0"	"1"	52	"Training"	4	4	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"namala"	"139-J-0-2"	"139"	"J"	"0"	"2"	53	"Training"	4	5	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"ta:ka:ka"	"19-C-20-4"	"19"	"C"	"20"	"4"	54	"Training"	4	6	"5"	"P"	"Up"	"40"	"38"	"J"	"38"
"1-2"	"nama:la"	"44-J-10-3"	"44"	"J"	"10"	"3"	55	"Training"	4	7	"5"	"S"	"Up"	"40"	"38"	"J"	"40"
"1-2"	"ta:pata"	"71-C-30-1"	"71"	"C"	"30"	"1"	56	"Training"	4	8	"5"	"P"	"Left"	"39"	"37"	"J"	"37"
"1-2"	"tapaka"	"84-C-20-2"	"84"	"C"	"20"	"2"	57	"Training"	4	9	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"na:lana"	"84-J-0-2"	"84"	"J"	"0"	"2"	58	"Training"	4	10	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"nalana"	"111-J-10-3"	"111"	"J"	"10"	"3"	59	"Training"	4	11	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"pa:ka:ta"	"111-C-30-3"	"111"	"C"	"30"	"3"	60	"Training"	4	12	"5"	"P"	"Right"	"37"	"39"	"J"	"39"
"1-2"	"tapata"	"7-C-20-4"	"7"	"C"	"20"	"4"	61	"Training"	4	13	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
"1-2"	"malana"	"19-J-10-4"	"19"	"J"	"10"	"4"	62	"Training"	4	14	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"na:mala"	"7-J-10-4"	"7"	"J"	"10"	"4"	63	"Training"	4	15	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"ma:lala"	"86-J-0-1"	"86"	"J"	"0"	"1"	64	"Training"	4	16	"5"	"S"	"Left"	"39"	"37"	"J"	"39"
"1-2"	"ma:lala"	"86-J-0-1"	"86"	"J"	"0"	"1"	65	"Training"	5	1	"5"	"S"	"Right"	"37"	"39"	"J"	"37"
"1-2"	"na:mala"	"7-J-10-4"	"7"	"J"	"10"	"4"	66	"Training"	5	2	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"nalana"	"111-J-10-3"	"111"	"J"	"10"	"3"	67	"Training"	5	3	"5"	"S"	"Down"	"38"	"40"	"J"	"38"
"1-2"	"ta:pa:ta"	"139-C-20-2"	"139"	"C"	"20"	"2"	68	"Training"	5	4	"5"	"P"	"Down"	"38"	"40"	"J"	"40"
