"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"3-5"	"fafava"	"27-C-30-1"	"27"	"C"	"30"	"1"	1	"Training"	1	1	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-5"	"vafava"	"102-C-20-4"	"102"	"C"	"20"	"4"	2	"Training"	1	2	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-5"	"sa:saha"	"57-J-0-1"	"57"	"J"	"0"	"1"	3	"Training"	1	3	"6B"	"C2"	"Left"	"39"	"37"	"J"	"39"
"3-5"	"zahaza"	"102-J-10-4"	"102"	"J"	"10"	"4"	4	"Training"	1	4	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-5"	"zasa:ha"	"74-J-10-4"	"74"	"J"	"10"	"4"	5	"Training"	1	5	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-5"	"va:shasha"	"85-C-20-2"	"85"	"C"	"20"	"2"	6	"Training"	1	6	"6B"	"C1"	"Up"	"40"	"38"	"J"	"38"
"3-5"	"va:fa:sha"	"144-C-30-3"	"144"	"C"	"30"	"3"	7	"Training"	1	7	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-5"	"sa:ha:ha"	"27-J-0-1"	"27"	"J"	"0"	"1"	8	"Training"	1	8	"6B"	"C2"	"Up"	"40"	"38"	"J"	"40"
"3-5"	"va:sha:va"	"44-C-30-3"	"44"	"C"	"30"	"3"	9	"Training"	1	9	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-5"	"za:sa:ha"	"44-J-10-3"	"44"	"J"	"10"	"3"	10	"Training"	1	10	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-5"	"sasaza"	"84-J-0-2"	"84"	"J"	"0"	"2"	11	"Training"	1	11	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
"3-5"	"fasha:sha"	"84-C-20-2"	"84"	"C"	"20"	"2"	12	"Training"	1	12	"6B"	"C1"	"Left"	"39"	"37"	"J"	"37"
"3-5"	"va:fasha"	"57-C-30-1"	"57"	"C"	"30"	"1"	13	"Training"	1	13	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-5"	"fafasha"	"74-C-20-4"	"74"	"C"	"20"	"4"	14	"Training"	1	14	"6B"	"C1"	"Down"	"38"	"40"	"J"	"40"
"3-5"	"za:haha"	"144-J-10-3"	"144"	"J"	"10"	"3"	15	"Training"	1	15	"6B"	"C2"	"Right"	"37"	"39"	"J"	"37"
