"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"2-5"	"paka:ka"	"93-C-30-1"	"93"	"C"	"30"	"1"	1	"Training"	1	1	"7"	"P"	"Down"	"38"	"40"	"C"	"38"
"2-5"	"mama:na"	"7-C-20-4"	"7"	"C"	"20"	"4"	2	"Training"	1	2	"7"	"S"	"Left"	"39"	"37"	"C"	"39"
"2-5"	"nalana"	"19-J-10-4"	"19"	"J"	"10"	"4"	3	"Training"	1	3	"7"	"S"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"mama:la"	"44-C-30-3"	"44"	"C"	"30"	"3"	4	"Training"	1	4	"7"	"S"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"ma:ma:na"	"44-J-10-3"	"44"	"J"	"10"	"3"	5	"Training"	1	5	"7"	"S"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"takata"	"71-J-0-1"	"71"	"J"	"0"	"1"	6	"Training"	1	6	"7"	"P"	"Right"	"37"	"39"	"C"	"39"
"2-5"	"ta:pa:ta"	"84-J-0-2"	"84"	"J"	"0"	"2"	7	"Training"	1	7	"7"	"P"	"Left"	"39"	"37"	"C"	"37"
"2-5"	"na:lana"	"7-J-10-4"	"7"	"J"	"10"	"4"	8	"Training"	1	8	"7"	"S"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"tapa:ta"	"93-J-0-1"	"93"	"J"	"0"	"1"	9	"Training"	1	9	"7"	"P"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"pa:kata"	"118-J-0-2"	"118"	"J"	"0"	"2"	10	"Training"	1	10	"7"	"P"	"Up"	"40"	"38"	"C"	"38"
"2-5"	"na:ma:la"	"128-J-10-3"	"128"	"J"	"10"	"3"	11	"Training"	1	11	"7"	"S"	"Down"	"38"	"40"	"C"	"40"
"2-5"	"pa:pata"	"84-C-20-2"	"84"	"C"	"20"	"2"	12	"Training"	1	12	"7"	"P"	"Up"	"40"	"38"	"C"	"40"
"2-5"	"ta:ka:ta"	"71-C-30-1"	"71"	"C"	"30"	"1"	13	"Training"	1	13	"7"	"P"	"Down"	"38"	"40"	"C"	"38"
