\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"28454\",\"32\",\"text\",\"0\",\"28462\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"45010\",\"\",\"instructions\",\"1\",\"73477\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":45007}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"20667\",\"\",\"survey-multi-choice\",\"2\",\"94216\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"101256\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"111729\",\"0.0-4.0\",\"\",\"\",\"2-2\",\"8958\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"na:la:na\",\"Left\",\"39\",\"1\",\"1\",\"1\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"118254\",\"0.0-5.0\",\"\",\"\",\"2-2\",\"5011\",\"40\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"pakaka\",\"Up\",\"38\",\"1\",\"2\",\"1\",\"P\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"126354\",\"0.0-6.0\",\"\",\"\",\"2-2\",\"6585\",\"39\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"pakaka\",\"Right\",\"39\",\"1\",\"3\",\"1\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"133059\",\"0.0-7.0\",\"\",\"\",\"2-2\",\"5193\",\"37\",\"0\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"na:la:na\",\"Left\",\"39\",\"1\",\"4\",\"1\",\"S\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"142102\",\"0.0-8.0\",\"\",\"\",\"2-2\",\"7529\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"na:la:na\",\"Up\",\"40\",\"1\",\"5\",\"1\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"147764\",\"0.0-9.0\",\"\",\"\",\"2-2\",\"4147\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"na:la:na\",\"Up\",\"40\",\"1\",\"6\",\"1\",\"S\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"154015\",\"0.0-10.0\",\"\",\"\",\"2-2\",\"4725\",\"40\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"pakaka\",\"Up\",\"38\",\"1\",\"7\",\"1\",\"P\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"160120\",\"0.0-11.0\",\"\",\"\",\"2-2\",\"4592\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:la:na\",\"Left\",\"39\",\"1\",\"8\",\"1\",\"S\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"167743\",\"0.0-12.0\",\"\",\"\",\"2-2\",\"6106\",\"39\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"pakaka\",\"Right\",\"39\",\"1\",\"9\",\"1\",\"P\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"173581\",\"0.0-13.0\",\"\",\"\",\"2-2\",\"4326\",\"39\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"na:la:na\",\"Left\",\"39\",\"1\",\"10\",\"1\",\"S\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"179646\",\"0.0-14.0\",\"\",\"\",\"2-2\",\"4553\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"pakaka\",\"Down\",\"40\",\"1\",\"11\",\"1\",\"P\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"185819\",\"0.0-15.0\",\"\",\"\",\"2-2\",\"4661\",\"38\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"na:la:na\",\"Down\",\"38\",\"1\",\"12\",\"1\",\"S\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"191900\",\"0.0-16.0\",\"\",\"\",\"2-2\",\"4567\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"pakaka\",\"Down\",\"40\",\"1\",\"13\",\"1\",\"P\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"197352\",\"0.0-17.0\",\"\",\"\",\"2-2\",\"3941\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pakaka\",\"Down\",\"40\",\"1\",\"14\",\"1\",\"P\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"203276\",\"0.0-18.0\",\"\",\"\",\"2-2\",\"4406\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"pakaka\",\"Right\",\"39\",\"1\",\"15\",\"1\",\"P\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"209296\",\"0.0-19.0\",\"\",\"\",\"2-2\",\"4504\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"na:la:na\",\"Right\",\"37\",\"1\",\"16\",\"1\",\"S\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"215483\",\"0.0-20.0\",\"\",\"\",\"2-2\",\"4661\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"na:la:na\",\"Up\",\"40\",\"2\",\"1\",\"1\",\"S\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"221443\",\"0.0-21.0\",\"\",\"\",\"2-2\",\"4446\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"pakaka\",\"Down\",\"40\",\"2\",\"2\",\"1\",\"P\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"228239\",\"0.0-22.0\",\"\",\"\",\"2-2\",\"5254\",\"39\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"pakaka\",\"Right\",\"39\",\"2\",\"3\",\"1\",\"P\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"234677\",\"0.0-23.0\",\"\",\"\",\"2-2\",\"4928\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"pakaka\",\"Left\",\"37\",\"2\",\"4\",\"1\",\"P\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"240448\",\"0.0-24.0\",\"\",\"\",\"2-2\",\"4257\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"na:la:na\",\"Down\",\"38\",\"2\",\"5\",\"1\",\"S\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"246135\",\"0.0-25.0\",\"\",\"\",\"2-2\",\"4170\",\"40\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"na:la:na\",\"Up\",\"40\",\"2\",\"6\",\"1\",\"S\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"251756\",\"0.0-26.0\",\"\",\"\",\"2-2\",\"4104\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"na:la:na\",\"Up\",\"40\",\"2\",\"7\",\"1\",\"S\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"258100\",\"0.0-27.0\",\"\",\"\",\"2-2\",\"4830\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"pakaka\",\"Right\",\"39\",\"2\",\"8\",\"1\",\"P\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"264128\",\"0.0-28.0\",\"\",\"\",\"2-2\",\"4516\",\"37\",\"1\",\"Training\",\"Stims/Figures/94-J-0-2.bmp\",\"pakaka\",\"Left\",\"37\",\"2\",\"9\",\"1\",\"P\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"269898\",\"0.0-29.0\",\"\",\"\",\"2-2\",\"4254\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"pakaka\",\"Left\",\"37\",\"2\",\"10\",\"1\",\"P\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"276424\",\"0.0-30.0\",\"\",\"\",\"2-2\",\"4984\",\"37\",\"1\",\"Training\",\"Stims/Figures/94-C-20-2.bmp\",\"na:la:na\",\"Right\",\"37\",\"2\",\"11\",\"1\",\"S\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"282376\",\"0.0-31.0\",\"\",\"\",\"2-2\",\"4421\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"na:la:na\",\"Left\",\"39\",\"2\",\"12\",\"1\",\"S\",\"C\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"288506\",\"0.0-32.0\",\"\",\"\",\"2-2\",\"4617\",\"40\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"pakaka\",\"Down\",\"40\",\"2\",\"13\",\"1\",\"P\",\"C\",\"29\"
