\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"84195\",\"32\",\"text\",\"0\",\"84204\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"128025\",\"\",\"instructions\",\"1\",\"212236\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":128022}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"35886\",\"\",\"survey-multi-choice\",\"2\",\"248189\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"255199\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"22\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"263268\",\"0.0-4.0\",\"\",\"\",\"3-5\",\"6540\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"sasaha\",\"Left\",\"39\",\"1\",\"1\",\"3B\",\"C2\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"271015\",\"0.0-5.0\",\"\",\"\",\"3-5\",\"6232\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"sasaha\",\"Down\",\"38\",\"1\",\"2\",\"3B\",\"C2\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"276449\",\"0.0-6.0\",\"\",\"\",\"3-5\",\"3922\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"sasaha\",\"Down\",\"38\",\"1\",\"3\",\"3B\",\"C2\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"282865\",\"0.0-7.0\",\"\",\"\",\"3-5\",\"4900\",\"38\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"4\",\"3B\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"289204\",\"0.0-8.0\",\"\",\"\",\"3-5\",\"4827\",\"39\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"vashava\",\"Right\",\"39\",\"1\",\"5\",\"3B\",\"C1\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"295107\",\"0.0-9.0\",\"\",\"\",\"3-5\",\"4388\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"vashava\",\"Down\",\"40\",\"1\",\"6\",\"3B\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"301153\",\"0.0-10.0\",\"\",\"\",\"3-5\",\"4532\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"sasaha\",\"Up\",\"40\",\"1\",\"7\",\"3B\",\"C2\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"308188\",\"0.0-11.0\",\"\",\"\",\"3-5\",\"5521\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"8\",\"3B\",\"C1\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"314015\",\"0.0-12.0\",\"\",\"\",\"3-5\",\"4311\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"sasaha\",\"Right\",\"37\",\"1\",\"9\",\"3B\",\"C2\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"319723\",\"0.0-13.0\",\"\",\"\",\"3-5\",\"4196\",\"39\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"sasaha\",\"Left\",\"39\",\"1\",\"10\",\"3B\",\"C2\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"326253\",\"0.0-14.0\",\"\",\"\",\"3-5\",\"5009\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"11\",\"3B\",\"C1\",\"J\",\"11\"
