"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"31020","32","text","0","31025","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"58122","","instructions","1","89148","0.0-1.0","[{""page_index"":0,""viewing_time"":58120}]","","","","","","","","","","","","","","","",""
"27646","","survey-multi-choice","2","116841","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","125430","0.0-3.0","","{""age"":""19"",""gender"":""m"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","136404","0.0-4.0","","","3-4","9429","37","1","Training","Stims/Figures/100-C-30-3.bmp","None","Right","37","1","1","10","N","C","1"
"","","approach-retreat","5","144922","0.0-5.0","","","3-4","7005","39","0","Training","Stims/Figures/27-J-0-1.bmp","None","Left","37","1","2","10","N","C","2"
"","","approach-retreat","6","151951","0.0-6.0","","","3-4","5518","38","0","Training","Stims/Figures/87-C-20-4.bmp","None","Up","40","1","3","10","N","C","3"
"","","approach-retreat","7","159005","0.0-7.0","","","3-4","5543","38","1","Training","Stims/Figures/27-C-30-1.bmp","None","Down","38","1","4","10","N","C","4"
"","","approach-retreat","8","164606","0.0-8.0","","","3-4","4090","39","0","Training","Stims/Figures/102-C-20-4.bmp","None","Right","37","1","5","10","N","C","5"
"","","approach-retreat","9","171402","0.0-9.0","","","3-4","5286","40","1","Training","Stims/Figures/139-C-20-2.bmp","None","Up","40","1","6","10","N","C","6"
"","","approach-retreat","10","177285","0.0-10.0","","","3-4","4372","40","0","Training","Stims/Figures/100-J-10-3.bmp","None","Up","38","1","7","10","N","C","7"
"","","approach-retreat","11","183289","0.0-11.0","","","3-4","4491","37","0","Training","Stims/Figures/44-C-30-3.bmp","None","Left","39","1","8","10","N","C","8"
"","","approach-retreat","12","189217","0.0-12.0","","","3-4","4420","38","0","Training","Stims/Figures/57-J-0-1.bmp","None","Down","40","1","9","10","N","C","9"
"","","approach-retreat","13","194870","0.0-13.0","","","3-4","4143","40","1","Training","Stims/Figures/84-C-20-2.bmp","None","Up","40","1","10","10","N","C","10"
"","","approach-retreat","14","200484","0.0-14.0","","","3-4","4103","40","1","Training","Stims/Figures/87-J-10-4.bmp","None","Down","40","1","11","10","N","C","11"
"","","approach-retreat","15","206752","0.0-15.0","","","3-4","4758","39","1","Training","Stims/Figures/57-C-30-1.bmp","None","Left","39","1","12","10","N","C","12"
"","","approach-retreat","16","212504","0.0-16.0","","","3-4","4240","38","0","Training","Stims/Figures/44-J-10-3.bmp","None","Down","40","1","13","10","N","C","13"
"","","approach-retreat","17","218839","0.0-17.0","","","3-4","4826","37","0","Training","Stims/Figures/84-J-0-2.bmp","None","Right","39","1","14","10","N","C","14"
"","","approach-retreat","18","225547","0.0-18.0","","","3-4","5197","37","0","Training","Stims/Figures/102-J-10-4.bmp","None","Right","39","1","15","10","N","C","15"
"","","approach-retreat","19","232921","0.0-19.0","","","3-4","5868","37","1","Training","Stims/Figures/139-J-0-2.bmp","None","Left","37","1","16","10","N","C","16"
"","","approach-retreat","20","238672","0.0-20.0","","","3-4","4240","40","1","Training","Stims/Figures/44-C-30-3.bmp","None","Up","40","2","1","10","N","C","17"
"","","approach-retreat","21","244346","0.0-21.0","","","3-4","4168","39","1","Training","Stims/Figures/57-C-30-1.bmp","None","Left","39","2","2","10","N","C","18"
"","","approach-retreat","22","250132","0.0-22.0","","","3-4","4274","40","1","Training","Stims/Figures/102-J-10-4.bmp","None","Down","40","2","3","10","N","C","19"
"","","approach-retreat","23","256839","0.0-23.0","","","3-4","5200","37","1","Training","Stims/Figures/87-C-20-4.bmp","None","Right","37","2","4","10","N","C","20"
"","","approach-retreat","24","262767","0.0-24.0","","","3-4","4421","39","0","Training","Stims/Figures/27-J-0-1.bmp","None","Left","37","2","5","10","N","C","21"
"","","approach-retreat","25","268395","0.0-25.0","","","3-4","4121","39","1","Training","Stims/Figures/139-C-20-2.bmp","None","Left","39","2","6","10","N","C","22"
"","","approach-retreat","26","274263","0.0-26.0","","","3-4","4363","40","1","Training","Stims/Figures/102-C-20-4.bmp","None","Up","40","2","7","10","N","C","23"
"","","approach-retreat","27","280149","0.0-27.0","","","3-4","4377","37","1","Training","Stims/Figures/100-J-10-3.bmp","None","Left","37","2","8","10","N","C","24"
"","","approach-retreat","28","285989","0.0-28.0","","","3-4","4330","40","1","Training","Stims/Figures/84-J-0-2.bmp","None","Down","40","2","9","10","N","C","25"
"","","approach-retreat","29","293867","0.0-29.0","","","3-4","6366","39","1","Training","Stims/Figures/87-J-10-4.bmp","None","Right","39","2","10","10","N","C","26"
"","","approach-retreat","30","300605","0.0-30.0","","","3-4","5231","38","1","Training","Stims/Figures/57-J-0-1.bmp","None","Up","38","2","11","10","N","C","27"
"","","approach-retreat","31","306450","0.0-31.0","","","3-4","4336","39","1","Training","Stims/Figures/44-J-10-3.bmp","None","Right","39","2","12","10","N","C","28"
"","","approach-retreat","32","313125","0.0-32.0","","","3-4","5164","37","1","Training","Stims/Figures/27-C-30-1.bmp","None","Right","37","2","13","10","N","C","29"
"","","approach-retreat","33","319004","0.0-33.0","","","3-4","4368","40","1","Training","Stims/Figures/139-J-0-2.bmp","None","Down","40","2","14","10","N","C","30"
"","","approach-retreat","34","324646","0.0-34.0","","","3-4","4135","38","1","Training","Stims/Figures/84-C-20-2.bmp","None","Down","38","2","15","10","N","C","31"
"","","approach-retreat","35","331825","0.0-35.0","","","3-4","5672","38","0","Training","Stims/Figures/100-C-30-3.bmp","None","Up","40","2","16","10","N","C","32"
"","","approach-retreat","36","342227","0.0-36.0","","","3-4","8894","38","1","Training","Stims/Figures/102-C-20-4.bmp","None","Down","38","3","1","10","N","C","33"
"","","approach-retreat","37","347918","0.0-37.0","","","3-4","4180","40","1","Training","Stims/Figures/44-J-10-3.bmp","None","Down","40","3","2","10","N","C","34"
"","","approach-retreat","38","353777","0.0-38.0","","","3-4","4346","37","1","Training","Stims/Figures/27-C-30-1.bmp","None","Right","37","3","3","10","N","C","35"
"","","approach-retreat","39","359524","0.0-39.0","","","3-4","4240","40","0","Training","Stims/Figures/87-J-10-4.bmp","None","Up","38","3","4","10","N","C","36"
"","","approach-retreat","40","365454","0.0-40.0","","","3-4","4423","38","1","Training","Stims/Figures/84-C-20-2.bmp","None","Down","38","3","5","10","N","C","37"
"","","approach-retreat","41","372762","0.0-41.0","","","3-4","5796","38","1","Training","Stims/Figures/100-C-30-3.bmp","None","Down","38","3","6","10","N","C","38"
