"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"55196","32","text","0","55202","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"402941","","instructions","1","458147","0.0-1.0","[{""page_index"":0,""viewing_time"":402940}]","","","","","","","","","","","","","","","",""
"70710","","survey-multi-choice","2","528902","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","568780","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","588118","0.0-4.0","","","1-2","17818","39","0","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Right","37","1","1","1","S","C","1"
"","","approach-retreat","5","595792","0.0-5.0","","","1-2","6160","38","0","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Down","40","1","2","1","P","C","2"
"","","approach-retreat","6","604511","0.0-6.0","","","1-2","7207","39","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Left","39","1","3","1","S","C","3"
"","","approach-retreat","7","611485","0.0-7.0","","","1-2","5462","37","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Right","37","1","4","1","S","C","4"
"","","approach-retreat","8","622916","0.0-8.0","","","1-2","9916","37","1","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Left","37","1","5","1","P","C","5"
"","","approach-retreat","9","630520","0.0-9.0","","","1-2","6093","40","0","Training","Stims/Figures/84-J-0-2.bmp","tapaka","Up","38","1","6","1","P","C","6"
"","","approach-retreat","10","639479","0.0-10.0","","","1-2","7449","40","1","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Down","40","1","7","1","P","C","7"
"","","approach-retreat","11","647070","0.0-11.0","","","1-2","6078","37","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Left","37","1","8","1","P","C","8"
"","","approach-retreat","12","652866","0.0-12.0","","","1-2","4284","38","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Down","38","1","9","1","S","C","9"
"","","approach-retreat","13","658949","0.0-13.0","","","1-2","4570","40","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Down","40","1","10","1","P","C","10"
"","","approach-retreat","14","669118","0.0-14.0","","","1-2","8657","37","0","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Left","39","1","11","1","S","C","11"
"","","approach-retreat","15","675449","0.0-15.0","","","1-2","4820","38","1","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Up","38","1","12","1","P","C","12"
"","","approach-retreat","16","681710","0.0-16.0","","","1-2","4748","39","1","Training","Stims/Figures/94-J-0-2.bmp","tapaka","Right","39","1","13","1","P","C","13"
"","","approach-retreat","17","687830","0.0-17.0","","","1-2","4608","37","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Right","37","1","14","1","S","C","14"
"","","approach-retreat","18","694522","0.0-18.0","","","1-2","5180","40","1","Training","Stims/Figures/144-C-30-3.bmp","nala:na","Up","40","1","15","1","S","C","15"
"","","approach-retreat","19","700216","0.0-19.0","","","1-2","4182","40","1","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Up","40","1","16","1","S","C","16"
"","","approach-retreat","20","706153","0.0-20.0","","","1-2","4424","40","1","Training","Stims/Figures/144-C-30-3.bmp","nala:na","Up","40","2","1","1","S","C","17"
"","","approach-retreat","21","711868","0.0-21.0","","","1-2","4203","40","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","40","2","2","1","S","C","18"
"","","approach-retreat","22","718334","0.0-22.0","","","1-2","4954","37","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Left","37","2","3","1","P","C","19"
"","","approach-retreat","23","724783","0.0-23.0","","","1-2","4937","38","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Down","38","2","4","1","S","C","20"
"","","approach-retreat","24","730892","0.0-24.0","","","1-2","4599","40","1","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Down","40","2","5","1","P","C","21"
"","","approach-retreat","25","738760","0.0-25.0","","","1-2","6355","39","1","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Right","39","2","6","1","P","C","22"
"","","approach-retreat","26","744888","0.0-26.0","","","1-2","4617","37","1","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Right","37","2","7","1","S","C","23"
"","","approach-retreat","27","751224","0.0-27.0","","","1-2","4823","39","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Right","39","2","8","1","P","C","24"
"","","approach-retreat","28","757320","0.0-28.0","","","1-2","4585","37","1","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Left","37","2","9","1","P","C","25"
"","","approach-retreat","29","764487","0.0-29.0","","","1-2","5655","38","1","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Down","38","2","10","1","S","C","26"
"","","approach-retreat","30","771097","0.0-30.0","","","1-2","5101","39","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Left","39","2","11","1","S","C","27"
"","","approach-retreat","31","777232","0.0-31.0","","","1-2","4621","40","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Up","40","2","12","1","S","C","28"
"","","approach-retreat","32","783334","0.0-32.0","","","1-2","4587","37","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Left","37","2","13","1","P","C","29"
"","","approach-retreat","33","789966","0.0-33.0","","","1-2","5120","38","1","Training","Stims/Figures/94-J-0-2.bmp","tapaka","Up","38","2","14","1","P","C","30"
"","","approach-retreat","34","796327","0.0-34.0","","","1-2","4848","39","1","Training","Stims/Figures/84-J-0-2.bmp","tapaka","Right","39","2","15","1","P","C","31"
"","","approach-retreat","35","803296","0.0-35.0","","","1-2","5457","38","1","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Down","38","2","16","1","S","C","32"
"","","approach-retreat","36","810143","0.0-36.0","","","1-2","5337","40","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Down","40","3","1","1","P","C","33"
"","","approach-retreat","37","816255","0.0-37.0","","","1-2","4600","40","1","Training","Stims/Figures/84-J-0-2.bmp","tapaka","Down","40","3","2","1","P","C","34"
"","","approach-retreat","38","822560","0.0-38.0","","","1-2","4792","39","1","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Right","39","3","3","1","P","C","35"
"","","approach-retreat","39","828611","0.0-39.0","","","1-2","4537","40","1","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Up","40","3","4","1","S","C","36"
"","","approach-retreat","40","834794","0.0-40.0","","","1-2","4673","40","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Up","40","3","5","1","S","C","37"
"","","approach-retreat","41","840844","0.0-41.0","","","1-2","4539","37","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Right","37","3","6","1","S","C","38"
"","","approach-retreat","42","847280","0.0-42.0","","","1-2","4925","38","1","Training","Stims/Figures/144-C-30-3.bmp","nala:na","Down","38","3","7","1","S","C","39"
"","","approach-retreat","43","853682","0.0-43.0","","","1-2","4891","37","1","Training","Stims/Figures/94-J-0-2.bmp","tapaka","Left","37","3","8","1","P","C","40"
"","","approach-retreat","44","860654","0.0-44.0","","","1-2","5459","39","1","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Left","39","3","9","1","S","C","41"
"","","approach-retreat","45","867075","0.0-45.0","","","1-2","4910","38","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Up","38","3","10","1","P","C","42"
"","","approach-retreat","46","873398","0.0-46.0","","","1-2","4812","39","1","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Right","39","3","11","1","P","C","43"
"","","approach-retreat","47","879752","0.0-47.0","","","1-2","4843","37","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Left","37","3","12","1","P","C","44"
"","","approach-retreat","48","888298","0.0-48.0","","","1-2","7035","39","1","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Right","39","3","13","1","P","C","45"
"","","approach-retreat","49","894938","0.0-49.0","","","1-2","5128","40","1","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Up","40","3","14","1","S","C","46"
"","","approach-retreat","50","901224","0.0-50.0","","","1-2","4775","39","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Left","39","3","15","1","S","C","47"
"","","approach-retreat","51","907886","0.0-51.0","","","1-2","5151","38","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Down","38","3","16","1","S","C","48"
"","","approach-retreat","52","914284","0.0-52.0","","","1-2","4884","37","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Right","37","4","1","1","S","C","49"
"","","approach-retreat","53","920975","0.0-53.0","","","1-2","5179","39","1","Training","Stims/Figures/144-C-30-3.bmp","nala:na","Left","39","4","2","1","S","C","50"
"","","approach-retreat","54","927071","0.0-54.0","","","1-2","4584","39","1","Training","Stims/Figures/94-J-0-2.bmp","tapaka","Right","39","4","3","1","P","C","51"
"","","approach-retreat","55","934911","0.0-55.0","","","1-2","6330","40","1","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Down","40","4","4","1","P","C","52"
"","","approach-retreat","56","941462","0.0-56.0","","","1-2","5038","40","1","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Down","40","4","5","1","P","C","53"
"","","approach-retreat","57","948304","0.0-57.0","","","1-2","5330","40","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","40","4","6","1","S","C","54"
"","","approach-retreat","58","954731","0.0-58.0","","","1-2","4914","37","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Right","37","4","7","1","S","C","55"
"","","approach-retreat","59","961028","0.0-59.0","","","1-2","4785","38","1","Training","Stims/Figures/84-J-0-2.bmp","tapaka","Up","38","4","8","1","P","C","56"
"","","approach-retreat","60","967582","0.0-60.0","","","1-2","5043","39","1","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Left","39","4","9","1","S","C","57"
"","","approach-retreat","61","974097","0.0-61.0","","","1-2","5004","38","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Up","38","4","10","1","P","C","58"
"","","approach-retreat","62","980633","0.0-62.0","","","1-2","5024","38","1","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Down","38","4","11","1","S","C","59"
"","","approach-retreat","63","987431","0.0-63.0","","","1-2","5285","39","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Right","39","4","12","1","P","C","60"
"","","approach-retreat","64","993787","0.0-64.0","","","1-2","4847","39","1","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Left","39","4","13","1","S","C","61"
"","","approach-retreat","65","1000286","0.0-65.0","","","1-2","4986","39","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Left","39","4","14","1","S","C","62"
"","","approach-retreat","66","1006781","0.0-66.0","","","1-2","4983","38","1","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Up","38","4","15","1","P","C","63"
"","","approach-retreat","67","1013232","0.0-67.0","","","1-2","4940","40","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Down","40","4","16","1","P","C","64"
"","","approach-retreat","68","1019976","0.0-68.0","","","1-2","5231","37","1","Training","Stims/Figures/71-J-0-1.bmp","tapaka","Left","37","5","1","1","P","C","65"
"","","approach-retreat","69","1026238","0.0-69.0","","","1-2","4750","38","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Down","38","5","2","1","S","C","66"
"","","approach-retreat","70","1032496","0.0-70.0","","","1-2","4747","37","1","Training","Stims/Figures/74-C-20-4.bmp","nala:na","Right","37","5","3","1","S","C","67"
"","","approach-retreat","71","1039222","0.0-71.0","","","1-2","5214","39","1","Training","Stims/Figures/94-C-20-2.bmp","nala:na","Left","39","5","4","1","S","C","68"
"","","approach-retreat","72","1045589","0.0-72.0","","","1-2","4855","38","1","Training","Stims/Figures/27-J-0-1.bmp","tapaka","Up","38","5","5","1","P","C","69"
"","","approach-retreat","73","1051901","0.0-73.0","","","1-2","4801","37","1","Training","Stims/Figures/100-C-30-3.bmp","nala:na","Right","37","5","6","1","S","C","70"
"","","approach-retreat","74","1058318","0.0-74.0","","","1-2","4906","38","1","Training","Stims/Figures/74-J-10-4.bmp","tapaka","Up","38","5","7","1","P","C","71"
"","","approach-retreat","75","1067393","0.0-75.0","","","1-2","7561","37","1","Training","Stims/Figures/27-C-30-1.bmp","nala:na","Right","37","5","8","1","S","C","72"
"","","approach-retreat","76","1073851","0.0-76.0","","","1-2","4947","37","1","Training","Stims/Figures/144-J-10-3.bmp","tapaka","Left","37","5","9","1","P","C","73"
"","","approach-retreat","77","1080468","0.0-77.0","","","1-2","5105","38","1","Training","Stims/Figures/100-J-10-3.bmp","tapaka","Up","38","5","10","1","P","C","74"
"","","approach-retreat","78","1087009","0.0-78.0","","","1-2","5030","40","1","Training","Stims/Figures/87-J-10-4.bmp","tapaka","Down","40","5","11","1","P","C","75"
"","","approach-retreat","79","1093573","0.0-79.0","","","1-2","5051","39","1","Training","Stims/Figures/71-C-30-1.bmp","nala:na","Left","39","5","12","1","S","C","76"
