"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"34259","32","text","0","34266","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"146881","","instructions","1","181152","0.0-1.0","[{""page_index"":0,""viewing_time"":146881}]","","","","","","","","","","","","","","","",""
"47835","","survey-multi-choice","2","229051","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","239009","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","255359","0.0-4.0","","","2-3","14831","39","1","Training","Stims/Figures/111-J-10-3.bmp","None","Left","39","1","1","10","N","J","1"
"","","approach-retreat","5","265519","0.0-5.0","","","2-3","8644","39","0","Training","Stims/Figures/71-C-30-1.bmp","None","Left","37","1","2","10","N","J","2"
"","","approach-retreat","6","275557","0.0-6.0","","","2-3","8523","37","0","Training","Stims/Figures/118-J-0-2.bmp","None","Left","39","1","3","10","N","J","3"
"","","approach-retreat","7","284766","0.0-7.0","","","2-3","7693","38","1","Training","Stims/Figures/100-J-10-3.bmp","None","Down","38","1","4","10","N","J","4"
"","","approach-retreat","8","294110","0.0-8.0","","","2-3","7828","39","0","Training","Stims/Figures/118-C-20-2.bmp","None","Left","37","1","5","10","N","J","5"
"","","approach-retreat","9","303082","0.0-9.0","","","2-3","7458","40","0","Training","Stims/Figures/19-C-20-4.bmp","None","Up","38","1","6","10","N","J","6"
"","","approach-retreat","10","309038","0.0-10.0","","","2-3","4439","39","1","Training","Stims/Figures/7-C-20-4.bmp","None","Right","39","1","7","10","N","J","7"
"","","approach-retreat","11","317727","0.0-11.0","","","2-3","7175","38","1","Training","Stims/Figures/100-C-30-3.bmp","None","Up","38","1","8","10","N","J","8"
"","","approach-retreat","12","324384","0.0-12.0","","","2-3","5141","39","0","Training","Stims/Figures/7-J-10-4.bmp","None","Right","37","1","9","10","N","J","9"
"","","approach-retreat","13","331830","0.0-13.0","","","2-3","5930","40","0","Training","Stims/Figures/19-J-10-4.bmp","None","Down","38","1","10","10","N","J","10"
"","","approach-retreat","14","339091","0.0-14.0","","","2-3","5748","38","0","Training","Stims/Figures/57-J-0-1.bmp","None","Up","40","1","11","10","N","J","11"
"","","approach-retreat","15","345541","0.0-15.0","","","2-3","4937","37","0","Training","Stims/Figures/94-C-20-2.bmp","None","Right","39","1","12","10","N","J","12"
"","","approach-retreat","16","353370","0.0-16.0","","","2-3","6314","40","0","Training","Stims/Figures/94-J-0-2.bmp","None","Down","38","1","13","10","N","J","13"
"","","approach-retreat","17","360106","0.0-17.0","","","2-3","5221","40","0","Training","Stims/Figures/111-C-30-3.bmp","None","Up","38","1","14","10","N","J","14"
"","","approach-retreat","18","366295","0.0-18.0","","","2-3","4675","38","0","Training","Stims/Figures/57-C-30-1.bmp","None","Down","40","1","15","10","N","J","15"
"","","approach-retreat","19","372217","0.0-19.0","","","2-3","4407","37","1","Training","Stims/Figures/71-J-0-1.bmp","None","Right","37","1","16","10","N","J","16"
"","","approach-retreat","20","378343","0.0-20.0","","","2-3","4613","40","1","Training","Stims/Figures/100-J-10-3.bmp","None","Up","40","2","1","10","N","J","17"
"","","approach-retreat","21","384401","0.0-21.0","","","2-3","4542","38","1","Training","Stims/Figures/19-J-10-4.bmp","None","Down","38","2","2","10","N","J","18"
"","","approach-retreat","22","391020","0.0-22.0","","","2-3","5104","38","1","Training","Stims/Figures/57-C-30-1.bmp","None","Up","38","2","3","10","N","J","19"
"","","approach-retreat","23","397033","0.0-23.0","","","2-3","4498","37","0","Training","Stims/Figures/111-C-30-3.bmp","None","Right","39","2","4","10","N","J","20"
"","","approach-retreat","24","402917","0.0-24.0","","","2-3","4369","39","0","Training","Stims/Figures/19-C-20-4.bmp","None","Left","37","2","5","10","N","J","21"
"","","approach-retreat","25","408783","0.0-25.0","","","2-3","4351","37","1","Training","Stims/Figures/111-J-10-3.bmp","None","Right","37","2","6","10","N","J","22"
"","","approach-retreat","26","414861","0.0-26.0","","","2-3","4563","39","1","Training","Stims/Figures/100-C-30-3.bmp","None","Right","39","2","7","10","N","J","23"
"","","approach-retreat","27","420643","0.0-27.0","","","2-3","4267","37","0","Training","Stims/Figures/57-J-0-1.bmp","None","Left","39","2","8","10","N","J","24"
"","","approach-retreat","28","426958","0.0-28.0","","","2-3","4800","38","0","Training","Stims/Figures/118-C-20-2.bmp","None","Down","40","2","9","10","N","J","25"
"","","approach-retreat","29","434840","0.0-29.0","","","2-3","6367","38","0","Training","Stims/Figures/71-C-30-1.bmp","None","Down","40","2","10","10","N","J","26"
"","","approach-retreat","30","441613","0.0-30.0","","","2-3","5257","40","1","Training","Stims/Figures/94-J-0-2.bmp","None","Up","40","2","11","10","N","J","27"
"","","approach-retreat","31","447706","0.0-31.0","","","2-3","4578","39","1","Training","Stims/Figures/118-J-0-2.bmp","None","Left","39","2","12","10","N","J","28"
"","","approach-retreat","32","454823","0.0-32.0","","","2-3","5602","37","1","Training","Stims/Figures/7-J-10-4.bmp","None","Right","37","2","13","10","N","J","29"
"","","approach-retreat","33","460727","0.0-33.0","","","2-3","4388","38","1","Training","Stims/Figures/71-J-0-1.bmp","None","Down","38","2","14","10","N","J","30"
"","","approach-retreat","34","466865","0.0-34.0","","","2-3","4625","37","1","Training","Stims/Figures/7-C-20-4.bmp","None","Left","37","2","15","10","N","J","31"
"","","approach-retreat","35","473169","0.0-35.0","","","2-3","4789","38","1","Training","Stims/Figures/94-C-20-2.bmp","None","Up","38","2","16","10","N","J","32"
"","","approach-retreat","36","479502","0.0-36.0","","","2-3","4818","40","1","Training","Stims/Figures/57-C-30-1.bmp","None","Down","40","3","1","10","N","J","33"
"","","approach-retreat","37","485493","0.0-37.0","","","2-3","4475","40","1","Training","Stims/Figures/19-C-20-4.bmp","None","Down","40","3","2","10","N","J","34"
"","","approach-retreat","38","491746","0.0-38.0","","","2-3","4733","40","1","Training","Stims/Figures/111-J-10-3.bmp","None","Up","40","3","3","10","N","J","35"
"","","approach-retreat","39","497651","0.0-39.0","","","2-3","4390","39","1","Training","Stims/Figures/71-J-0-1.bmp","None","Left","39","3","4","10","N","J","36"
"","","approach-retreat","40","503481","0.0-40.0","","","2-3","4313","39","1","Training","Stims/Figures/94-C-20-2.bmp","None","Right","39","3","5","10","N","J","37"
"","","approach-retreat","41","509519","0.0-41.0","","","2-3","4522","37","1","Training","Stims/Figures/7-C-20-4.bmp","None","Left","37","3","6","10","N","J","38"
"","","approach-retreat","42","515486","0.0-42.0","","","2-3","4452","37","1","Training","Stims/Figures/118-C-20-2.bmp","None","Left","37","3","7","10","N","J","39"
"","","approach-retreat","43","521565","0.0-43.0","","","2-3","4563","38","1","Training","Stims/Figures/118-J-0-2.bmp","None","Down","38","3","8","10","N","J","40"
"","","approach-retreat","44","527501","0.0-44.0","","","2-3","4423","37","1","Training","Stims/Figures/111-C-30-3.bmp","None","Left","37","3","9","10","N","J","41"
"","","approach-retreat","45","535350","0.0-45.0","","","2-3","6335","37","1","Training","Stims/Figures/19-J-10-4.bmp","None","Right","37","3","10","10","N","J","42"
"","","approach-retreat","46","541658","0.0-46.0","","","2-3","4791","40","1","Training","Stims/Figures/57-J-0-1.bmp","None","Up","40","3","11","10","N","J","43"
"","","approach-retreat","47","547447","0.0-47.0","","","2-3","4275","37","1","Training","Stims/Figures/7-J-10-4.bmp","None","Right","37","3","12","10","N","J","44"
"","","approach-retreat","48","553521","0.0-48.0","","","2-3","4559","38","1","Training","Stims/Figures/94-J-0-2.bmp","None","Down","38","3","13","10","N","J","45"
"","","approach-retreat","49","560360","0.0-49.0","","","2-3","5326","37","1","Training","Stims/Figures/100-J-10-3.bmp","None","Right","37","3","14","10","N","J","46"
"","","approach-retreat","50","566543","0.0-50.0","","","2-3","4668","38","1","Training","Stims/Figures/71-C-30-1.bmp","None","Up","38","3","15","10","N","J","47"
"","","approach-retreat","51","572736","0.0-51.0","","","2-3","4678","38","1","Training","Stims/Figures/100-C-30-3.bmp","None","Up","38","3","16","10","N","J","48"
"","","approach-retreat","52","580136","0.0-52.0","","","2-3","5885","37","1","Training","Stims/Figures/100-J-10-3.bmp","None","Right","37","4","1","10","N","J","49"
"","","approach-retreat","53","586085","0.0-53.0","","","2-3","4436","39","1","Training","Stims/Figures/118-C-20-2.bmp","None","Right","39","4","2","10","N","J","50"
"","","approach-retreat","54","594554","0.0-54.0","","","2-3","6953","39","1","Training","Stims/Figures/7-J-10-4.bmp","None","Left","39","4","3","10","N","J","51"
"","","approach-retreat","55","601925","0.0-55.0","","","2-3","5857","40","1","Training","Stims/Figures/71-C-30-1.bmp","None","Down","40","4","4","10","N","J","52"
"","","approach-retreat","56","607931","0.0-56.0","","","2-3","4489","37","1","Training","Stims/Figures/71-J-0-1.bmp","None","Right","37","4","5","10","N","J","53"
"","","approach-retreat","57","613969","0.0-57.0","","","2-3","4522","39","1","Training","Stims/Figures/118-J-0-2.bmp","None","Left","39","4","6","10","N","J","54"
"","","approach-retreat","58","620372","0.0-58.0","","","2-3","4889","38","1","Training","Stims/Figures/7-C-20-4.bmp","None","Up","38","4","7","10","N","J","55"
"","","approach-retreat","59","627698","0.0-59.0","","","2-3","5810","38","1","Training","Stims/Figures/19-J-10-4.bmp","None","Down","38","4","8","10","N","J","56"
"","","approach-retreat","60","633493","0.0-60.0","","","2-3","4280","40","1","Training","Stims/Figures/19-C-20-4.bmp","None","Down","40","4","9","10","N","J","57"
"","","approach-retreat","61","639566","0.0-61.0","","","2-3","4564","39","1","Training","Stims/Figures/94-J-0-2.bmp","None","Left","39","4","10","10","N","J","58"
"","","approach-retreat","62","645767","0.0-62.0","","","2-3","4687","40","1","Training","Stims/Figures/94-C-20-2.bmp","None","Down","40","4","11","10","N","J","59"
"","","approach-retreat","63","652669","0.0-63.0","","","2-3","5387","38","1","Training","Stims/Figures/111-C-30-3.bmp","None","Up","38","4","12","10","N","J","60"
"","","approach-retreat","64","660318","0.0-64.0","","","2-3","6135","37","1","Training","Stims/Figures/57-J-0-1.bmp","None","Right","37","4","13","10","N","J","61"
"","","approach-retreat","65","666397","0.0-65.0","","","2-3","4563","38","1","Training","Stims/Figures/57-C-30-1.bmp","None","Up","38","4","14","10","N","J","62"
"","","approach-retreat","66","672495","0.0-66.0","","","2-3","4583","37","1","Training","Stims/Figures/100-C-30-3.bmp","None","Left","37","4","15","10","N","J","63"
"","","approach-retreat","67","680408","0.0-67.0","","","2-3","6396","40","1","Training","Stims/Figures/111-J-10-3.bmp","None","Up","40","4","16","10","N","J","64"
"","","approach-retreat","68","686412","0.0-68.0","","","2-3","4489","40","1","Training","Stims/Figures/94-J-0-2.bmp","None","Up","40","5","1","10","N","J","65"
"","","approach-retreat","69","692512","0.0-69.0","","","2-3","4586","39","1","Training","Stims/Figures/19-C-20-4.bmp","None","Right","39","5","2","10","N","J","66"
