"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"26774","32","text","0","26777","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"26853","","instructions","1","53633","0.0-1.0","[{""page_index"":0,""viewing_time"":26853}]","","","","","","","","","","","","","","","",""
"38204","","survey-multi-choice","2","91871","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","99713","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","110706","0.0-4.0","","","3-2","9485","39","0","Training","Stims/Figures/87-C-20-4.bmp","None","Right","37","1","1","10","N","C","1"
"","","approach-retreat","5","133488","0.0-5.0","","","3-2","21276","40","0","Training","Stims/Figures/100-C-30-3.bmp","None","Down","38","1","2","10","N","C","2"
"","","approach-retreat","6","139632","0.0-6.0","","","3-2","4638","37","1","Training","Stims/Figures/44-J-10-3.bmp","None","Left","37","1","3","10","N","C","3"
"","","approach-retreat","7","145430","0.0-7.0","","","3-2","4293","37","0","Training","Stims/Figures/27-C-30-1.bmp","None","Left","39","1","4","10","N","C","4"
"","","approach-retreat","8","152491","0.0-8.0","","","3-2","5556","40","0","Training","Stims/Figures/100-J-10-3.bmp","None","Up","38","1","5","10","N","C","5"
"","","approach-retreat","9","159420","0.0-9.0","","","3-2","5424","40","1","Training","Stims/Figures/84-J-0-2.bmp","None","Down","40","1","6","10","N","C","6"
"","","approach-retreat","10","165047","0.0-10.0","","","3-2","4122","40","1","Training","Stims/Figures/57-J-0-1.bmp","None","Down","40","1","7","10","N","C","7"
"","","approach-retreat","11","171819","0.0-11.0","","","3-2","5265","39","1","Training","Stims/Figures/139-C-20-2.bmp","None","Left","39","1","8","10","N","C","8"
"","","approach-retreat","12","177612","0.0-12.0","","","3-2","4288","39","1","Training","Stims/Figures/102-J-10-4.bmp","None","Right","39","1","9","10","N","C","9"
"","","approach-retreat","13","184477","0.0-13.0","","","3-2","5360","37","1","Training","Stims/Figures/139-J-0-2.bmp","None","Left","37","1","10","10","N","C","10"
"","","approach-retreat","14","191340","0.0-14.0","","","3-2","5358","37","0","Training","Stims/Figures/87-J-10-4.bmp","None","Right","39","1","11","10","N","C","11"
"","","approach-retreat","15","197254","0.0-15.0","","","3-2","4409","40","1","Training","Stims/Figures/84-C-20-2.bmp","None","Up","40","1","12","10","N","C","12"
"","","approach-retreat","16","203480","0.0-16.0","","","3-2","4720","39","0","Training","Stims/Figures/102-C-20-4.bmp","None","Right","37","1","13","10","N","C","13"
"","","approach-retreat","17","209276","0.0-17.0","","","3-2","4289","40","1","Training","Stims/Figures/44-C-30-3.bmp","None","Up","40","1","14","10","N","C","14"
"","","approach-retreat","18","214968","0.0-18.0","","","3-2","4186","40","0","Training","Stims/Figures/57-C-30-1.bmp","None","Down","38","1","15","10","N","C","15"
"","","approach-retreat","19","220678","0.0-19.0","","","3-2","4205","40","0","Training","Stims/Figures/27-J-0-1.bmp","None","Up","38","1","16","10","N","C","16"
"","","approach-retreat","20","226349","0.0-20.0","","","3-2","4165","40","1","Training","Stims/Figures/27-J-0-1.bmp","None","Down","40","2","1","10","N","C","17"
"","","approach-retreat","21","232637","0.0-21.0","","","3-2","4784","39","0","Training","Stims/Figures/27-C-30-1.bmp","None","Right","37","2","2","10","N","C","18"
"","","approach-retreat","22","238380","0.0-22.0","","","3-2","4240","40","1","Training","Stims/Figures/44-C-30-3.bmp","None","Up","40","2","3","10","N","C","19"
"","","approach-retreat","23","244637","0.0-23.0","","","3-2","4751","37","1","Training","Stims/Figures/87-C-20-4.bmp","None","Right","37","2","4","10","N","C","20"
"","","approach-retreat","24","250613","0.0-24.0","","","3-2","4471","37","0","Training","Stims/Figures/57-C-30-1.bmp","None","Left","39","2","5","10","N","C","21"
"","","approach-retreat","25","256559","0.0-25.0","","","3-2","4441","37","0","Training","Stims/Figures/87-J-10-4.bmp","None","Right","39","2","6","10","N","C","22"
"","","approach-retreat","26","262388","0.0-26.0","","","3-2","4324","40","1","Training","Stims/Figures/139-J-0-2.bmp","None","Down","40","2","7","10","N","C","23"
"","","approach-retreat","27","268662","0.0-27.0","","","3-2","4768","37","0","Training","Stims/Figures/84-J-0-2.bmp","None","Right","39","2","8","10","N","C","24"
"","","approach-retreat","28","274377","0.0-28.0","","","3-2","4210","40","0","Training","Stims/Figures/57-J-0-1.bmp","None","Up","38","2","9","10","N","C","25"
"","","approach-retreat","29","280396","0.0-29.0","","","3-2","4515","40","0","Training","Stims/Figures/100-J-10-3.bmp","None","Up","38","2","10","10","N","C","26"
"","","approach-retreat","30","286513","0.0-30.0","","","3-2","4611","40","0","Training","Stims/Figures/84-C-20-2.bmp","None","Down","38","2","11","10","N","C","27"
"","","approach-retreat","31","292383","0.0-31.0","","","3-2","4365","37","0","Training","Stims/Figures/102-C-20-4.bmp","None","Left","39","2","12","10","N","C","28"
"","","approach-retreat","32","298223","0.0-32.0","","","3-2","4336","40","1","Training","Stims/Figures/100-C-30-3.bmp","None","Up","40","2","13","10","N","C","29"
"","","approach-retreat","33","304767","0.0-33.0","","","3-2","5038","39","1","Training","Stims/Figures/139-C-20-2.bmp","None","Left","39","2","14","10","N","C","30"
"","","approach-retreat","34","310557","0.0-34.0","","","3-2","4286","39","0","Training","Stims/Figures/44-J-10-3.bmp","None","Left","37","2","15","10","N","C","31"
"","","approach-retreat","35","316370","0.0-35.0","","","3-2","4308","40","1","Training","Stims/Figures/102-J-10-4.bmp","None","Down","40","2","16","10","N","C","32"
"","","approach-retreat","36","322148","0.0-36.0","","","3-2","4274","40","1","Training","Stims/Figures/84-J-0-2.bmp","None","Down","40","3","1","10","N","C","33"
"","","approach-retreat","37","329034","0.0-37.0","","","3-2","5380","39","0","Training","Stims/Figures/44-J-10-3.bmp","None","Left","37","3","2","10","N","C","34"
"","","approach-retreat","38","335721","0.0-38.0","","","3-2","5181","39","0","Training","Stims/Figures/102-J-10-4.bmp","None","Left","37","3","3","10","N","C","35"
"","","approach-retreat","39","341694","0.0-39.0","","","3-2","4468","38","1","Training","Stims/Figures/100-J-10-3.bmp","None","Up","38","3","4","10","N","C","36"
"","","approach-retreat","40","347296","0.0-40.0","","","3-2","4098","37","0","Training","Stims/Figures/139-J-0-2.bmp","None","Right","39","3","5","10","N","C","37"
"","","approach-retreat","41","352999","0.0-41.0","","","3-2","4198","40","0","Training","Stims/Figures/87-J-10-4.bmp","None","Up","38","3","6","10","N","C","38"
"","","approach-retreat","42","361102","0.0-42.0","","","3-2","6599","38","1","Training","Stims/Figures/27-C-30-1.bmp","None","Down","38","3","7","10","N","C","39"
"","","approach-retreat","43","367124","0.0-43.0","","","3-2","4516","38","0","Training","Stims/Figures/27-J-0-1.bmp","None","Down","40","3","8","10","N","C","40"
"","","approach-retreat","44","373351","0.0-44.0","","","3-2","4721","40","1","Training","Stims/Figures/57-C-30-1.bmp","None","Up","40","3","9","10","N","C","41"
