"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"50964","32","text","0","50982","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"109960","","instructions","1","160953","0.0-1.0","[{""page_index"":0,""viewing_time"":109954}]","","","","","","","","","","","","","","","",""
"44797","","survey-multi-choice","2","205844","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Ne"",""Q2"":""Ne"",""Q3"":""Ne"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","217054","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","226718","0.0-4.0","","","2-4","8138","40","0","Training","Stims/Figures/57-C-30-1.bmp","za:saza","Down","38","1","1","6A","C2","C","1"
"","","approach-retreat","5","233424","0.0-5.0","","","2-4","5181","39","1","Training","Stims/Figures/44-J-10-3.bmp","vasha:va","Right","39","1","2","6A","C1","C","2"
"","","approach-retreat","6","240705","0.0-6.0","","","2-4","5761","39","0","Training","Stims/Figures/87-J-10-4.bmp","va:sha:va","Left","37","1","3","6A","C1","C","3"
"","","approach-retreat","7","248419","0.0-7.0","","","2-4","6191","40","1","Training","Stims/Figures/7-C-20-4.bmp","saha:ha","Up","40","1","4","6A","C2","C","4"
"","","approach-retreat","8","255548","0.0-8.0","","","2-4","5602","38","1","Training","Stims/Figures/111-C-30-3.bmp","sa:saha","Down","38","1","5","6A","C2","C","5"
"","","approach-retreat","9","261895","0.0-9.0","","","2-4","4824","38","0","Training","Stims/Figures/87-C-20-4.bmp","saha:za","Up","40","1","6","6A","C2","C","6"
"","","approach-retreat","10","267884","0.0-10.0","","","2-4","4466","39","1","Training","Stims/Figures/44-C-30-3.bmp","za:ha:za","Left","39","1","7","6A","C2","C","7"
"","","approach-retreat","11","274289","0.0-11.0","","","2-4","4881","38","1","Training","Stims/Figures/71-J-0-1.bmp","fafa:sha","Up","38","1","8","6A","C1","C","8"
"","","approach-retreat","12","280464","0.0-12.0","","","2-4","4658","37","1","Training","Stims/Figures/139-C-20-2.bmp","zasaha","Right","37","1","9","6A","C2","C","9"
