"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"40815","32","text","0","40825","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"169063","","instructions","1","209896","0.0-1.0","[{""page_index"":0,""viewing_time"":169056}]","","","","","","","","","","","","","","","",""
"36891","","survey-multi-choice","2","246880","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","260579","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","270324","0.0-4.0","","","1-1","8221","38","1","Training","Stims/Figures/128-C-30-3.bmp","za:sa:za","Down","38","1","1","3A","C2","C","1"
"","","approach-retreat","5","276606","0.0-5.0","","","1-1","4758","40","1","Training","Stims/Figures/7-C-20-4.bmp","za:sa:za","Up","40","1","2","3A","C2","C","2"
"","","approach-retreat","6","283783","0.0-6.0","","","1-1","5645","40","0","Training","Stims/Figures/27-J-0-1.bmp","fafa:va","Up","38","1","3","3A","C1","C","3"
"","","approach-retreat","7","289904","0.0-7.0","","","1-1","4601","37","1","Training","Stims/Figures/7-J-10-4.bmp","fafa:va","Left","37","1","4","3A","C1","C","4"
"","","approach-retreat","8","295814","0.0-8.0","","","1-1","4380","39","1","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Left","39","1","5","3A","C2","C","5"
"","","approach-retreat","9","301363","0.0-9.0","","","1-1","4015","37","1","Training","Stims/Figures/44-C-30-3.bmp","za:sa:za","Right","37","1","6","3A","C2","C","6"
"","","approach-retreat","10","307024","0.0-10.0","","","1-1","4144","39","1","Training","Stims/Figures/118-J-0-2.bmp","fafa:va","Right","39","1","7","3A","C1","C","7"
"","","approach-retreat","11","313304","0.0-11.0","","","1-1","4754","38","1","Training","Stims/Figures/84-C-20-2.bmp","za:sa:za","Down","38","1","8","3A","C2","C","8"
"","","approach-retreat","12","319193","0.0-12.0","","","1-1","4365","39","1","Training","Stims/Figures/84-J-0-2.bmp","fafa:va","Right","39","1","9","3A","C1","C","9"
"","","approach-retreat","13","325683","0.0-13.0","","","1-1","4980","39","1","Training","Stims/Figures/27-C-30-1.bmp","za:sa:za","Left","39","1","10","3A","C2","C","10"
"","","approach-retreat","14","331564","0.0-14.0","","","1-1","4356","38","1","Training","Stims/Figures/128-J-10-3.bmp","fafa:va","Up","38","1","11","3A","C1","C","11"
"","","approach-retreat","15","337173","0.0-15.0","","","1-1","4082","37","1","Training","Stims/Figures/118-C-20-2.bmp","za:sa:za","Right","37","1","12","3A","C2","C","12"
"","","approach-retreat","16","343744","0.0-16.0","","","1-1","5047","37","1","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Left","37","1","13","3A","C1","C","13"
"","","approach-retreat","17","349823","0.0-17.0","","","1-1","4553","40","1","Training","Stims/Figures/93-J-0-1.bmp","fafa:va","Down","40","1","14","3A","C1","C","14"
"","","approach-retreat","18","355803","0.0-18.0","","","1-1","4461","38","1","Training","Stims/Figures/93-C-30-1.bmp","za:sa:za","Down","38","1","15","3A","C2","C","15"
"","","approach-retreat","19","361674","0.0-19.0","","","1-1","4347","38","1","Training","Stims/Figures/44-J-10-3.bmp","fafa:va","Up","38","1","16","3A","C1","C","16"
"","","approach-retreat","20","367653","0.0-20.0","","","1-1","4463","39","1","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Left","39","2","1","3A","C2","C","17"
"","","approach-retreat","21","373184","0.0-21.0","","","1-1","4020","39","1","Training","Stims/Figures/27-J-0-1.bmp","fafa:va","Right","39","2","2","3A","C1","C","18"
"","","approach-retreat","22","378823","0.0-22.0","","","1-1","4119","39","1","Training","Stims/Figures/7-J-10-4.bmp","fafa:va","Right","39","2","3","3A","C1","C","19"
"","","approach-retreat","23","384414","0.0-23.0","","","1-1","4083","37","1","Training","Stims/Figures/44-J-10-3.bmp","fafa:va","Left","37","2","4","3A","C1","C","20"
"","","approach-retreat","24","390063","0.0-24.0","","","1-1","4134","37","1","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Left","37","2","5","3A","C1","C","21"
"","","approach-retreat","25","395764","0.0-25.0","","","1-1","4177","40","1","Training","Stims/Figures/7-C-20-4.bmp","za:sa:za","Up","40","2","6","3A","C2","C","22"
"","","approach-retreat","26","401483","0.0-26.0","","","1-1","4200","38","1","Training","Stims/Figures/118-C-20-2.bmp","za:sa:za","Down","38","2","7","3A","C2","C","23"
"","","approach-retreat","27","407231","0.0-27.0","","","1-1","4233","38","1","Training","Stims/Figures/44-C-30-3.bmp","za:sa:za","Down","38","2","8","3A","C2","C","24"
"","","approach-retreat","28","413094","0.0-28.0","","","1-1","4349","40","1","Training","Stims/Figures/118-J-0-2.bmp","fafa:va","Down","40","2","9","3A","C1","C","25"
"","","approach-retreat","29","419103","0.0-29.0","","","1-1","4478","38","1","Training","Stims/Figures/27-C-30-1.bmp","za:sa:za","Down","38","2","10","3A","C2","C","26"
"","","approach-retreat","30","426154","0.0-30.0","","","1-1","5529","38","1","Training","Stims/Figures/84-J-0-2.bmp","fafa:va","Up","38","2","11","3A","C1","C","27"
"","","approach-retreat","31","431763","0.0-31.0","","","1-1","4088","38","1","Training","Stims/Figures/93-J-0-1.bmp","fafa:va","Up","38","2","12","3A","C1","C","28"
"","","approach-retreat","32","437393","0.0-32.0","","","1-1","4115","38","1","Training","Stims/Figures/128-J-10-3.bmp","fafa:va","Up","38","2","13","3A","C1","C","29"
"","","approach-retreat","33","443573","0.0-33.0","","","1-1","4653","37","1","Training","Stims/Figures/93-C-30-1.bmp","za:sa:za","Right","37","2","14","3A","C2","C","30"
"","","approach-retreat","34","449503","0.0-34.0","","","1-1","4402","37","1","Training","Stims/Figures/128-C-30-3.bmp","za:sa:za","Right","37","2","15","3A","C2","C","31"
"","","approach-retreat","35","455704","0.0-35.0","","","1-1","4678","39","1","Training","Stims/Figures/84-C-20-2.bmp","za:sa:za","Left","39","2","16","3A","C2","C","32"
"","","approach-retreat","36","461304","0.0-36.0","","","1-1","4076","39","1","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Left","39","3","1","3A","C2","C","33"
