"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"33984","32","text","0","33996","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"219270","","instructions","1","253275","0.0-1.0","[{""page_index"":0,""viewing_time"":219267}]","","","","","","","","","","","","","","","",""
"60337","","survey-multi-choice","2","313748","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","327161","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","339392","0.0-4.0","","","1-5","10704","37","1","Training","Stims/Figures/27-C-30-1.bmp","pakata","Left","37","1","1","7","P","J","1"
"","","approach-retreat","5","349716","0.0-5.0","","","1-5","8795","39","0","Training","Stims/Figures/100-J-10-3.bmp","mamala","Right","37","1","2","7","S","J","2"
"","","approach-retreat","6","356815","0.0-6.0","","","1-5","5559","37","0","Training","Stims/Figures/7-J-10-4.bmp","ma:lala","Left","39","1","3","7","S","J","3"
"","","approach-retreat","7","362405","0.0-7.0","","","1-5","4065","37","0","Training","Stims/Figures/94-J-0-2.bmp","tapa:ta","Left","39","1","4","7","P","J","4"
"","","approach-retreat","8","371067","0.0-8.0","","","1-5","7121","40","0","Training","Stims/Figures/94-C-20-2.bmp","paka:ka","Up","38","1","5","7","P","J","5"
"","","approach-retreat","9","378729","0.0-9.0","","","1-5","6124","38","1","Training","Stims/Figures/7-C-20-4.bmp","na:ma:na","Up","38","1","6","7","S","J","6"
"","","approach-retreat","10","386717","0.0-10.0","","","1-5","6444","38","0","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Up","40","1","7","7","S","J","7"
"","","approach-retreat","11","395204","0.0-11.0","","","1-5","6947","40","0","Training","Stims/Figures/87-J-10-4.bmp","nama:na","Down","38","1","8","7","S","J","8"
"","","approach-retreat","12","400972","0.0-12.0","","","1-5","4235","38","1","Training","Stims/Figures/118-J-0-2.bmp","tapata","Down","38","1","9","7","P","J","9"
"","","approach-retreat","13","409621","0.0-13.0","","","1-5","7116","39","0","Training","Stims/Figures/118-C-20-2.bmp","ta:pa:ta","Left","37","1","10","7","P","J","10"
"","","approach-retreat","14","419772","0.0-14.0","","","1-5","8617","37","0","Training","Stims/Figures/111-C-30-3.bmp","na:mana","Right","39","1","11","7","S","J","11"
"","","approach-retreat","15","426712","0.0-15.0","","","1-5","5400","38","1","Training","Stims/Figures/100-C-30-3.bmp","mama:la","Up","38","1","12","7","S","J","12"
"","","approach-retreat","16","433091","0.0-16.0","","","1-5","4840","39","1","Training","Stims/Figures/86-C-30-1.bmp","ta:paka","Right","39","1","13","7","P","J","13"
"","","approach-retreat","17","440715","0.0-17.0","","","1-5","6082","40","1","Training","Stims/Figures/87-C-20-4.bmp","malana","Down","40","1","14","7","S","J","14"
"","","approach-retreat","18","448468","0.0-18.0","","","1-5","6214","39","0","Training","Stims/Figures/27-J-0-1.bmp","pa:ka:ka","Right","37","1","15","7","P","J","15"
"","","approach-retreat","19","455475","0.0-19.0","","","1-5","5466","38","1","Training","Stims/Figures/86-J-0-1.bmp","papata","Down","38","1","16","7","P","J","16"
"","","approach-retreat","20","462513","0.0-20.0","","","1-5","5495","39","0","Training","Stims/Figures/94-C-20-2.bmp","paka:ka","Left","37","2","1","7","P","J","17"
"","","approach-retreat","21","469992","0.0-21.0","","","1-5","5938","38","1","Training","Stims/Figures/86-J-0-1.bmp","papata","Down","38","2","2","7","P","J","18"
"","","approach-retreat","22","476964","0.0-22.0","","","1-5","5429","38","0","Training","Stims/Figures/7-C-20-4.bmp","na:ma:na","Down","40","2","3","7","S","J","19"
"","","approach-retreat","23","482962","0.0-23.0","","","1-5","4465","39","1","Training","Stims/Figures/7-J-10-4.bmp","ma:lala","Left","39","2","4","7","S","J","20"
"","","approach-retreat","24","488630","0.0-24.0","","","1-5","4128","39","0","Training","Stims/Figures/27-J-0-1.bmp","pa:ka:ka","Right","37","2","5","7","P","J","21"
"","","approach-retreat","25","494872","0.0-25.0","","","1-5","4704","37","0","Training","Stims/Figures/100-C-30-3.bmp","mama:la","Right","39","2","6","7","S","J","22"
"","","approach-retreat","26","500982","0.0-26.0","","","1-5","4566","39","0","Training","Stims/Figures/118-J-0-2.bmp","tapata","Right","37","2","7","7","P","J","23"
"","","approach-retreat","27","508387","0.0-27.0","","","1-5","5883","38","0","Training","Stims/Figures/86-C-30-1.bmp","ta:paka","Down","40","2","8","7","P","J","24"
"","","approach-retreat","28","516135","0.0-28.0","","","1-5","6209","38","1","Training","Stims/Figures/87-C-20-4.bmp","malana","Up","38","2","9","7","S","J","25"
"","","approach-retreat","29","522367","0.0-29.0","","","1-5","4694","38","1","Training","Stims/Figures/111-C-30-3.bmp","na:mana","Up","38","2","10","7","S","J","26"
"","","approach-retreat","30","528368","0.0-30.0","","","1-5","4460","38","0","Training","Stims/Figures/87-J-10-4.bmp","nama:na","Up","40","2","11","7","S","J","27"
"","","approach-retreat","31","535328","0.0-31.0","","","1-5","5418","37","0","Training","Stims/Figures/94-J-0-2.bmp","tapa:ta","Left","39","2","12","7","P","J","28"
"","","approach-retreat","32","544346","0.0-32.0","","","1-5","7475","40","0","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Down","38","2","13","7","S","J","29"
"","","approach-retreat","33","552171","0.0-33.0","","","1-5","6282","37","0","Training","Stims/Figures/118-C-20-2.bmp","ta:pa:ta","Right","39","2","14","7","P","J","30"
"","","approach-retreat","34","558788","0.0-34.0","","","1-5","5078","38","0","Training","Stims/Figures/100-J-10-3.bmp","mamala","Up","40","2","15","7","S","J","31"
"","","approach-retreat","35","565617","0.0-35.0","","","1-5","5288","37","1","Training","Stims/Figures/27-C-30-1.bmp","pakata","Left","37","2","16","7","P","J","32"
"","","approach-retreat","36","572391","0.0-36.0","","","1-5","5232","38","0","Training","Stims/Figures/94-J-0-2.bmp","tapa:ta","Up","40","3","1","7","P","J","33"
"","","approach-retreat","37","580826","0.0-37.0","","","1-5","6899","40","1","Training","Stims/Figures/111-C-30-3.bmp","na:mana","Down","40","3","2","7","S","J","34"
"","","approach-retreat","38","588646","0.0-38.0","","","1-5","6278","39","0","Training","Stims/Figures/86-C-30-1.bmp","ta:paka","Left","37","3","3","7","P","J","35"
"","","approach-retreat","39","597701","0.0-39.0","","","1-5","7519","39","0","Training","Stims/Figures/27-J-0-1.bmp","pa:ka:ka","Right","37","3","4","7","P","J","36"
"","","approach-retreat","40","606126","0.0-40.0","","","1-5","6885","40","0","Training","Stims/Figures/7-J-10-4.bmp","ma:lala","Down","38","3","5","7","S","J","37"
"","","approach-retreat","41","613577","0.0-41.0","","","1-5","5936","38","1","Training","Stims/Figures/100-C-30-3.bmp","mama:la","Up","38","3","6","7","S","J","38"
"","","approach-retreat","42","623807","0.0-42.0","","","1-5","8717","37","0","Training","Stims/Figures/94-C-20-2.bmp","paka:ka","Right","39","3","7","7","P","J","39"
"","","approach-retreat","43","630811","0.0-43.0","","","1-5","5465","40","0","Training","Stims/Figures/118-J-0-2.bmp","tapata","Down","38","3","8","7","P","J","40"
"","","approach-retreat","44","640571","0.0-44.0","","","1-5","8221","37","0","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Left","39","3","9","7","S","J","41"
"","","approach-retreat","45","649800","0.0-45.0","","","1-5","7716","39","1","Training","Stims/Figures/87-J-10-4.bmp","nama:na","Left","39","3","10","7","S","J","42"
"","","approach-retreat","46","658208","0.0-46.0","","","1-5","6868","39","0","Training","Stims/Figures/87-C-20-4.bmp","malana","Left","37","3","11","7","S","J","43"
"","","approach-retreat","47","665053","0.0-47.0","","","1-5","5307","40","0","Training","Stims/Figures/86-J-0-1.bmp","papata","Down","38","3","12","7","P","J","44"
"","","approach-retreat","48","672366","0.0-48.0","","","1-5","5773","37","0","Training","Stims/Figures/27-C-30-1.bmp","pakata","Right","39","3","13","7","P","J","45"
"","","approach-retreat","49","678332","0.0-49.0","","","1-5","4428","39","0","Training","Stims/Figures/100-J-10-3.bmp","mamala","Right","37","3","14","7","S","J","46"
"","","approach-retreat","50","686372","0.0-50.0","","","1-5","6508","38","1","Training","Stims/Figures/118-C-20-2.bmp","ta:pa:ta","Up","38","3","15","7","P","J","47"
"","","approach-retreat","51","694698","0.0-51.0","","","1-5","6788","38","1","Training","Stims/Figures/7-C-20-4.bmp","na:ma:na","Up","38","3","16","7","S","J","48"
"","","approach-retreat","52","703117","0.0-52.0","","","1-5","6878","40","0","Training","Stims/Figures/86-J-0-1.bmp","papata","Down","38","4","1","7","P","J","49"
"","","approach-retreat","53","712942","0.0-53.0","","","1-5","8286","37","0","Training","Stims/Figures/100-J-10-3.bmp","mamala","Left","39","4","2","7","S","J","50"
"","","approach-retreat","54","722748","0.0-54.0","","","1-5","8272","37","1","Training","Stims/Figures/118-C-20-2.bmp","ta:pa:ta","Left","37","4","3","7","P","J","51"
"","","approach-retreat","55","731503","0.0-55.0","","","1-5","7217","39","1","Training","Stims/Figures/87-C-20-4.bmp","malana","Right","39","4","4","7","S","J","52"
"","","approach-retreat","56","738728","0.0-56.0","","","1-5","5688","40","0","Training","Stims/Figures/87-J-10-4.bmp","nama:na","Down","38","4","5","7","S","J","53"
