"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"111652","32","text","0","111661","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"106259","","instructions","1","217927","0.0-1.0","[{""page_index"":0,""viewing_time"":106255}]","","","","","","","","","","","","","","","",""
"62953","","survey-multi-choice","2","280929","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","292549","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","309804","0.0-4.0","","","2-1","15736","40","1","Training","Stims/Figures/87-J-10-4.bmp","takaka","Up","40","1","1","4","P","J","1"
"","","approach-retreat","5","321679","0.0-5.0","","","2-1","10358","38","1","Training","Stims/Figures/71-C-30-1.bmp","nala:la","Up","38","1","2","4","S","J","2"
"","","approach-retreat","6","329003","0.0-6.0","","","2-1","5809","37","0","Training","Stims/Figures/139-J-0-2.bmp","ta:pa:ka","Left","39","1","3","4","P","J","3"
"","","approach-retreat","7","335891","0.0-7.0","","","2-1","5372","40","0","Training","Stims/Figures/7-J-10-4.bmp","pa:pa:ta","Down","38","1","4","4","P","J","4"
"","","approach-retreat","8","342484","0.0-8.0","","","2-1","5065","37","0","Training","Stims/Figures/128-C-30-3.bmp","ma:la:na","Right","39","1","5","4","S","J","5"
"","","approach-retreat","9","349391","0.0-9.0","","","2-1","5385","38","0","Training","Stims/Figures/27-C-30-1.bmp","na:ma:na","Down","40","1","6","4","S","J","6"
"","","approach-retreat","10","355254","0.0-10.0","","","2-1","4349","37","1","Training","Stims/Figures/128-J-10-3.bmp","pa:ka:ka","Right","37","1","7","4","P","J","7"
"","","approach-retreat","11","361239","0.0-11.0","","","2-1","4476","37","0","Training","Stims/Figures/84-J-0-2.bmp","taka:ka","Left","39","1","8","4","P","J","8"
"","","approach-retreat","12","367179","0.0-12.0","","","2-1","4422","38","0","Training","Stims/Figures/111-C-30-3.bmp","ma:ma:na","Down","40","1","9","4","S","J","9"
"","","approach-retreat","13","373153","0.0-13.0","","","2-1","4453","40","0","Training","Stims/Figures/7-C-20-4.bmp","ma:ma:la","Up","38","1","10","4","S","J","10"
"","","approach-retreat","14","379593","0.0-14.0","","","2-1","4914","37","1","Training","Stims/Figures/139-C-20-2.bmp","namana","Left","37","1","11","4","S","J","11"
"","","approach-retreat","15","385252","0.0-15.0","","","2-1","4144","40","1","Training","Stims/Figures/27-J-0-1.bmp","tapata","Up","40","1","12","4","P","J","12"
"","","approach-retreat","16","391245","0.0-16.0","","","2-1","4473","39","1","Training","Stims/Figures/84-C-20-2.bmp","na:lala","Right","39","1","13","4","S","J","13"
"","","approach-retreat","17","398418","0.0-17.0","","","2-1","5653","40","0","Training","Stims/Figures/71-J-0-1.bmp","ta:kata","Down","38","1","14","4","P","J","14"
"","","approach-retreat","18","404330","0.0-18.0","","","2-1","4395","39","1","Training","Stims/Figures/111-J-10-3.bmp","paka:ta","Left","39","1","15","4","P","J","15"
"","","approach-retreat","19","410355","0.0-19.0","","","2-1","4516","39","1","Training","Stims/Figures/87-C-20-4.bmp","nama:na","Right","39","1","16","4","S","J","16"
"","","approach-retreat","20","416186","0.0-20.0","","","2-1","4318","40","1","Training","Stims/Figures/128-J-10-3.bmp","pa:ka:ka","Up","40","2","1","4","P","J","17"
"","","approach-retreat","21","421884","0.0-21.0","","","2-1","4188","37","1","Training","Stims/Figures/111-J-10-3.bmp","paka:ta","Right","37","2","2","4","P","J","18"
"","","approach-retreat","22","427718","0.0-22.0","","","2-1","4328","40","1","Training","Stims/Figures/139-C-20-2.bmp","namana","Down","40","2","3","4","S","J","19"
"","","approach-retreat","23","434207","0.0-23.0","","","2-1","4979","38","1","Training","Stims/Figures/139-J-0-2.bmp","ta:pa:ka","Down","38","2","4","4","P","J","20"
"","","approach-retreat","24","440740","0.0-24.0","","","2-1","5006","38","1","Training","Stims/Figures/27-C-30-1.bmp","na:ma:na","Up","38","2","5","4","S","J","21"
"","","approach-retreat","25","446502","0.0-25.0","","","2-1","4256","39","1","Training","Stims/Figures/7-C-20-4.bmp","ma:ma:la","Right","39","2","6","4","S","J","22"
"","","approach-retreat","26","452238","0.0-26.0","","","2-1","4219","37","1","Training","Stims/Figures/111-C-30-3.bmp","ma:ma:na","Left","37","2","7","4","S","J","23"
"","","approach-retreat","27","458303","0.0-27.0","","","2-1","4558","40","1","Training","Stims/Figures/84-C-20-2.bmp","na:lala","Down","40","2","8","4","S","J","24"
"","","approach-retreat","28","464469","0.0-28.0","","","2-1","4650","39","1","Training","Stims/Figures/87-J-10-4.bmp","takaka","Left","39","2","9","4","P","J","25"
"","","approach-retreat","29","470585","0.0-29.0","","","2-1","4604","38","1","Training","Stims/Figures/71-J-0-1.bmp","ta:kata","Down","38","2","10","4","P","J","26"
"","","approach-retreat","30","476294","0.0-30.0","","","2-1","4202","40","1","Training","Stims/Figures/84-J-0-2.bmp","taka:ka","Up","40","2","11","4","P","J","27"
"","","approach-retreat","31","481964","0.0-31.0","","","2-1","4148","39","1","Training","Stims/Figures/87-C-20-4.bmp","nama:na","Right","39","2","12","4","S","J","28"
"","","approach-retreat","32","488067","0.0-32.0","","","2-1","4597","37","1","Training","Stims/Figures/71-C-30-1.bmp","nala:la","Left","37","2","13","4","S","J","29"
"","","approach-retreat","33","493747","0.0-33.0","","","2-1","4158","37","1","Training","Stims/Figures/128-C-30-3.bmp","ma:la:na","Left","37","2","14","4","S","J","30"
"","","approach-retreat","34","499623","0.0-34.0","","","2-1","4370","37","1","Training","Stims/Figures/7-J-10-4.bmp","pa:pa:ta","Right","37","2","15","4","P","J","31"
"","","approach-retreat","35","505439","0.0-35.0","","","2-1","4305","40","1","Training","Stims/Figures/27-J-0-1.bmp","tapata","Up","40","2","16","4","P","J","32"
"","","approach-retreat","36","511901","0.0-36.0","","","2-1","4946","39","1","Training","Stims/Figures/128-J-10-3.bmp","pa:ka:ka","Left","39","3","1","4","P","J","33"
"","","approach-retreat","37","517640","0.0-37.0","","","2-1","4214","38","1","Training","Stims/Figures/87-C-20-4.bmp","nama:na","Up","38","3","2","4","S","J","34"
"","","approach-retreat","38","523501","0.0-38.0","","","2-1","4351","39","1","Training","Stims/Figures/71-C-30-1.bmp","nala:la","Right","39","3","3","4","S","J","35"
"","","approach-retreat","39","529253","0.0-39.0","","","2-1","4241","38","1","Training","Stims/Figures/139-J-0-2.bmp","ta:pa:ka","Down","38","3","4","4","P","J","36"
"","","approach-retreat","40","534870","0.0-40.0","","","2-1","4107","37","1","Training","Stims/Figures/111-J-10-3.bmp","paka:ta","Right","37","3","5","4","P","J","37"
"","","approach-retreat","41","540508","0.0-41.0","","","2-1","4131","38","1","Training","Stims/Figures/84-J-0-2.bmp","taka:ka","Down","38","3","6","4","P","J","38"
"","","approach-retreat","42","546211","0.0-42.0","","","2-1","4198","38","1","Training","Stims/Figures/27-C-30-1.bmp","na:ma:na","Up","38","3","7","4","S","J","39"
"","","approach-retreat","43","551865","0.0-43.0","","","2-1","4136","40","1","Training","Stims/Figures/87-J-10-4.bmp","takaka","Up","40","3","8","4","P","J","40"
