"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"26204","32","text","0","26206","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"74382","","instructions","1","100590","0.0-1.0","[{""page_index"":0,""viewing_time"":74381}]","","","","","","","","","","","","","","","",""
"124492","","survey-multi-choice","2","225121","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","234320","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","252050","0.0-4.0","","","2-5","16202","37","1","Training","Stims/Figures/144-C-30-3.bmp","mama:la","Right","37","1","1","7","S","C","1"
"","","approach-retreat","5","260838","0.0-5.0","","","2-5","7281","38","0","Training","Stims/Figures/118-J-0-2.bmp","tapata","Down","40","1","2","7","P","C","2"
"","","approach-retreat","6","270750","0.0-6.0","","","2-5","8401","37","1","Training","Stims/Figures/128-C-30-3.bmp","ma:la:la","Right","37","1","3","7","S","C","3"
"","","approach-retreat","7","277320","0.0-7.0","","","2-5","5056","39","0","Training","Stims/Figures/102-J-10-4.bmp","na:la:la","Left","37","1","4","7","S","C","4"
"","","approach-retreat","8","284478","0.0-8.0","","","2-5","5631","40","1","Training","Stims/Figures/7-C-20-4.bmp","nama:na","Up","40","1","5","7","S","C","5"
"","","approach-retreat","9","291125","0.0-9.0","","","2-5","5137","37","1","Training","Stims/Figures/128-J-10-3.bmp","mama:na","Left","37","1","6","7","S","C","6"
"","","approach-retreat","10","300212","0.0-10.0","","","2-5","7579","40","0","Training","Stims/Figures/102-C-20-4.bmp","malana","Down","38","1","7","7","S","C","7"
"","","approach-retreat","11","308422","0.0-11.0","","","2-5","6702","38","0","Training","Stims/Figures/86-C-30-1.bmp","pa:ka:ta","Up","40","1","8","7","P","C","8"
"","","approach-retreat","12","314833","0.0-12.0","","","2-5","4902","37","1","Training","Stims/Figures/144-J-10-3.bmp","ma:la:na","Left","37","1","9","7","S","C","9"
"","","approach-retreat","13","320986","0.0-13.0","","","2-5","4635","39","1","Training","Stims/Figures/7-J-10-4.bmp","na:mana","Right","39","1","10","7","S","C","10"
"","","approach-retreat","14","326963","0.0-14.0","","","2-5","4461","38","0","Training","Stims/Figures/139-C-20-2.bmp","pa:pa:ka","Up","40","1","11","7","P","C","11"
"","","approach-retreat","15","332924","0.0-15.0","","","2-5","4455","37","0","Training","Stims/Figures/27-C-30-1.bmp","ta:pa:ka","Left","39","1","12","7","P","C","12"
