"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"30728","32","text","0","30737","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"50399","","instructions","1","81139","0.0-1.0","[{""page_index"":0,""viewing_time"":50398}]","","","","","","","","","","","","","","","",""
"24872","","survey-multi-choice","2","106094","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","113902","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","122454","0.0-4.0","","","1-4","7035","37","1","Training","Stims/Figures/144-J-10-3.bmp","tapa:ka","Right","37","1","1","4","P","J","1"
"","","approach-retreat","5","128683","0.0-5.0","","","1-4","4716","38","1","Training","Stims/Figures/139-J-0-2.bmp","paka:ta","Down","38","1","2","4","P","J","2"
"","","approach-retreat","6","134657","0.0-6.0","","","1-4","4461","37","0","Training","Stims/Figures/144-C-30-3.bmp","mamala","Right","39","1","3","4","S","J","3"
"","","approach-retreat","7","141151","0.0-7.0","","","1-4","4982","40","0","Training","Stims/Figures/128-C-30-3.bmp","na:lana","Up","38","1","4","4","S","J","4"
"","","approach-retreat","8","147011","0.0-8.0","","","1-4","4350","37","1","Training","Stims/Figures/128-J-10-3.bmp","pa:pa:ta","Right","37","1","5","4","P","J","5"
"","","approach-retreat","9","156359","0.0-9.0","","","1-4","7836","38","0","Training","Stims/Figures/57-C-30-1.bmp","ma:ma:na","Down","40","1","6","4","S","J","6"
"","","approach-retreat","10","168905","0.0-10.0","","","1-4","11034","40","0","Training","Stims/Figures/7-J-10-4.bmp","pa:pata","Down","38","1","7","4","P","J","7"
"","","approach-retreat","11","174108","0.0-11.0","","","1-4","3690","38","0","Training","Stims/Figures/57-J-0-1.bmp","pa:ka:ka","Up","40","1","8","4","P","J","8"
