"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"1929","32","text","0","1934","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"4717","","instructions","1","6656","0.0-1.0","[{""page_index"":0,""viewing_time"":4716}]","","","","","","","","","","","","","","","",""
"15431","","survey-multi-choice","2","22143","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","31450","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","46988","0.0-4.0","","","1-2","14021","37","0","Training","Stims/Figures/86-J-0-1.bmp","vashava","Left","39","1","1","6A","C1","J","1"
"","","approach-retreat","5","54923","0.0-5.0","","","1-2","6426","37","1","Training","Stims/Figures/128-J-10-3.bmp","vafava","Right","37","1","2","6A","C1","J","2"
"","","approach-retreat","6","62437","0.0-6.0","","","1-2","6004","40","0","Training","Stims/Figures/86-C-30-1.bmp","zasaha","Up","38","1","3","6A","C2","J","3"
"","","approach-retreat","7","69810","0.0-7.0","","","1-2","5863","40","0","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Up","38","1","4","6A","C2","J","4"
"","","approach-retreat","8","76751","0.0-8.0","","","1-2","5432","40","0","Training","Stims/Figures/94-J-0-2.bmp","vasha:va","Down","38","1","5","6A","C1","J","5"
"","","approach-retreat","9","85820","0.0-9.0","","","1-2","7560","40","1","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Up","40","1","6","6A","C1","J","6"
"","","approach-retreat","10","92836","0.0-10.0","","","1-2","5505","39","0","Training","Stims/Figures/128-C-30-3.bmp","sasaza","Left","37","1","7","6A","C2","J","7"
"","","approach-retreat","11","100770","0.0-11.0","","","1-2","6420","37","1","Training","Stims/Figures/44-J-10-3.bmp","fa:fasha","Right","37","1","8","6A","C1","J","8"
"","","approach-retreat","12","110615","0.0-12.0","","","1-2","8332","40","0","Training","Stims/Figures/57-J-0-1.bmp","fa:fava","Down","38","1","9","6A","C1","J","9"
"","","approach-retreat","13","116777","0.0-13.0","","","1-2","4653","38","0","Training","Stims/Figures/57-C-30-1.bmp","sasa:ha","Down","40","1","10","6A","C2","J","10"
"","","approach-retreat","14","123192","0.0-14.0","","","1-2","4905","40","0","Training","Stims/Figures/7-J-10-4.bmp","fa:shasha","Down","38","1","11","6A","C1","J","11"
"","","approach-retreat","15","129246","0.0-15.0","","","1-2","4546","37","0","Training","Stims/Figures/85-C-20-2.bmp","za:ha:ha","Right","39","1","12","6A","C2","J","12"
"","","approach-retreat","16","135942","0.0-16.0","","","1-2","5186","40","1","Training","Stims/Figures/85-J-0-2.bmp","fafava","Up","40","1","13","6A","C1","J","13"
"","","approach-retreat","17","142098","0.0-17.0","","","1-2","4644","37","0","Training","Stims/Figures/94-C-20-2.bmp","zaha:za","Right","39","1","14","6A","C2","J","14"
