"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"25186","32","text","0","25188","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"57419","","instructions","1","82607","0.0-1.0","[{""page_index"":0,""viewing_time"":57419}]","","","","","","","","","","","","","","","",""
"33293","","survey-multi-choice","2","115911","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","136156","0.0-3.0","","{""age"":""19"",""gender"":""m"",""specify"":""Muški""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","143529","0.0-4.0","","","1-1","5869","37","1","Training","Stims/Figures/128-J-10-3.bmp","fashasha","Left","37","1","1","6A","C1","C","1"
"","","approach-retreat","5","149312","0.0-5.0","","","1-1","4278","38","1","Training","Stims/Figures/57-J-0-1.bmp","fafava","Up","38","1","2","6A","C1","C","2"
"","","approach-retreat","6","155476","0.0-6.0","","","1-1","4660","38","0","Training","Stims/Figures/139-J-0-2.bmp","vafava","Down","40","1","3","6A","C1","C","3"
"","","approach-retreat","7","161972","0.0-7.0","","","1-1","4993","37","0","Training","Stims/Figures/7-J-10-4.bmp","va:fa:sha","Right","39","1","4","6A","C1","C","4"
"","","approach-retreat","8","167791","0.0-8.0","","","1-1","4317","40","0","Training","Stims/Figures/87-J-10-4.bmp","va:sha:sha","Up","38","1","5","6A","C1","C","5"
"","","approach-retreat","9","174075","0.0-9.0","","","1-1","4780","37","0","Training","Stims/Figures/7-C-20-4.bmp","zaha:ha","Left","39","1","6","6A","C2","C","6"
"","","approach-retreat","10","179931","0.0-10.0","","","1-1","4353","38","0","Training","Stims/Figures/93-J-0-1.bmp","fasha:va","Down","40","1","7","6A","C1","C","7"
"","","approach-retreat","11","185698","0.0-11.0","","","1-1","4263","40","1","Training","Stims/Figures/85-C-20-2.bmp","sasaza","Up","40","1","8","6A","C2","C","8"
"","","approach-retreat","12","191593","0.0-12.0","","","1-1","4393","37","1","Training","Stims/Figures/85-J-0-2.bmp","fafa:va","Left","37","1","9","6A","C1","C","9"
