"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"5612","32","text","0","5614","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"30926","","instructions","1","36542","0.0-1.0","[{""page_index"":0,""viewing_time"":30924}]","","","","","","","","","","","","","","","",""
"9952","","survey-multi-choice","2","46533","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","53431","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","60945","0.0-4.0","","","1-5","6003","38","1","Training","Stims/Figures/128-J-10-3.bmp","vafava","Down","38","1","1","6A","C1","J","1"
"","","approach-retreat","5","70090","0.0-5.0","","","1-5","7633","37","0","Training","Stims/Figures/44-C-30-3.bmp","za:ha:za","Right","39","1","2","6A","C2","J","2"
"","","approach-retreat","6","78265","0.0-6.0","","","1-5","6666","40","0","Training","Stims/Figures/44-J-10-3.bmp","fa:fasha","Down","38","1","3","6A","C1","J","3"
"","","approach-retreat","7","84936","0.0-7.0","","","1-5","5162","38","0","Training","Stims/Figures/57-C-30-1.bmp","sasa:ha","Down","40","1","4","6A","C2","J","4"
"","","approach-retreat","8","94840","0.0-8.0","","","1-5","8395","40","1","Training","Stims/Figures/7-J-10-4.bmp","fa:shasha","Up","40","1","5","6A","C1","J","5"
"","","approach-retreat","9","104498","0.0-9.0","","","1-5","8150","39","0","Training","Stims/Figures/94-J-0-2.bmp","vasha:va","Right","37","1","6","6A","C1","J","6"
"","","approach-retreat","10","111393","0.0-10.0","","","1-5","5387","39","1","Training","Stims/Figures/57-J-0-1.bmp","fa:fava","Left","39","1","7","6A","C1","J","7"
"","","approach-retreat","11","118298","0.0-11.0","","","1-5","5396","40","0","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Up","38","1","8","6A","C2","J","8"
"","","approach-retreat","12","124593","0.0-12.0","","","1-5","4784","37","0","Training","Stims/Figures/128-C-30-3.bmp","sasaza","Right","39","1","9","6A","C2","J","9"
"","","approach-retreat","13","131161","0.0-13.0","","","1-5","5060","37","1","Training","Stims/Figures/86-J-0-1.bmp","vashava","Right","37","1","10","6A","C1","J","10"
"","","approach-retreat","14","137544","0.0-14.0","","","1-5","4875","37","1","Training","Stims/Figures/94-C-20-2.bmp","zaha:za","Left","37","1","11","6A","C2","J","11"
"","","approach-retreat","15","143921","0.0-15.0","","","1-5","4869","38","0","Training","Stims/Figures/86-C-30-1.bmp","zasaha","Down","40","1","12","6A","C2","J","12"
"","","approach-retreat","16","149832","0.0-16.0","","","1-5","4402","39","0","Training","Stims/Figures/85-C-20-2.bmp","za:ha:ha","Left","37","1","13","6A","C2","J","13"
"","","approach-retreat","17","155585","0.0-17.0","","","1-5","4245","39","1","Training","Stims/Figures/85-J-0-2.bmp","fafava","Left","39","1","14","6A","C1","J","14"
"","","approach-retreat","18","162849","0.0-18.0","","","1-5","5756","38","0","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Up","40","1","15","6A","C1","J","15"
"","","approach-retreat","19","172152","0.0-19.0","","","1-5","7795","38","1","Training","Stims/Figures/7-C-20-4.bmp","saha:ha","Up","38","1","16","6A","C2","J","16"
"","","approach-retreat","20","178417","0.0-20.0","","","1-5","4756","38","1","Training","Stims/Figures/44-J-10-3.bmp","fa:fasha","Down","38","2","1","6A","C1","J","17"
"","","approach-retreat","21","185241","0.0-21.0","","","1-5","5316","38","0","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Up","40","2","2","6A","C1","J","18"
"","","approach-retreat","22","191776","0.0-22.0","","","1-5","5027","38","1","Training","Stims/Figures/7-J-10-4.bmp","fa:shasha","Down","38","2","3","6A","C1","J","19"
"","","approach-retreat","23","199161","0.0-23.0","","","1-5","5875","37","0","Training","Stims/Figures/86-J-0-1.bmp","vashava","Left","39","2","4","6A","C1","J","20"
"","","approach-retreat","24","205856","0.0-24.0","","","1-5","5187","38","1","Training","Stims/Figures/19-C-20-4.bmp","za:sa:za","Up","38","2","5","6A","C2","J","21"
"","","approach-retreat","25","213184","0.0-25.0","","","1-5","5821","39","1","Training","Stims/Figures/7-C-20-4.bmp","saha:ha","Right","39","2","6","6A","C2","J","22"
"","","approach-retreat","26","219345","0.0-26.0","","","1-5","4652","38","1","Training","Stims/Figures/57-J-0-1.bmp","fa:fava","Down","38","2","7","6A","C1","J","23"
"","","approach-retreat","27","225528","0.0-27.0","","","1-5","4675","37","1","Training","Stims/Figures/57-C-30-1.bmp","sasa:ha","Left","37","2","8","6A","C2","J","24"
"","","approach-retreat","28","231376","0.0-28.0","","","1-5","4341","39","0","Training","Stims/Figures/128-J-10-3.bmp","vafava","Right","37","2","9","6A","C1","J","25"
"","","approach-retreat","29","237801","0.0-29.0","","","1-5","4915","39","1","Training","Stims/Figures/85-C-20-2.bmp","za:ha:ha","Right","39","2","10","6A","C2","J","26"
"","","approach-retreat","30","244064","0.0-30.0","","","1-5","4755","39","1","Training","Stims/Figures/86-C-30-1.bmp","zasaha","Right","39","2","11","6A","C2","J","27"
"","","approach-retreat","31","252464","0.0-31.0","","","1-5","6891","37","1","Training","Stims/Figures/94-C-20-2.bmp","zaha:za","Left","37","2","12","6A","C2","J","28"
"","","approach-retreat","32","258880","0.0-32.0","","","1-5","4906","38","0","Training","Stims/Figures/44-C-30-3.bmp","za:ha:za","Down","40","2","13","6A","C2","J","29"
"","","approach-retreat","33","266064","0.0-33.0","","","1-5","5675","40","1","Training","Stims/Figures/94-J-0-2.bmp","vasha:va","Up","40","2","14","6A","C1","J","30"
"","","approach-retreat","34","272102","0.0-34.0","","","1-5","4531","40","1","Training","Stims/Figures/85-J-0-2.bmp","fafava","Up","40","2","15","6A","C1","J","31"
"","","approach-retreat","35","278314","0.0-35.0","","","1-5","4703","39","0","Training","Stims/Figures/128-C-30-3.bmp","sasaza","Left","37","2","16","6A","C2","J","32"
"","","approach-retreat","36","284393","0.0-36.0","","","1-5","4571","39","0","Training","Stims/Figures/44-C-30-3.bmp","za:ha:za","Left","37","3","1","6A","C2","J","33"
"","","approach-retreat","37","290745","0.0-37.0","","","1-5","4845","39","1","Training","Stims/Figures/94-C-20-2.bmp","zaha:za","Right","39","3","2","6A","C2","J","34"
"","","approach-retreat","38","297594","0.0-38.0","","","1-5","5339","39","1","Training","Stims/Figures/19-J-10-4.bmp","fafa:va","Left","39","3","3","6A","C1","J","35"
"","","approach-retreat","39","307360","0.0-39.0","","","1-5","8259","38","0","Training","Stims/Figures/85-C-20-2.bmp","za:ha:ha","Down","40","3","4","6A","C2","J","36"
"","","approach-retreat","40","315264","0.0-40.0","","","1-5","6395","38","0","Training","Stims/Figures/86-J-0-1.bmp","vashava","Up","40","3","5","6A","C1","J","37"
