"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"7182","32","text","0","7195","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"291207","","instructions","1","298406","0.0-1.0","[{""page_index"":0,""viewing_time"":291205}]","","","","","","","","","","","","","","","",""
"43789","","survey-multi-choice","2","342241","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","423114","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","438755","0.0-4.0","","","1-2","14118","37","1","Training","Stims/Figures/7-J-10-4.bmp","namala","Right","37","1","1","2","S","J","1"
"","","approach-retreat","5","446943","0.0-5.0","","","1-2","6668","39","1","Training","Stims/Figures/74-J-10-4.bmp","namala","Left","39","1","2","2","S","J","2"
"","","approach-retreat","6","454828","0.0-6.0","","","1-2","6371","37","1","Training","Stims/Figures/85-C-20-2.bmp","papata","Left","37","1","3","2","P","J","3"
"","","approach-retreat","7","465345","0.0-7.0","","","1-2","9000","40","1","Training","Stims/Figures/86-C-30-1.bmp","papata","Down","40","1","4","2","P","J","4"
"","","approach-retreat","8","472895","0.0-8.0","","","1-2","6032","38","0","Training","Stims/Figures/74-C-20-4.bmp","papata","Down","40","1","5","2","P","J","5"
"","","approach-retreat","9","478752","0.0-9.0","","","1-2","4340","40","0","Training","Stims/Figures/111-J-10-3.bmp","namala","Down","38","1","6","2","S","J","6"
"","","approach-retreat","10","487473","0.0-10.0","","","1-2","7204","39","0","Training","Stims/Figures/139-J-0-2.bmp","namala","Right","37","1","7","2","S","J","7"
"","","approach-retreat","11","495154","0.0-11.0","","","1-2","6164","37","1","Training","Stims/Figures/7-C-20-4.bmp","papata","Left","37","1","8","2","P","J","8"
"","","approach-retreat","12","504137","0.0-12.0","","","1-2","7465","39","1","Training","Stims/Figures/111-C-30-3.bmp","papata","Right","39","1","9","2","P","J","9"
"","","approach-retreat","13","512436","0.0-13.0","","","1-2","6782","40","1","Training","Stims/Figures/100-J-10-3.bmp","namala","Up","40","1","10","2","S","J","10"
"","","approach-retreat","14","519602","0.0-14.0","","","1-2","5650","37","0","Training","Stims/Figures/85-J-0-2.bmp","namala","Left","39","1","11","2","S","J","11"
"","","approach-retreat","15","530463","0.0-15.0","","","1-2","9347","37","1","Training","Stims/Figures/93-J-0-1.bmp","namala","Right","37","1","12","2","S","J","12"
"","","approach-retreat","16","539371","0.0-16.0","","","1-2","7390","38","0","Training","Stims/Figures/86-J-0-1.bmp","namala","Up","40","1","13","2","S","J","13"
"","","approach-retreat","17","546464","0.0-17.0","","","1-2","5578","38","1","Training","Stims/Figures/100-C-30-3.bmp","papata","Up","38","1","14","2","P","J","14"
"","","approach-retreat","18","553186","0.0-18.0","","","1-2","5207","40","0","Training","Stims/Figures/139-C-20-2.bmp","papata","Up","38","1","15","2","P","J","15"
"","","approach-retreat","19","562356","0.0-19.0","","","1-2","7661","40","1","Training","Stims/Figures/93-C-30-1.bmp","papata","Down","40","1","16","2","P","J","16"
"","","approach-retreat","20","569635","0.0-20.0","","","1-2","5765","38","1","Training","Stims/Figures/74-J-10-4.bmp","namala","Down","38","2","1","2","S","J","17"
"","","approach-retreat","21","577867","0.0-21.0","","","1-2","6715","38","0","Training","Stims/Figures/100-C-30-3.bmp","papata","Down","40","2","2","2","P","J","18"
"","","approach-retreat","22","584070","0.0-22.0","","","1-2","4686","40","0","Training","Stims/Figures/111-C-30-3.bmp","papata","Up","38","2","3","2","P","J","19"
"","","approach-retreat","23","590634","0.0-23.0","","","1-2","5047","37","1","Training","Stims/Figures/111-J-10-3.bmp","namala","Right","37","2","4","2","S","J","20"
"","","approach-retreat","24","597422","0.0-24.0","","","1-2","5271","38","1","Training","Stims/Figures/139-C-20-2.bmp","papata","Up","38","2","5","2","P","J","21"
"","","approach-retreat","25","608312","0.0-25.0","","","1-2","9372","38","1","Training","Stims/Figures/86-J-0-1.bmp","namala","Down","38","2","6","2","S","J","22"
"","","approach-retreat","26","616669","0.0-26.0","","","1-2","6841","39","0","Training","Stims/Figures/7-C-20-4.bmp","papata","Left","37","2","7","2","P","J","23"
"","","approach-retreat","27","623311","0.0-27.0","","","1-2","5124","38","0","Training","Stims/Figures/100-J-10-3.bmp","namala","Up","40","2","8","2","S","J","24"
"","","approach-retreat","28","631167","0.0-28.0","","","1-2","6339","39","1","Training","Stims/Figures/74-C-20-4.bmp","papata","Right","39","2","9","2","P","J","25"
"","","approach-retreat","29","638735","0.0-29.0","","","1-2","6050","38","1","Training","Stims/Figures/139-J-0-2.bmp","namala","Down","38","2","10","2","S","J","26"
"","","approach-retreat","30","648245","0.0-30.0","","","1-2","7992","39","0","Training","Stims/Figures/93-C-30-1.bmp","papata","Left","37","2","11","2","P","J","27"
"","","approach-retreat","31","657620","0.0-31.0","","","1-2","7860","39","1","Training","Stims/Figures/85-J-0-2.bmp","namala","Left","39","2","12","2","S","J","28"
"","","approach-retreat","32","664453","0.0-32.0","","","1-2","5316","37","1","Training","Stims/Figures/93-J-0-1.bmp","namala","Right","37","2","13","2","S","J","29"
"","","approach-retreat","33","672143","0.0-33.0","","","1-2","6173","39","1","Training","Stims/Figures/86-C-30-1.bmp","papata","Right","39","2","14","2","P","J","30"
"","","approach-retreat","34","679799","0.0-34.0","","","1-2","6140","37","0","Training","Stims/Figures/7-J-10-4.bmp","namala","Left","39","2","15","2","S","J","31"
"","","approach-retreat","35","686756","0.0-35.0","","","1-2","5439","38","1","Training","Stims/Figures/85-C-20-2.bmp","papata","Up","38","2","16","2","P","J","32"
"","","approach-retreat","36","692611","0.0-36.0","","","1-2","4340","39","0","Training","Stims/Figures/111-J-10-3.bmp","namala","Right","37","3","1","2","S","J","33"
"","","approach-retreat","37","699741","0.0-37.0","","","1-2","5611","38","0","Training","Stims/Figures/7-J-10-4.bmp","namala","Up","40","3","2","2","S","J","34"
"","","approach-retreat","38","706917","0.0-38.0","","","1-2","5658","37","1","Training","Stims/Figures/74-C-20-4.bmp","papata","Left","37","3","3","2","P","J","35"
"","","approach-retreat","39","715405","0.0-39.0","","","1-2","6971","40","1","Training","Stims/Figures/100-C-30-3.bmp","papata","Down","40","3","4","2","P","J","36"
"","","approach-retreat","40","722866","0.0-40.0","","","1-2","5945","38","1","Training","Stims/Figures/74-J-10-4.bmp","namala","Down","38","3","5","2","S","J","37"
"","","approach-retreat","41","731544","0.0-41.0","","","1-2","7161","37","0","Training","Stims/Figures/7-C-20-4.bmp","papata","Right","39","3","6","2","P","J","38"
"","","approach-retreat","42","738914","0.0-42.0","","","1-2","5854","37","0","Training","Stims/Figures/93-J-0-1.bmp","namala","Left","39","3","7","2","S","J","39"
"","","approach-retreat","43","747800","0.0-43.0","","","1-2","7369","38","0","Training","Stims/Figures/100-J-10-3.bmp","namala","Up","40","3","8","2","S","J","40"
"","","approach-retreat","44","755527","0.0-44.0","","","1-2","6211","37","1","Training","Stims/Figures/93-C-30-1.bmp","papata","Left","37","3","9","2","P","J","41"
"","","approach-retreat","45","761922","0.0-45.0","","","1-2","4877","38","1","Training","Stims/Figures/111-C-30-3.bmp","papata","Up","38","3","10","2","P","J","42"
"","","approach-retreat","46","769277","0.0-46.0","","","1-2","5837","39","1","Training","Stims/Figures/86-J-0-1.bmp","namala","Left","39","3","11","2","S","J","43"
"","","approach-retreat","47","775572","0.0-47.0","","","1-2","4779","40","1","Training","Stims/Figures/139-J-0-2.bmp","namala","Up","40","3","12","2","S","J","44"
"","","approach-retreat","48","781848","0.0-48.0","","","1-2","4758","38","0","Training","Stims/Figures/86-C-30-1.bmp","papata","Down","40","3","13","2","P","J","45"
"","","approach-retreat","49","788354","0.0-49.0","","","1-2","4990","37","0","Training","Stims/Figures/139-C-20-2.bmp","papata","Right","39","3","14","2","P","J","46"
"","","approach-retreat","50","797064","0.0-50.0","","","1-2","7192","39","0","Training","Stims/Figures/85-J-0-2.bmp","namala","Right","37","3","15","2","S","J","47"
"","","approach-retreat","51","803220","0.0-51.0","","","1-2","4641","38","0","Training","Stims/Figures/85-C-20-2.bmp","papata","Down","40","3","16","2","P","J","48"
"","","approach-retreat","52","809687","0.0-52.0","","","1-2","4949","37","1","Training","Stims/Figures/93-J-0-1.bmp","namala","Right","37","4","1","2","S","J","49"
"","","approach-retreat","53","815893","0.0-53.0","","","1-2","4688","38","0","Training","Stims/Figures/111-C-30-3.bmp","papata","Down","40","4","2","2","P","J","50"
"","","approach-retreat","54","827020","0.0-54.0","","","1-2","9611","37","1","Training","Stims/Figures/7-C-20-4.bmp","papata","Left","37","4","3","2","P","J","51"
