"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"171369","32","text","0","171374","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"1572","","instructions","1","172950","0.0-1.0","[{""page_index"":0,""viewing_time"":1571}]","","","","","","","","","","","","","","","",""
"92353","","survey-multi-choice","2","265397","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","318981","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","350560","0.0-4.0","","","1-2","30065","39","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Right","39","1","1","3A","C2","J","1"
"","","approach-retreat","5","357768","0.0-5.0","","","1-2","5694","40","0","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Down","38","1","2","3A","C1","J","2"
"","","approach-retreat","6","365739","0.0-6.0","","","1-2","6461","40","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Up","40","1","3","3A","C1","J","3"
"","","approach-retreat","7","372478","0.0-7.0","","","1-2","5229","40","0","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Up","38","1","4","3A","C2","J","4"
"","","approach-retreat","8","379380","0.0-8.0","","","1-2","5391","39","0","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Left","37","1","5","3A","C2","J","5"
"","","approach-retreat","9","384880","0.0-9.0","","","1-2","3989","37","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Left","37","1","6","3A","C2","J","6"
"","","approach-retreat","10","391671","0.0-10.0","","","1-2","5279","37","0","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Left","39","1","7","3A","C1","J","7"
"","","approach-retreat","11","398463","0.0-11.0","","","1-2","5279","38","0","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Up","40","1","8","3A","C1","J","8"
"","","approach-retreat","12","406609","0.0-12.0","","","1-2","6637","40","0","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Down","38","1","9","3A","C1","J","9"
"","","approach-retreat","13","415416","0.0-13.0","","","1-2","7295","38","0","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Down","40","1","10","3A","C2","J","10"
"","","approach-retreat","14","422751","0.0-14.0","","","1-2","5824","37","0","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Right","39","1","11","3A","C2","J","11"
"","","approach-retreat","15","428568","0.0-15.0","","","1-2","4305","39","0","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Right","37","1","12","3A","C1","J","12"
"","","approach-retreat","16","434892","0.0-16.0","","","1-2","4816","38","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Up","38","1","13","3A","C2","J","13"
"","","approach-retreat","17","441834","0.0-17.0","","","1-2","5429","39","0","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Right","37","1","14","3A","C1","J","14"
"","","approach-retreat","18","448259","0.0-18.0","","","1-2","4913","38","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Down","38","1","15","3A","C1","J","15"
"","","approach-retreat","19","454097","0.0-19.0","","","1-2","4326","39","0","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Left","37","1","16","3A","C2","J","16"
"","","approach-retreat","20","461870","0.0-20.0","","","1-2","6261","39","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Left","39","2","1","3A","C1","J","17"
"","","approach-retreat","21","469614","0.0-21.0","","","1-2","6232","39","0","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Right","37","2","2","3A","C1","J","18"
"","","approach-retreat","22","479667","0.0-22.0","","","1-2","8541","40","1","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Down","40","2","3","3A","C2","J","19"
"","","approach-retreat","23","485270","0.0-23.0","","","1-2","4091","38","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Down","38","2","4","3A","C1","J","20"
"","","approach-retreat","24","491279","0.0-24.0","","","1-2","4497","38","0","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Up","40","2","5","3A","C1","J","21"
"","","approach-retreat","25","497452","0.0-25.0","","","1-2","4661","39","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Right","39","2","6","3A","C2","J","22"
"","","approach-retreat","26","506676","0.0-26.0","","","1-2","7715","39","0","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Left","37","2","7","3A","C2","J","23"
"","","approach-retreat","27","513079","0.0-27.0","","","1-2","4891","37","1","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Left","37","2","8","3A","C2","J","24"
"","","approach-retreat","28","519742","0.0-28.0","","","1-2","5145","40","0","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Up","38","2","9","3A","C2","J","25"
"","","approach-retreat","29","533867","0.0-29.0","","","1-2","12613","37","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Left","37","2","10","3A","C2","J","26"
"","","approach-retreat","30","539696","0.0-30.0","","","1-2","4316","40","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Up","40","2","11","3A","C1","J","27"
"","","approach-retreat","31","547830","0.0-31.0","","","1-2","6620","40","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Down","40","2","12","3A","C2","J","28"
"","","approach-retreat","32","554388","0.0-32.0","","","1-2","5046","37","0","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Right","39","2","13","3A","C2","J","29"
"","","approach-retreat","33","560417","0.0-33.0","","","1-2","4518","40","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Up","40","2","14","3A","C1","J","30"
"","","approach-retreat","34","568333","0.0-34.0","","","1-2","6404","37","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Right","37","2","15","3A","C1","J","31"
"","","approach-retreat","35","574627","0.0-35.0","","","1-2","4782","38","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Down","38","2","16","3A","C1","J","32"
"","","approach-retreat","36","583935","0.0-36.0","","","1-2","7801","38","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Up","38","3","1","3A","C2","J","33"
"","","approach-retreat","37","591661","0.0-37.0","","","1-2","6215","38","0","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Down","40","3","2","3A","C2","J","34"
"","","approach-retreat","38","598026","0.0-38.0","","","1-2","4850","40","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Up","40","3","3","3A","C1","J","35"
"","","approach-retreat","39","605277","0.0-39.0","","","1-2","5737","40","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Down","40","3","4","3A","C2","J","36"
"","","approach-retreat","40","611204","0.0-40.0","","","1-2","4416","39","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Left","39","3","5","3A","C1","J","37"
"","","approach-retreat","41","617145","0.0-41.0","","","1-2","4428","37","0","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Right","39","3","6","3A","C2","J","38"
"","","approach-retreat","42","623642","0.0-42.0","","","1-2","4986","37","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Left","37","3","7","3A","C2","J","39"
"","","approach-retreat","43","630505","0.0-43.0","","","1-2","5352","40","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Up","40","3","8","3A","C1","J","40"
"","","approach-retreat","44","639556","0.0-44.0","","","1-2","7538","39","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Left","39","3","9","3A","C1","J","41"
"","","approach-retreat","45","647283","0.0-45.0","","","1-2","6216","38","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Down","38","3","10","3A","C1","J","42"
"","","approach-retreat","46","653078","0.0-46.0","","","1-2","4284","38","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Down","38","3","11","3A","C1","J","43"
"","","approach-retreat","47","658959","0.0-47.0","","","1-2","4368","39","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Right","39","3","12","3A","C2","J","44"
"","","approach-retreat","48","666105","0.0-48.0","","","1-2","5634","37","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Right","37","3","13","3A","C1","J","45"
"","","approach-retreat","49","674873","0.0-49.0","","","1-2","7257","39","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Left","39","3","14","3A","C1","J","46"
"","","approach-retreat","50","681305","0.0-50.0","","","1-2","4921","39","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Right","39","3","15","3A","C2","J","47"
"","","approach-retreat","51","688357","0.0-51.0","","","1-2","5545","38","1","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Up","38","3","16","3A","C2","J","48"
"","","approach-retreat","52","695457","0.0-52.0","","","1-2","5590","39","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Left","39","4","1","3A","C1","J","49"
"","","approach-retreat","53","701349","0.0-53.0","","","1-2","4386","37","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Right","37","4","2","3A","C1","J","50"
"","","approach-retreat","54","707446","0.0-54.0","","","1-2","4585","40","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Down","40","4","3","3A","C2","J","51"
"","","approach-retreat","55","714239","0.0-55.0","","","1-2","5282","38","1","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Up","38","4","4","3A","C2","J","52"
"","","approach-retreat","56","721443","0.0-56.0","","","1-2","5692","38","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Down","38","4","5","3A","C1","J","53"
"","","approach-retreat","57","727338","0.0-57.0","","","1-2","4383","39","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Left","39","4","6","3A","C1","J","54"
"","","approach-retreat","58","733876","0.0-58.0","","","1-2","5028","37","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Right","37","4","7","3A","C1","J","55"
"","","approach-retreat","59","747350","0.0-59.0","","","1-2","11963","38","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Up","38","4","8","3A","C2","J","56"
"","","approach-retreat","60","760253","0.0-60.0","","","1-2","11391","39","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Right","39","4","9","3A","C2","J","57"
"","","approach-retreat","61","767265","0.0-61.0","","","1-2","5503","37","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Right","37","4","10","3A","C1","J","58"
"","","approach-retreat","62","772973","0.0-62.0","","","1-2","4196","38","1","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Up","38","4","11","3A","C2","J","59"
"","","approach-retreat","63","778728","0.0-63.0","","","1-2","4244","37","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Left","37","4","12","3A","C2","J","60"
"","","approach-retreat","64","784432","0.0-64.0","","","1-2","4192","38","1","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Up","38","4","13","3A","C2","J","61"
"","","approach-retreat","65","790788","0.0-65.0","","","1-2","4845","38","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Down","38","4","14","3A","C1","J","62"
"","","approach-retreat","66","798607","0.0-66.0","","","1-2","6309","39","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Left","39","4","15","3A","C1","J","63"
"","","approach-retreat","67","805253","0.0-67.0","","","1-2","5141","40","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Down","40","4","16","3A","C2","J","64"
"","","approach-retreat","68","811458","0.0-68.0","","","1-2","4693","37","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Right","37","5","1","3A","C1","J","65"
"","","approach-retreat","69","820658","0.0-69.0","","","1-2","7688","40","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Up","40","5","2","3A","C1","J","66"
"","","approach-retreat","70","826377","0.0-70.0","","","1-2","4208","37","1","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Left","37","5","3","3A","C2","J","67"
"","","approach-retreat","71","832275","0.0-71.0","","","1-2","4387","37","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Left","37","5","4","3A","C2","J","68"
"","","approach-retreat","72","839126","0.0-72.0","","","1-2","5339","37","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Right","37","5","5","3A","C1","J","69"
"","","approach-retreat","73","845691","0.0-73.0","","","1-2","5054","38","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Down","38","5","6","3A","C1","J","70"
"","","approach-retreat","74","852452","0.0-74.0","","","1-2","5250","40","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Down","40","5","7","3A","C2","J","71"
"","","approach-retreat","75","859215","0.0-75.0","","","1-2","5250","40","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Up","40","5","8","3A","C1","J","72"
"","","approach-retreat","76","866985","0.0-76.0","","","1-2","6259","40","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Up","40","5","9","3A","C1","J","73"
"","","approach-retreat","77","874313","0.0-77.0","","","1-2","5816","38","1","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Up","38","5","10","3A","C2","J","74"
"","","approach-retreat","78","880384","0.0-78.0","","","1-2","4561","37","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Left","37","5","11","3A","C2","J","75"
"","","approach-retreat","79","887297","0.0-79.0","","","1-2","5399","40","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Down","40","5","12","3A","C2","J","76"
"","","approach-retreat","80","894166","0.0-80.0","","","1-2","5351","38","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Down","38","5","13","3A","C1","J","77"
"","","approach-retreat","81","902869","0.0-81.0","","","1-2","7192","39","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Left","39","5","14","3A","C1","J","78"
"","","approach-retreat","82","910275","0.0-82.0","","","1-2","5893","39","1","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Right","39","5","15","3A","C2","J","79"
"","","approach-retreat","83","917130","0.0-83.0","","","1-2","5343","39","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Right","39","5","16","3A","C2","J","80"
"","","approach-retreat","84","923043","0.0-84.0","","","1-2","4402","39","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Left","39","6","1","3A","C1","J","81"
"","","approach-retreat","85","929036","0.0-85.0","","","1-2","4481","40","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Up","40","6","2","3A","C1","J","82"
"","","approach-retreat","86","935815","0.0-86.0","","","1-2","5270","40","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:za","Down","40","6","3","3A","C2","J","83"
"","","approach-retreat","87","944923","0.0-87.0","","","1-2","7599","39","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Left","39","6","4","3A","C1","J","84"
"","","approach-retreat","88","952083","0.0-88.0","","","1-2","5648","38","1","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Up","38","6","5","3A","C2","J","85"
"","","approach-retreat","89","957986","0.0-89.0","","","1-2","4391","39","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Right","39","6","6","3A","C2","J","86"
"","","approach-retreat","90","964798","0.0-90.0","","","1-2","5301","37","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Left","37","6","7","3A","C2","J","87"
"","","approach-retreat","91","971228","0.0-91.0","","","1-2","4918","40","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Up","40","6","8","3A","C1","J","88"
"","","approach-retreat","92","977282","0.0-92.0","","","1-2","4541","39","1","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:za","Right","39","6","9","3A","C2","J","89"
"","","approach-retreat","93","984093","0.0-93.0","","","1-2","5298","39","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Left","39","6","10","3A","C1","J","90"
"","","approach-retreat","94","989855","0.0-94.0","","","1-2","4250","37","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Right","37","6","11","3A","C1","J","91"
"","","approach-retreat","95","1002932","0.0-95.0","","","1-2","11567","38","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Up","38","6","12","3A","C2","J","92"
"","","approach-retreat","96","1017220","0.0-96.0","","","1-2","12776","37","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Right","37","6","13","3A","C1","J","93"
"","","approach-retreat","97","1023615","0.0-97.0","","","1-2","4885","40","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Down","40","6","14","3A","C2","J","94"
"","","approach-retreat","98","1034622","0.0-98.0","","","1-2","9500","40","1","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Down","40","6","15","3A","C2","J","95"
"","","approach-retreat","99","1041593","0.0-99.0","","","1-2","5461","38","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Down","38","6","16","3A","C1","J","96"
"","","approach-retreat","100","1048214","0.0-100.0","","","1-2","5107","39","1","Training","Stims/Figures/102-J-10-4.bmp","va:fava","Left","39","7","1","3A","C1","J","97"
"","","approach-retreat","101","1056307","0.0-101.0","","","1-2","6583","39","1","Training","Stims/Figures/102-C-20-4.bmp","sa:sa:za","Right","39","7","2","3A","C2","J","98"
"","","approach-retreat","102","1063288","0.0-102.0","","","1-2","5468","37","1","Training","Stims/Figures/84-J-0-2.bmp","va:fava","Right","37","7","3","3A","C1","J","99"
"","","approach-retreat","103","1069652","0.0-103.0","","","1-2","4854","38","1","Training","Stims/Figures/27-J-0-1.bmp","va:fava","Down","38","7","4","3A","C1","J","100"
"","","approach-retreat","104","1075536","0.0-104.0","","","1-2","4372","40","1","Training","Stims/Figures/27-C-30-1.bmp","sa:sa:za","Down","40","7","5","3A","C2","J","101"
"","","approach-retreat","105","1081434","0.0-105.0","","","1-2","4387","40","1","Training","Stims/Figures/7-C-20-4.bmp","sa:sa:za","Down","40","7","6","3A","C2","J","102"
"","","approach-retreat","106","1087015","0.0-106.0","","","1-2","4070","39","1","Training","Stims/Figures/93-C-30-1.bmp","sa:sa:za","Right","39","7","7","3A","C2","J","103"
"","","approach-retreat","107","1093292","0.0-107.0","","","1-2","4764","38","1","Training","Stims/Figures/100-J-10-3.bmp","va:fava","Down","38","7","8","3A","C1","J","104"
"","","approach-retreat","108","1098923","0.0-108.0","","","1-2","4120","39","1","Training","Stims/Figures/93-J-0-1.bmp","va:fava","Left","39","7","9","3A","C1","J","105"
"","","approach-retreat","109","1104937","0.0-109.0","","","1-2","4503","39","1","Training","Stims/Figures/144-J-10-3.bmp","va:fava","Left","39","7","10","3A","C1","J","106"
"","","approach-retreat","110","1111334","0.0-110.0","","","1-2","4886","38","1","Training","Stims/Figures/100-C-30-3.bmp","sa:sa:za","Up","38","7","11","3A","C2","J","107"
"","","approach-retreat","111","1117380","0.0-111.0","","","1-2","4536","40","1","Training","Stims/Figures/118-J-0-2.bmp","va:fava","Up","40","7","12","3A","C1","J","108"
"","","approach-retreat","112","1124093","0.0-112.0","","","1-2","5202","40","1","Training","Stims/Figures/7-J-10-4.bmp","va:fava","Up","40","7","13","3A","C1","J","109"
"","","approach-retreat","113","1130687","0.0-113.0","","","1-2","5083","37","1","Training","Stims/Figures/144-C-30-3.bmp","sa:sa:za","Left","37","7","14","3A","C2","J","110"
