"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"4549","32","text","0","4560","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"22620","","instructions","1","27185","0.0-1.0","[{""page_index"":0,""viewing_time"":22619}]","","","","","","","","","","","","","","","",""
"12508","","survey-multi-choice","2","39754","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","48866","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","57941","0.0-4.0","","","1-3","7558","39","0","Training","Stims/Figures/19-C-20-4.bmp","None","Left","37","1","1","10","N","J","1"
"","","approach-retreat","5","66371","0.0-5.0","","","1-3","6918","38","1","Training","Stims/Figures/128-C-30-3.bmp","None","Up","38","1","2","10","N","J","2"
"","","approach-retreat","6","76564","0.0-6.0","","","1-3","8680","39","0","Training","Stims/Figures/85-C-20-2.bmp","None","Left","37","1","3","10","N","J","3"
"","","approach-retreat","7","83182","0.0-7.0","","","1-3","5107","40","1","Training","Stims/Figures/86-C-30-1.bmp","None","Down","40","1","4","10","N","J","4"
"","","approach-retreat","8","94507","0.0-8.0","","","1-3","9812","38","0","Training","Stims/Figures/93-C-30-1.bmp","None","Down","40","1","5","10","N","J","5"
"","","approach-retreat","9","101249","0.0-9.0","","","1-3","5230","40","1","Training","Stims/Figures/93-J-0-1.bmp","None","Up","40","1","6","10","N","J","6"
"","","approach-retreat","10","109323","0.0-10.0","","","1-3","6563","40","1","Training","Stims/Figures/94-J-0-2.bmp","None","Up","40","1","7","10","N","J","7"
"","","approach-retreat","11","117307","0.0-11.0","","","1-3","6472","37","0","Training","Stims/Figures/94-C-20-2.bmp","None","Right","39","1","8","10","N","J","8"
"","","approach-retreat","12","127784","0.0-12.0","","","1-3","8965","39","0","Training","Stims/Figures/111-J-10-3.bmp","None","Right","37","1","9","10","N","J","9"
"","","approach-retreat","13","134802","0.0-13.0","","","1-3","5507","37","0","Training","Stims/Figures/86-J-0-1.bmp","None","Left","39","1","10","10","N","J","10"
"","","approach-retreat","14","141375","0.0-14.0","","","1-3","5061","38","0","Training","Stims/Figures/7-C-20-4.bmp","None","Down","40","1","11","10","N","J","11"
"","","approach-retreat","15","147726","0.0-15.0","","","1-3","4840","40","1","Training","Stims/Figures/19-J-10-4.bmp","None","Up","40","1","12","10","N","J","12"
"","","approach-retreat","16","154582","0.0-16.0","","","1-3","5344","39","0","Training","Stims/Figures/128-J-10-3.bmp","None","Right","37","1","13","10","N","J","13"
"","","approach-retreat","17","160963","0.0-17.0","","","1-3","4870","38","0","Training","Stims/Figures/111-C-30-3.bmp","None","Down","40","1","14","10","N","J","14"
"","","approach-retreat","18","169428","0.0-18.0","","","1-3","6955","39","1","Training","Stims/Figures/7-J-10-4.bmp","None","Left","39","1","15","10","N","J","15"
"","","approach-retreat","19","176599","0.0-19.0","","","1-3","5660","37","1","Training","Stims/Figures/85-J-0-2.bmp","None","Right","37","1","16","10","N","J","16"
"","","approach-retreat","20","184448","0.0-20.0","","","1-3","6339","37","1","Training","Stims/Figures/19-C-20-4.bmp","None","Left","37","2","1","10","N","J","17"
"","","approach-retreat","21","191935","0.0-21.0","","","1-3","5977","39","0","Training","Stims/Figures/111-C-30-3.bmp","None","Left","37","2","2","10","N","J","18"
"","","approach-retreat","22","199263","0.0-22.0","","","1-3","5817","40","0","Training","Stims/Figures/93-C-30-1.bmp","None","Up","38","2","3","10","N","J","19"
"","","approach-retreat","23","206286","0.0-23.0","","","1-3","5511","40","0","Training","Stims/Figures/7-C-20-4.bmp","None","Up","38","2","4","10","N","J","20"
"","","approach-retreat","24","214233","0.0-24.0","","","1-3","6436","38","0","Training","Stims/Figures/85-J-0-2.bmp","None","Up","40","2","5","10","N","J","21"
"","","approach-retreat","25","220425","0.0-25.0","","","1-3","4681","39","1","Training","Stims/Figures/128-C-30-3.bmp","None","Right","39","2","6","10","N","J","22"
"","","approach-retreat","26","236205","0.0-26.0","","","1-3","14269","37","1","Training","Stims/Figures/93-J-0-1.bmp","None","Right","37","2","7","10","N","J","23"
"","","approach-retreat","27","243580","0.0-27.0","","","1-3","5864","38","1","Training","Stims/Figures/94-J-0-2.bmp","None","Down","38","2","8","10","N","J","24"
"","","approach-retreat","28","251346","0.0-28.0","","","1-3","6254","38","0","Training","Stims/Figures/19-J-10-4.bmp","None","Up","40","2","9","10","N","J","25"
"","","approach-retreat","29","258301","0.0-29.0","","","1-3","5443","39","0","Training","Stims/Figures/85-C-20-2.bmp","None","Left","37","2","10","10","N","J","26"
"","","approach-retreat","30","265555","0.0-30.0","","","1-3","5743","40","1","Training","Stims/Figures/86-C-30-1.bmp","None","Down","40","2","11","10","N","J","27"
"","","approach-retreat","31","272127","0.0-31.0","","","1-3","5061","38","1","Training","Stims/Figures/128-J-10-3.bmp","None","Down","38","2","12","10","N","J","28"
"","","approach-retreat","32","278293","0.0-32.0","","","1-3","4654","37","1","Training","Stims/Figures/86-J-0-1.bmp","None","Right","37","2","13","10","N","J","29"
"","","approach-retreat","33","285280","0.0-33.0","","","1-3","5475","39","0","Training","Stims/Figures/7-J-10-4.bmp","None","Right","37","2","14","10","N","J","30"
"","","approach-retreat","34","291533","0.0-34.0","","","1-3","4741","38","0","Training","Stims/Figures/94-C-20-2.bmp","None","Down","40","2","15","10","N","J","31"
"","","approach-retreat","35","298720","0.0-35.0","","","1-3","5675","39","1","Training","Stims/Figures/111-J-10-3.bmp","None","Left","39","2","16","10","N","J","32"
"","","approach-retreat","36","305959","0.0-36.0","","","1-3","5729","37","0","Training","Stims/Figures/19-J-10-4.bmp","None","Left","39","3","1","10","N","J","33"
"","","approach-retreat","37","311697","0.0-37.0","","","1-3","4224","40","0","Training","Stims/Figures/94-C-20-2.bmp","None","Up","38","3","2","10","N","J","34"
"","","approach-retreat","38","317962","0.0-38.0","","","1-3","4753","40","1","Training","Stims/Figures/111-C-30-3.bmp","None","Down","40","3","3","10","N","J","35"
"","","approach-retreat","39","325732","0.0-39.0","","","1-3","6255","40","0","Training","Stims/Figures/93-C-30-1.bmp","None","Up","38","3","4","10","N","J","36"
"","","approach-retreat","40","332537","0.0-40.0","","","1-3","5295","37","1","Training","Stims/Figures/85-J-0-2.bmp","None","Right","37","3","5","10","N","J","37"
"","","approach-retreat","41","339926","0.0-41.0","","","1-3","5878","39","1","Training","Stims/Figures/94-J-0-2.bmp","None","Left","39","3","6","10","N","J","38"
"","","approach-retreat","42","346920","0.0-42.0","","","1-3","5484","38","1","Training","Stims/Figures/86-J-0-1.bmp","None","Down","38","3","7","10","N","J","39"
"","","approach-retreat","43","353484","0.0-43.0","","","1-3","5049","40","1","Training","Stims/Figures/85-C-20-2.bmp","None","Down","40","3","8","10","N","J","40"
"","","approach-retreat","44","360150","0.0-44.0","","","1-3","5154","38","1","Training","Stims/Figures/7-J-10-4.bmp","None","Down","38","3","9","10","N","J","41"
"","","approach-retreat","45","366891","0.0-45.0","","","1-3","5230","40","0","Training","Stims/Figures/19-C-20-4.bmp","None","Up","38","3","10","10","N","J","42"
"","","approach-retreat","46","372892","0.0-46.0","","","1-3","4490","40","0","Training","Stims/Figures/86-C-30-1.bmp","None","Up","38","3","11","10","N","J","43"
"","","approach-retreat","47","380120","0.0-47.0","","","1-3","5715","37","0","Training","Stims/Figures/93-J-0-1.bmp","None","Left","39","3","12","10","N","J","44"
"","","approach-retreat","48","386555","0.0-48.0","","","1-3","4924","37","0","Training","Stims/Figures/7-C-20-4.bmp","None","Right","39","3","13","10","N","J","45"
"","","approach-retreat","49","393220","0.0-49.0","","","1-3","5153","37","0","Training","Stims/Figures/128-C-30-3.bmp","None","Right","39","3","14","10","N","J","46"
