"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"4392","32","text","0","4393","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"4377","","instructions","1","8770","0.0-1.0","[{""page_index"":0,""viewing_time"":4377}]","","","","","","","","","","","","","","","",""
"15842","","survey-multi-choice","2","24628","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","30867","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","40500","0.0-4.0","","","1-5","8128","38","0","Training","Stims/Figures/27-J-0-1.bmp","paka:ta","Down","40","1","1","4","P","C","1"
"","","approach-retreat","5","54469","0.0-5.0","","","1-5","12464","39","1","Training","Stims/Figures/144-J-10-3.bmp","pa:ka:ta","Right","39","1","2","4","P","C","2"
"","","approach-retreat","6","64365","0.0-6.0","","","1-5","8391","38","1","Training","Stims/Figures/84-J-0-2.bmp","pa:pa:ka","Up","38","1","3","4","P","C","3"
"","","approach-retreat","7","72053","0.0-7.0","","","1-5","6183","40","0","Training","Stims/Figures/74-J-10-4.bmp","ta:pata","Up","38","1","4","4","P","C","4"
"","","approach-retreat","8","81667","0.0-8.0","","","1-5","8110","40","0","Training","Stims/Figures/93-C-30-1.bmp","malana","Down","38","1","5","4","S","C","5"
"","","approach-retreat","9","93411","0.0-9.0","","","1-5","10241","38","0","Training","Stims/Figures/27-C-30-1.bmp","mala:na","Up","40","1","6","4","S","C","6"
"","","approach-retreat","10","103264","0.0-10.0","","","1-5","8346","37","0","Training","Stims/Figures/44-C-30-3.bmp","na:mana","Left","39","1","7","4","S","C","7"
"","","approach-retreat","11","110069","0.0-11.0","","","1-5","5300","37","0","Training","Stims/Figures/85-C-20-2.bmp","ma:ma:na","Left","39","1","8","4","S","C","8"
"","","approach-retreat","12","116512","0.0-12.0","","","1-5","4940","38","1","Training","Stims/Figures/44-J-10-3.bmp","pa:kaka","Up","38","1","9","4","P","C","9"
"","","approach-retreat","13","127553","0.0-13.0","","","1-5","9537","39","0","Training","Stims/Figures/19-C-20-4.bmp","mama:na","Right","37","1","10","4","S","C","10"
"","","approach-retreat","14","137170","0.0-14.0","","","1-5","8113","39","1","Training","Stims/Figures/93-J-0-1.bmp","tapa:ta","Right","39","1","11","4","P","C","11"
"","","approach-retreat","15","146105","0.0-15.0","","","1-5","7429","39","0","Training","Stims/Figures/84-C-20-2.bmp","na:ma:la","Right","37","1","12","4","S","C","12"
"","","approach-retreat","16","155338","0.0-16.0","","","1-5","7729","37","0","Training","Stims/Figures/144-C-30-3.bmp","namala","Left","39","1","13","4","S","C","13"
"","","approach-retreat","17","161993","0.0-17.0","","","1-5","5149","40","1","Training","Stims/Figures/85-J-0-2.bmp","ta:ka:ta","Down","40","1","14","4","P","C","14"
"","","approach-retreat","18","171377","0.0-18.0","","","1-5","7878","40","0","Training","Stims/Figures/74-C-20-4.bmp","nama:na","Down","38","1","15","4","S","C","15"
"","","approach-retreat","19","177268","0.0-19.0","","","1-5","4386","37","1","Training","Stims/Figures/19-J-10-4.bmp","ta:kaka","Left","37","1","16","4","P","C","16"
"","","approach-retreat","20","183100","0.0-20.0","","","1-5","4325","38","1","Training","Stims/Figures/19-J-10-4.bmp","ta:kaka","Up","38","2","1","4","P","C","17"
"","","approach-retreat","21","188769","0.0-21.0","","","1-5","4162","38","0","Training","Stims/Figures/93-C-30-1.bmp","malana","Up","40","2","2","4","S","C","18"
"","","approach-retreat","22","195985","0.0-22.0","","","1-5","5711","40","0","Training","Stims/Figures/85-C-20-2.bmp","ma:ma:na","Down","38","2","3","4","S","C","19"
"","","approach-retreat","23","202517","0.0-23.0","","","1-5","5027","37","1","Training","Stims/Figures/74-J-10-4.bmp","ta:pata","Left","37","2","4","4","P","C","20"
"","","approach-retreat","24","208509","0.0-24.0","","","1-5","4486","37","1","Training","Stims/Figures/84-C-20-2.bmp","na:ma:la","Right","37","2","5","4","S","C","21"
"","","approach-retreat","25","214373","0.0-25.0","","","1-5","4359","38","1","Training","Stims/Figures/44-J-10-3.bmp","pa:kaka","Up","38","2","6","4","P","C","22"
"","","approach-retreat","26","220700","0.0-26.0","","","1-5","4821","39","1","Training","Stims/Figures/74-C-20-4.bmp","nama:na","Left","39","2","7","4","S","C","23"
"","","approach-retreat","27","226644","0.0-27.0","","","1-5","4439","37","1","Training","Stims/Figures/84-J-0-2.bmp","pa:pa:ka","Left","37","2","8","4","P","C","24"
"","","approach-retreat","28","234353","0.0-28.0","","","1-5","6206","37","1","Training","Stims/Figures/144-C-30-3.bmp","namala","Right","37","2","9","4","S","C","25"
"","","approach-retreat","29","240217","0.0-29.0","","","1-5","4356","39","1","Training","Stims/Figures/19-C-20-4.bmp","mama:na","Left","39","2","10","4","S","C","26"
"","","approach-retreat","30","246403","0.0-30.0","","","1-5","4681","38","1","Training","Stims/Figures/144-J-10-3.bmp","pa:ka:ta","Up","38","2","11","4","P","C","27"
"","","approach-retreat","31","252976","0.0-31.0","","","1-5","5067","37","1","Training","Stims/Figures/44-C-30-3.bmp","na:mana","Right","37","2","12","4","S","C","28"
"","","approach-retreat","32","259376","0.0-32.0","","","1-5","4896","40","1","Training","Stims/Figures/85-J-0-2.bmp","ta:ka:ta","Down","40","2","13","4","P","C","29"
"","","approach-retreat","33","268297","0.0-33.0","","","1-5","7417","40","1","Training","Stims/Figures/27-J-0-1.bmp","paka:ta","Down","40","2","14","4","P","C","30"
"","","approach-retreat","34","274102","0.0-34.0","","","1-5","4301","37","1","Training","Stims/Figures/27-C-30-1.bmp","mala:na","Right","37","2","15","4","S","C","31"
"","","approach-retreat","35","281237","0.0-35.0","","","1-5","5630","40","1","Training","Stims/Figures/93-J-0-1.bmp","tapa:ta","Down","40","2","16","4","P","C","32"
"","","approach-retreat","36","288620","0.0-36.0","","","1-5","5877","38","1","Training","Stims/Figures/19-C-20-4.bmp","mama:na","Down","38","3","1","4","S","C","33"
"","","approach-retreat","37","294305","0.0-37.0","","","1-5","4180","38","1","Training","Stims/Figures/44-C-30-3.bmp","na:mana","Down","38","3","2","4","S","C","34"
