"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"27247","32","text","0","27252","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"154470","","instructions","1","181723","0.0-1.0","[{""page_index"":0,""viewing_time"":154470}]","","","","","","","","","","","","","","","",""
"64161","","survey-multi-choice","2","245903","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","257460","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","270630","0.0-4.0","","","1-1","11660","37","1","Training","Stims/Figures/128-J-10-3.bmp","va:fa:sha","Left","37","1","1","6A","C1","C","1"
"","","approach-retreat","5","279510","0.0-5.0","","","1-1","7373","39","0","Training","Stims/Figures/44-C-30-3.bmp","sa:saza","Right","37","1","2","6A","C2","C","2"
"","","approach-retreat","6","289487","0.0-6.0","","","1-1","8468","39","0","Training","Stims/Figures/27-J-0-1.bmp","va:shasha","Left","37","1","3","6A","C1","C","3"
"","","approach-retreat","7","297288","0.0-7.0","","","1-1","6296","38","0","Training","Stims/Figures/44-J-10-3.bmp","va:fasha","Down","40","1","4","6A","C1","C","4"
"","","approach-retreat","8","303608","0.0-8.0","","","1-1","4814","40","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:ha","Up","40","1","5","6A","C2","C","5"
"","","approach-retreat","9","313223","0.0-9.0","","","1-1","8109","37","1","Training","Stims/Figures/85-C-20-2.bmp","sa:saha","Right","37","1","6","6A","C2","C","6"
"","","approach-retreat","10","319696","0.0-10.0","","","1-1","4964","39","0","Training","Stims/Figures/118-J-0-2.bmp","fasha:va","Left","37","1","7","6A","C1","C","7"
"","","approach-retreat","11","326303","0.0-11.0","","","1-1","5100","38","0","Training","Stims/Figures/57-J-0-1.bmp","va:sha:va","Down","40","1","8","6A","C1","C","8"
"","","approach-retreat","12","333488","0.0-12.0","","","1-1","5681","40","1","Training","Stims/Figures/19-J-10-4.bmp","fa:shava","Down","40","1","9","6A","C1","C","9"
"","","approach-retreat","13","340558","0.0-13.0","","","1-1","5563","39","0","Training","Stims/Figures/57-C-30-1.bmp","zasaha","Right","37","1","10","6A","C2","C","10"
"","","approach-retreat","14","346793","0.0-14.0","","","1-1","4728","38","1","Training","Stims/Figures/128-C-30-3.bmp","zasa:za","Down","38","1","11","6A","C2","C","11"
"","","approach-retreat","15","357095","0.0-15.0","","","1-1","8799","37","1","Training","Stims/Figures/27-C-30-1.bmp","sasa:za","Right","37","1","12","6A","C2","C","12"
"","","approach-retreat","16","364951","0.0-16.0","","","1-1","6349","39","0","Training","Stims/Figures/102-J-10-4.bmp","fa:fasha","Left","37","1","13","6A","C1","C","13"
"","","approach-retreat","17","372551","0.0-17.0","","","1-1","6092","40","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Up","40","1","14","6A","C2","C","14"
"","","approach-retreat","18","378687","0.0-18.0","","","1-1","4628","38","0","Training","Stims/Figures/19-C-20-4.bmp","zahaza","Up","40","1","15","6A","C2","C","15"
"","","approach-retreat","19","385511","0.0-19.0","","","1-1","5319","40","0","Training","Stims/Figures/85-J-0-2.bmp","vafa:va","Up","38","1","16","6A","C1","C","16"
"","","approach-retreat","20","391887","0.0-20.0","","","1-1","4871","40","0","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:ha","Down","38","2","1","6A","C2","C","17"
"","","approach-retreat","21","397719","0.0-21.0","","","1-1","4324","39","1","Training","Stims/Figures/44-C-30-3.bmp","sa:saza","Left","39","2","2","6A","C2","C","18"
"","","approach-retreat","22","403815","0.0-22.0","","","1-1","4590","39","1","Training","Stims/Figures/128-C-30-3.bmp","zasa:za","Left","39","2","3","6A","C2","C","19"
"","","approach-retreat","23","409263","0.0-23.0","","","1-1","3945","37","0","Training","Stims/Figures/27-J-0-1.bmp","va:shasha","Right","39","2","4","6A","C1","C","20"
"","","approach-retreat","24","415005","0.0-24.0","","","1-1","4239","40","0","Training","Stims/Figures/44-J-10-3.bmp","va:fasha","Up","38","2","5","6A","C1","C","21"
"","","approach-retreat","25","420958","0.0-25.0","","","1-1","4446","37","1","Training","Stims/Figures/57-C-30-1.bmp","zasaha","Right","37","2","6","6A","C2","C","22"
"","","approach-retreat","26","427207","0.0-26.0","","","1-1","4744","39","0","Training","Stims/Figures/85-J-0-2.bmp","vafa:va","Left","37","2","7","6A","C1","C","23"
"","","approach-retreat","27","433248","0.0-27.0","","","1-1","4535","39","0","Training","Stims/Figures/27-C-30-1.bmp","sasa:za","Right","37","2","8","6A","C2","C","24"
"","","approach-retreat","28","439511","0.0-28.0","","","1-1","4756","40","0","Training","Stims/Figures/102-J-10-4.bmp","fa:fasha","Up","38","2","9","6A","C1","C","25"
"","","approach-retreat","29","445384","0.0-29.0","","","1-1","4366","37","0","Training","Stims/Figures/118-J-0-2.bmp","fasha:va","Right","39","2","10","6A","C1","C","26"
"","","approach-retreat","30","451072","0.0-30.0","","","1-1","4181","39","1","Training","Stims/Figures/19-C-20-4.bmp","zahaza","Left","39","2","11","6A","C2","C","27"
"","","approach-retreat","31","457160","0.0-31.0","","","1-1","4584","38","0","Training","Stims/Figures/57-J-0-1.bmp","va:sha:va","Down","40","2","12","6A","C1","C","28"
"","","approach-retreat","32","462791","0.0-32.0","","","1-1","4127","40","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Up","40","2","13","6A","C2","C","29"
"","","approach-retreat","33","468616","0.0-33.0","","","1-1","4319","40","0","Training","Stims/Figures/128-J-10-3.bmp","va:fa:sha","Up","38","2","14","6A","C1","C","30"
"","","approach-retreat","34","475167","0.0-34.0","","","1-1","5047","38","1","Training","Stims/Figures/85-C-20-2.bmp","sa:saha","Down","38","2","15","6A","C2","C","31"
