"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"19839","32","text","0","19843","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"72463","","instructions","1","92308","0.0-1.0","[{""page_index"":0,""viewing_time"":72462}]","","","","","","","","","","","","","","","",""
"36896","","survey-multi-choice","2","129246","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","139516","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","152047","0.0-4.0","","","3-1","11022","38","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Down","38","1","1","6B","C1","C","1"
"","","approach-retreat","5","160905","0.0-5.0","","","3-1","7348","39","1","Training","Stims/Figures/84-J-0-2.bmp","sa:ha:ha","Right","39","1","2","6B","C2","C","2"
"","","approach-retreat","6","167781","0.0-6.0","","","3-1","5367","39","1","Training","Stims/Figures/128-C-30-3.bmp","fa:fava","Left","39","1","3","6B","C1","C","3"
"","","approach-retreat","7","174988","0.0-7.0","","","3-1","5698","40","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:sha","Up","40","1","4","6B","C1","C","4"
"","","approach-retreat","8","182162","0.0-8.0","","","3-1","5666","39","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:ha","Right","39","1","5","6B","C2","C","5"
"","","approach-retreat","9","188808","0.0-9.0","","","3-1","5137","38","1","Training","Stims/Figures/128-J-10-3.bmp","za:saza","Up","38","1","6","6B","C2","C","6"
"","","approach-retreat","10","195842","0.0-10.0","","","3-1","5526","40","1","Training","Stims/Figures/102-J-10-4.bmp","zaha:za","Down","40","1","7","6B","C2","C","7"
"","","approach-retreat","11","202478","0.0-11.0","","","3-1","5126","37","1","Training","Stims/Figures/71-C-30-1.bmp","va:fava","Right","37","1","8","6B","C1","C","8"
"","","approach-retreat","12","208913","0.0-12.0","","","3-1","4925","37","1","Training","Stims/Figures/74-J-10-4.bmp","zasaza","Left","37","1","9","6B","C2","C","9"
"","","approach-retreat","13","215262","0.0-13.0","","","3-1","4841","40","0","Training","Stims/Figures/102-C-20-4.bmp","fafasha","Down","38","1","10","6B","C1","C","10"
"","","approach-retreat","14","223217","0.0-14.0","","","3-1","6447","39","0","Training","Stims/Figures/71-J-0-1.bmp","sa:haza","Left","37","1","11","6B","C2","C","11"
"","","approach-retreat","15","229189","0.0-15.0","","","3-1","4463","38","1","Training","Stims/Figures/94-J-0-2.bmp","zahaza","Up","38","1","12","6B","C2","C","12"
"","","approach-retreat","16","235398","0.0-16.0","","","3-1","4699","38","0","Training","Stims/Figures/100-C-30-3.bmp","fa:fa:sha","Up","40","1","13","6B","C1","C","13"
"","","approach-retreat","17","242974","0.0-17.0","","","3-1","6068","37","0","Training","Stims/Figures/86-C-30-1.bmp","vasha:sha","Left","39","1","14","6B","C1","C","14"
"","","approach-retreat","18","248926","0.0-18.0","","","3-1","4444","40","1","Training","Stims/Figures/100-J-10-3.bmp","za:ha:ha","Down","40","1","15","6B","C2","C","15"
"","","approach-retreat","19","255038","0.0-19.0","","","3-1","4604","39","0","Training","Stims/Figures/74-C-20-4.bmp","va:fasha","Right","37","1","16","6B","C1","C","16"
"","","approach-retreat","20","260965","0.0-20.0","","","3-1","4419","39","0","Training","Stims/Figures/71-J-0-1.bmp","sa:haza","Left","37","2","1","6B","C2","C","17"
"","","approach-retreat","21","268047","0.0-21.0","","","3-1","5572","37","0","Training","Stims/Figures/84-J-0-2.bmp","sa:ha:ha","Right","39","2","2","6B","C2","C","18"
"","","approach-retreat","22","274586","0.0-22.0","","","3-1","5031","40","0","Training","Stims/Figures/100-C-30-3.bmp","fa:fa:sha","Down","38","2","3","6B","C1","C","19"
"","","approach-retreat","23","280646","0.0-23.0","","","3-1","4551","39","1","Training","Stims/Figures/128-J-10-3.bmp","za:saza","Right","39","2","4","6B","C2","C","20"
"","","approach-retreat","24","289738","0.0-24.0","","","3-1","7582","40","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:sha","Up","40","2","5","6B","C1","C","21"
"","","approach-retreat","25","296353","0.0-25.0","","","3-1","5107","38","1","Training","Stims/Figures/71-C-30-1.bmp","va:fava","Down","38","2","6","6B","C1","C","22"
"","","approach-retreat","26","302478","0.0-26.0","","","3-1","4616","40","1","Training","Stims/Figures/74-C-20-4.bmp","va:fasha","Up","40","2","7","6B","C1","C","23"
"","","approach-retreat","27","308846","0.0-27.0","","","3-1","4859","39","1","Training","Stims/Figures/102-J-10-4.bmp","zaha:za","Right","39","2","8","6B","C2","C","24"
"","","approach-retreat","28","314957","0.0-28.0","","","3-1","4602","40","1","Training","Stims/Figures/100-J-10-3.bmp","za:ha:ha","Down","40","2","9","6B","C2","C","25"
"","","approach-retreat","29","320803","0.0-29.0","","","3-1","4337","39","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Left","39","2","10","6B","C1","C","26"
"","","approach-retreat","30","326859","0.0-30.0","","","3-1","4546","40","1","Training","Stims/Figures/128-C-30-3.bmp","fa:fava","Up","40","2","11","6B","C1","C","27"
"","","approach-retreat","31","332388","0.0-31.0","","","3-1","4019","40","1","Training","Stims/Figures/86-C-30-1.bmp","vasha:sha","Up","40","2","12","6B","C1","C","28"
"","","approach-retreat","32","338210","0.0-32.0","","","3-1","4311","39","1","Training","Stims/Figures/74-J-10-4.bmp","zasaza","Right","39","2","13","6B","C2","C","29"
"","","approach-retreat","33","343948","0.0-33.0","","","3-1","4230","39","1","Training","Stims/Figures/102-C-20-4.bmp","fafasha","Left","39","2","14","6B","C1","C","30"
"","","approach-retreat","34","349599","0.0-34.0","","","3-1","4140","39","0","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:ha","Left","37","2","15","6B","C2","C","31"
"","","approach-retreat","35","355463","0.0-35.0","","","3-1","4356","40","1","Training","Stims/Figures/94-J-0-2.bmp","zahaza","Down","40","2","16","6B","C2","C","32"
"","","approach-retreat","36","361641","0.0-36.0","","","3-1","4668","37","1","Training","Stims/Figures/71-C-30-1.bmp","va:fava","Right","37","3","1","6B","C1","C","33"
"","","approach-retreat","37","368029","0.0-37.0","","","3-1","4880","37","1","Training","Stims/Figures/102-C-20-4.bmp","fafasha","Right","37","3","2","6B","C1","C","34"
"","","approach-retreat","38","374112","0.0-38.0","","","3-1","4574","37","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:sha","Right","37","3","3","6B","C1","C","35"
"","","approach-retreat","39","381429","0.0-39.0","","","3-1","5806","38","1","Training","Stims/Figures/128-J-10-3.bmp","za:saza","Up","38","3","4","6B","C2","C","36"
"","","approach-retreat","40","387025","0.0-40.0","","","3-1","4088","40","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Up","40","3","5","6B","C1","C","37"
"","","approach-retreat","41","392986","0.0-41.0","","","3-1","4452","38","1","Training","Stims/Figures/128-C-30-3.bmp","fa:fava","Down","38","3","6","6B","C1","C","38"
"","","approach-retreat","42","398780","0.0-42.0","","","3-1","4285","39","1","Training","Stims/Figures/74-C-20-4.bmp","va:fasha","Left","39","3","7","6B","C1","C","39"
"","","approach-retreat","43","404658","0.0-43.0","","","3-1","4369","39","1","Training","Stims/Figures/94-J-0-2.bmp","zahaza","Right","39","3","8","6B","C2","C","40"
"","","approach-retreat","44","410648","0.0-44.0","","","3-1","4482","40","1","Training","Stims/Figures/74-J-10-4.bmp","zasaza","Down","40","3","9","6B","C2","C","41"
"","","approach-retreat","45","420842","0.0-45.0","","","3-1","8685","37","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:ha","Left","37","3","10","6B","C2","C","42"
"","","approach-retreat","46","431027","0.0-46.0","","","3-1","8676","40","1","Training","Stims/Figures/84-J-0-2.bmp","sa:ha:ha","Down","40","3","11","6B","C2","C","43"
"","","approach-retreat","47","436898","0.0-47.0","","","3-1","4364","40","1","Training","Stims/Figures/100-C-30-3.bmp","fa:fa:sha","Up","40","3","12","6B","C1","C","44"
"","","approach-retreat","48","442927","0.0-48.0","","","3-1","4521","40","1","Training","Stims/Figures/102-J-10-4.bmp","zaha:za","Down","40","3","13","6B","C2","C","45"
"","","approach-retreat","49","448592","0.0-49.0","","","3-1","4157","39","1","Training","Stims/Figures/86-C-30-1.bmp","vasha:sha","Left","39","3","14","6B","C1","C","46"
"","","approach-retreat","50","454511","0.0-50.0","","","3-1","4409","37","1","Training","Stims/Figures/71-J-0-1.bmp","sa:haza","Left","37","3","15","6B","C2","C","47"
"","","approach-retreat","51","461273","0.0-51.0","","","3-1","5254","38","1","Training","Stims/Figures/100-J-10-3.bmp","za:ha:ha","Up","38","3","16","6B","C2","C","48"
"","","approach-retreat","52","466986","0.0-52.0","","","3-1","4203","40","1","Training","Stims/Figures/86-C-30-1.bmp","vasha:sha","Up","40","4","1","6B","C1","C","49"
"","","approach-retreat","53","473323","0.0-53.0","","","3-1","4827","40","1","Training","Stims/Figures/71-J-0-1.bmp","sa:haza","Down","40","4","2","6B","C2","C","50"
"","","approach-retreat","54","481555","0.0-54.0","","","3-1","6724","39","1","Training","Stims/Figures/71-C-30-1.bmp","va:fava","Left","39","4","3","6B","C1","C","51"
"","","approach-retreat","55","488173","0.0-55.0","","","3-1","5108","39","1","Training","Stims/Figures/74-J-10-4.bmp","zasaza","Right","39","4","4","6B","C2","C","52"
"","","approach-retreat","56","494338","0.0-56.0","","","3-1","4658","40","1","Training","Stims/Figures/94-J-0-2.bmp","zahaza","Down","40","4","5","6B","C2","C","53"
"","","approach-retreat","57","500532","0.0-57.0","","","3-1","4685","37","1","Training","Stims/Figures/102-J-10-4.bmp","zaha:za","Left","37","4","6","6B","C2","C","54"
"","","approach-retreat","58","506473","0.0-58.0","","","3-1","4433","38","1","Training","Stims/Figures/100-J-10-3.bmp","za:ha:ha","Up","38","4","7","6B","C2","C","55"
"","","approach-retreat","59","515067","0.0-59.0","","","3-1","7085","39","1","Training","Stims/Figures/102-C-20-4.bmp","fafasha","Left","39","4","8","6B","C1","C","56"
"","","approach-retreat","60","521888","0.0-60.0","","","3-1","5313","37","1","Training","Stims/Figures/74-C-20-4.bmp","va:fasha","Right","37","4","9","6B","C1","C","57"
"","","approach-retreat","61","529191","0.0-61.0","","","3-1","5793","38","1","Training","Stims/Figures/128-J-10-3.bmp","za:saza","Up","38","4","10","6B","C2","C","58"
"","","approach-retreat","62","534815","0.0-62.0","","","3-1","4116","37","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Right","37","4","11","6B","C1","C","59"
"","","approach-retreat","63","540943","0.0-63.0","","","3-1","4619","37","1","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:ha","Left","37","4","12","6B","C2","C","60"
"","","approach-retreat","64","547084","0.0-64.0","","","3-1","4634","39","1","Training","Stims/Figures/84-J-0-2.bmp","sa:ha:ha","Right","39","4","13","6B","C2","C","61"
"","","approach-retreat","65","552873","0.0-65.0","","","3-1","4282","38","1","Training","Stims/Figures/128-C-30-3.bmp","fa:fava","Down","38","4","14","6B","C1","C","62"
"","","approach-retreat","66","559203","0.0-66.0","","","3-1","4822","40","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:sha","Up","40","4","15","6B","C1","C","63"
"","","approach-retreat","67","564920","0.0-67.0","","","3-1","4209","38","1","Training","Stims/Figures/100-C-30-3.bmp","fa:fa:sha","Down","38","4","16","6B","C1","C","64"
"","","approach-retreat","68","570836","0.0-68.0","","","3-1","4407","37","0","Training","Stims/Figures/86-J-0-1.bmp","sa:sa:ha","Right","39","5","1","6B","C2","C","65"
"","","approach-retreat","69","577188","0.0-69.0","","","3-1","4844","38","1","Training","Stims/Figures/94-J-0-2.bmp","zahaza","Up","38","5","2","6B","C2","C","66"
"","","approach-retreat","70","583136","0.0-70.0","","","3-1","4440","40","1","Training","Stims/Figures/94-C-20-2.bmp","va:sha:sha","Up","40","5","3","6B","C1","C","67"
"","","approach-retreat","71","589167","0.0-71.0","","","3-1","4523","37","1","Training","Stims/Figures/84-J-0-2.bmp","sa:ha:ha","Left","37","5","4","6B","C2","C","68"
"","","approach-retreat","72","595055","0.0-72.0","","","3-1","4379","37","1","Training","Stims/Figures/74-C-20-4.bmp","va:fasha","Right","37","5","5","6B","C1","C","69"
"","","approach-retreat","73","601049","0.0-73.0","","","3-1","4486","40","1","Training","Stims/Figures/128-J-10-3.bmp","za:saza","Down","40","5","6","6B","C2","C","70"
"","","approach-retreat","74","606812","0.0-74.0","","","3-1","4252","37","1","Training","Stims/Figures/100-J-10-3.bmp","za:ha:ha","Left","37","5","7","6B","C2","C","71"
"","","approach-retreat","75","612712","0.0-75.0","","","3-1","4392","40","0","Training","Stims/Figures/128-C-30-3.bmp","fa:fava","Down","38","5","8","6B","C1","C","72"
"","","approach-retreat","76","618654","0.0-76.0","","","3-1","4433","39","0","Training","Stims/Figures/102-J-10-4.bmp","zaha:za","Left","37","5","9","6B","C2","C","73"
"","","approach-retreat","77","624870","0.0-77.0","","","3-1","4708","38","1","Training","Stims/Figures/86-C-30-1.bmp","vasha:sha","Down","38","5","10","6B","C1","C","74"
"","","approach-retreat","78","631023","0.0-78.0","","","3-1","4643","39","1","Training","Stims/Figures/71-J-0-1.bmp","sa:haza","Right","39","5","11","6B","C2","C","75"
"","","approach-retreat","79","637650","0.0-79.0","","","3-1","5118","37","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Right","37","5","12","6B","C1","C","76"
"","","approach-retreat","80","644157","0.0-80.0","","","3-1","4997","39","1","Training","Stims/Figures/100-C-30-3.bmp","fa:fa:sha","Left","39","5","13","6B","C1","C","77"
