"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"456999","32","text","0","457001","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"52815","","instructions","1","509817","0.0-1.0","[{""page_index"":0,""viewing_time"":52815}]","","","","","","","","","","","","","","","",""
"46078","","survey-multi-choice","2","555907","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","563496","0.0-3.0","","{""age"":""23"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","576207","0.0-4.0","","","2-3","11205","37","0","Training","Stims/Figures/102-J-10-4.bmp","sa:haza","Right","39","1","1","8","C2","C","1"
"","","approach-retreat","5","582022","0.0-5.0","","","2-3","4311","39","0","Training","Stims/Figures/102-C-20-4.bmp","za:sa:za","Right","37","1","2","8","C2","C","2"
"","","approach-retreat","6","593110","0.0-6.0","","","2-3","9584","40","0","Training","Stims/Figures/139-J-0-2.bmp","va:shava","Up","38","1","3","8","C1","C","3"
"","","approach-retreat","7","603111","0.0-7.0","","","2-3","8498","38","0","Training","Stims/Figures/44-C-30-3.bmp","saha:za","Up","40","1","4","8","C2","C","4"
"","","approach-retreat","8","610565","0.0-8.0","","","2-3","5951","38","1","Training","Stims/Figures/93-J-0-1.bmp","fafa:va","Up","38","1","5","8","C1","C","5"
"","","approach-retreat","9","617366","0.0-9.0","","","2-3","5297","37","0","Training","Stims/Figures/71-C-30-1.bmp","vashasha","Left","39","1","6","8","C1","C","6"
"","","approach-retreat","10","625381","0.0-10.0","","","2-3","6513","40","0","Training","Stims/Figures/93-C-30-1.bmp","fa:sha:sha","Down","38","1","7","8","C1","C","7"
"","","approach-retreat","11","636143","0.0-11.0","","","2-3","9256","37","0","Training","Stims/Figures/71-J-0-1.bmp","fafava","Right","39","1","8","8","C1","C","8"
"","","approach-retreat","12","642749","0.0-12.0","","","2-3","5103","38","1","Training","Stims/Figures/7-C-20-4.bmp","sasa:za","Down","38","1","9","8","C2","C","9"
"","","approach-retreat","13","649375","0.0-13.0","","","2-3","5121","37","1","Training","Stims/Figures/85-J-0-2.bmp","vafasha","Left","37","1","10","8","C1","C","10"
"","","approach-retreat","14","655509","0.0-14.0","","","2-3","4632","40","1","Training","Stims/Figures/44-J-10-3.bmp","sahaza","Down","40","1","11","8","C2","C","11"
