"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"30616","32","text","0","30621","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"110255","","instructions","1","140879","0.0-1.0","[{""page_index"":0,""viewing_time"":110254}]","","","","","","","","","","","","","","","",""
"48490","","survey-multi-choice","2","189407","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","202918","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","210981","0.0-4.0","","","3-2","6550","37","0","Training","Stims/Figures/102-J-10-4.bmp","pa:pata","Right","39","1","1","9","P","C","1"
"","","approach-retreat","5","220720","0.0-5.0","","","3-2","8228","40","0","Training","Stims/Figures/74-C-20-4.bmp","ma:lana","Down","38","1","2","9","S","C","2"
"","","approach-retreat","6","228956","0.0-6.0","","","3-2","6725","38","0","Training","Stims/Figures/84-C-20-2.bmp","sa:sa:ha","Up","40","1","3","9","C2","C","3"
"","","approach-retreat","7","236219","0.0-7.0","","","3-2","5755","38","1","Training","Stims/Figures/74-J-10-4.bmp","na:mala","Up","38","1","4","9","S","C","4"
"","","approach-retreat","8","243135","0.0-8.0","","","3-2","5405","38","1","Training","Stims/Figures/71-C-30-1.bmp","sasaha","Down","38","1","5","9","C2","C","5"
"","","approach-retreat","9","250013","0.0-9.0","","","3-2","5370","39","0","Training","Stims/Figures/27-J-0-1.bmp","fafava","Left","37","1","6","9","C1","C","6"
"","","approach-retreat","10","256162","0.0-10.0","","","3-2","4640","39","1","Training","Stims/Figures/128-J-10-3.bmp","ta:kaka","Right","39","1","7","9","P","C","7"
"","","approach-retreat","11","263805","0.0-11.0","","","3-2","6131","38","0","Training","Stims/Figures/27-C-30-1.bmp","mamala","Up","40","1","8","9","S","C","8"
"","","approach-retreat","12","270562","0.0-12.0","","","3-2","5249","39","0","Training","Stims/Figures/118-J-0-2.bmp","namala","Left","37","1","9","9","S","C","9"
"","","approach-retreat","13","278536","0.0-13.0","","","3-2","6463","37","0","Training","Stims/Figures/71-J-0-1.bmp","ta:pata","Right","39","1","10","9","P","C","10"
"","","approach-retreat","14","285854","0.0-14.0","","","3-2","5808","40","0","Training","Stims/Figures/111-J-10-3.bmp","tapa:ka","Up","38","1","11","9","P","C","11"
"","","approach-retreat","15","291982","0.0-15.0","","","3-2","4619","38","1","Training","Stims/Figures/118-C-20-2.bmp","nalala","Down","38","1","12","9","S","C","12"
"","","approach-retreat","16","298157","0.0-16.0","","","3-2","4666","38","0","Training","Stims/Figures/84-J-0-2.bmp","fashasha","Down","40","1","13","9","C1","C","13"
"","","approach-retreat","17","303784","0.0-17.0","","","3-2","4118","37","1","Training","Stims/Figures/111-C-30-3.bmp","paka:ta","Right","37","1","14","9","P","C","14"
"","","approach-retreat","18","309511","0.0-18.0","","","3-2","4217","39","1","Training","Stims/Figures/128-C-30-3.bmp","pa:ka:ka","Left","39","1","15","9","P","C","15"
"","","approach-retreat","19","315101","0.0-19.0","","","3-2","4082","39","1","Training","Stims/Figures/102-C-20-4.bmp","za:haza","Left","39","1","16","9","C2","C","16"
"","","approach-retreat","20","320936","0.0-20.0","","","3-2","4324","37","0","Training","Stims/Figures/27-J-0-1.bmp","fafava","Right","39","2","1","9","C1","C","17"
"","","approach-retreat","21","326539","0.0-21.0","","","3-2","4093","37","0","Training","Stims/Figures/74-C-20-4.bmp","ma:lana","Left","39","2","2","9","S","C","18"
"","","approach-retreat","22","332275","0.0-22.0","","","3-2","4228","40","1","Training","Stims/Figures/128-C-30-3.bmp","pa:ka:ka","Up","40","2","3","9","P","C","19"
"","","approach-retreat","23","337916","0.0-23.0","","","3-2","4130","37","1","Training","Stims/Figures/111-C-30-3.bmp","paka:ta","Right","37","2","4","9","P","C","20"
