"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"16138","32","text","0","16141","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"18773","","instructions","1","34917","0.0-1.0","[{""page_index"":0,""viewing_time"":18772}]","","","","","","","","","","","","","","","",""
"32590","","survey-multi-choice","2","67566","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","75720","0.0-3.0","","{""age"":""20"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","88356","0.0-4.0","","","1-1","11004","39","1","Training","Stims/Figures/94-C-20-2.bmp","papata","Left","39","1","1","5","P","C","1"
"","","approach-retreat","5","97822","0.0-5.0","","","1-1","7959","40","1","Training","Stims/Figures/100-J-10-3.bmp","ma:mana","Down","40","1","2","5","S","C","2"
"","","approach-retreat","6","104250","0.0-6.0","","","1-1","4919","37","1","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Left","37","1","3","5","S","C","3"
"","","approach-retreat","7","110072","0.0-7.0","","","1-1","4313","38","0","Training","Stims/Figures/74-C-20-4.bmp","pa:kaka","Up","40","1","4","5","P","C","4"
"","","approach-retreat","8","116182","0.0-8.0","","","1-1","4584","40","1","Training","Stims/Figures/87-J-10-4.bmp","mala:na","Down","40","1","5","5","S","C","5"
"","","approach-retreat","9","122250","0.0-9.0","","","1-1","4555","38","1","Training","Stims/Figures/94-J-0-2.bmp","mamana","Up","38","1","6","5","S","C","6"
"","","approach-retreat","10","128260","0.0-10.0","","","1-1","4503","38","1","Training","Stims/Figures/57-C-30-1.bmp","tapaka","Down","38","1","7","5","P","C","7"
"","","approach-retreat","11","134286","0.0-11.0","","","1-1","4515","39","0","Training","Stims/Figures/85-J-0-2.bmp","mama:na","Left","37","1","8","5","S","C","8"
"","","approach-retreat","12","140166","0.0-12.0","","","1-1","4373","37","0","Training","Stims/Figures/100-C-30-3.bmp","pa:pa:ta","Left","39","1","9","5","P","C","9"
"","","approach-retreat","13","146446","0.0-13.0","","","1-1","4773","40","0","Training","Stims/Figures/74-J-10-4.bmp","ma:lana","Up","38","1","10","5","S","C","10"
"","","approach-retreat","14","152202","0.0-14.0","","","1-1","4249","37","1","Training","Stims/Figures/85-C-20-2.bmp","papa:ka","Right","37","1","11","5","P","C","11"
"","","approach-retreat","15","157928","0.0-15.0","","","1-1","4219","37","0","Training","Stims/Figures/86-J-0-1.bmp","nala:la","Right","39","1","12","5","S","C","12"
"","","approach-retreat","16","163615","0.0-16.0","","","1-1","4180","37","1","Training","Stims/Figures/111-C-30-3.bmp","taka:ta","Right","37","1","13","5","P","C","13"
"","","approach-retreat","17","169271","0.0-17.0","","","1-1","4148","38","1","Training","Stims/Figures/86-C-30-1.bmp","ta:pa:ta","Down","38","1","14","5","P","C","14"
"","","approach-retreat","18","174947","0.0-18.0","","","1-1","4168","37","1","Training","Stims/Figures/87-C-20-4.bmp","takata","Right","37","1","15","5","P","C","15"
"","","approach-retreat","19","181087","0.0-19.0","","","1-1","4631","40","0","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Up","38","1","16","5","S","C","16"
"","","approach-retreat","20","187745","0.0-20.0","","","1-1","5150","40","1","Training","Stims/Figures/85-C-20-2.bmp","papa:ka","Up","40","2","1","5","P","C","17"
"","","approach-retreat","21","193487","0.0-21.0","","","1-1","4234","38","1","Training","Stims/Figures/87-C-20-4.bmp","takata","Down","38","2","2","5","P","C","18"
"","","approach-retreat","22","199232","0.0-22.0","","","1-1","4237","38","1","Training","Stims/Figures/57-C-30-1.bmp","tapaka","Down","38","2","3","5","P","C","19"
"","","approach-retreat","23","204864","0.0-23.0","","","1-1","4124","40","1","Training","Stims/Figures/74-C-20-4.bmp","pa:kaka","Up","40","2","4","5","P","C","20"
"","","approach-retreat","24","210378","0.0-24.0","","","1-1","4006","37","0","Training","Stims/Figures/74-J-10-4.bmp","ma:lana","Right","39","2","5","5","S","C","21"
"","","approach-retreat","25","216012","0.0-25.0","","","1-1","4128","38","0","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Down","40","2","6","5","S","C","22"
"","","approach-retreat","26","224119","0.0-26.0","","","1-1","6600","39","0","Training","Stims/Figures/111-J-10-3.bmp","ma:la:na","Left","37","2","7","5","S","C","23"
"","","approach-retreat","27","248102","0.0-27.0","","","1-1","22467","39","1","Training","Stims/Figures/111-C-30-3.bmp","taka:ta","Left","39","2","8","5","P","C","24"
"","","approach-retreat","28","254306","0.0-28.0","","","1-1","4694","39","1","Training","Stims/Figures/94-C-20-2.bmp","papata","Left","39","2","9","5","P","C","25"
"","","approach-retreat","29","260386","0.0-29.0","","","1-1","4574","40","0","Training","Stims/Figures/100-J-10-3.bmp","ma:mana","Up","38","2","10","5","S","C","26"
"","","approach-retreat","30","266284","0.0-30.0","","","1-1","4392","39","1","Training","Stims/Figures/86-C-30-1.bmp","ta:pa:ta","Left","39","2","11","5","P","C","27"
"","","approach-retreat","31","272329","0.0-31.0","","","1-1","4537","38","1","Training","Stims/Figures/100-C-30-3.bmp","pa:pa:ta","Down","38","2","12","5","P","C","28"
"","","approach-retreat","32","277845","0.0-32.0","","","1-1","4009","40","0","Training","Stims/Figures/87-J-10-4.bmp","mala:na","Up","38","2","13","5","S","C","29"
