"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"56414","32","text","0","56436","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"767","","instructions","1","57215","0.0-1.0","[{""page_index"":0,""viewing_time"":762}]","","","","","","","","","","","","","","","",""
"91063","","survey-multi-choice","2","148395","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Ne"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","166350","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","214343","0.0-4.0","","","1-3","46467","38","0","Training","Stims/Figures/44-J-10-3.bmp","saha:za","Down","40","1","1","8","C2","C","1"
"","","approach-retreat","5","229777","0.0-5.0","","","1-3","13895","40","0","Training","Stims/Figures/71-J-0-1.bmp","va:fava","Up","38","1","2","8","C1","C","2"
"","","approach-retreat","6","250541","0.0-6.0","","","1-3","19242","39","0","Training","Stims/Figures/118-C-20-2.bmp","fa:sha:va","Right","37","1","3","8","C1","C","3"
"","","approach-retreat","7","260018","0.0-7.0","","","1-3","7929","37","0","Training","Stims/Figures/85-C-20-2.bmp","va:fa:sha","Left","39","1","4","8","C1","C","4"
"","","approach-retreat","8","271321","0.0-8.0","","","1-3","9764","37","0","Training","Stims/Figures/128-J-10-3.bmp","za:ha:ha","Right","39","1","5","8","C2","C","5"
"","","approach-retreat","9","282737","0.0-9.0","","","1-3","9878","38","1","Training","Stims/Figures/102-J-10-4.bmp","zaha:ha","Up","38","1","6","8","C2","C","6"
"","","approach-retreat","10","290168","0.0-10.0","","","1-3","5883","40","1","Training","Stims/Figures/86-J-0-1.bmp","vashasha","Down","40","1","7","8","C1","C","7"
"","","approach-retreat","11","297039","0.0-11.0","","","1-3","5317","39","1","Training","Stims/Figures/85-J-0-2.bmp","fa:shasha","Right","39","1","8","8","C1","C","8"
"","","approach-retreat","12","303915","0.0-12.0","","","1-3","5344","37","0","Training","Stims/Figures/71-C-30-1.bmp","va:shasha","Left","39","1","9","8","C1","C","9"
"","","approach-retreat","13","311839","0.0-13.0","","","1-3","6374","38","0","Training","Stims/Figures/87-C-20-4.bmp","sa:saha","Up","40","1","10","8","C2","C","10"
"","","approach-retreat","14","320679","0.0-14.0","","","1-3","7324","40","1","Training","Stims/Figures/44-C-30-3.bmp","zasa:za","Up","40","1","11","8","C2","C","11"
"","","approach-retreat","15","328547","0.0-15.0","","","1-3","6322","39","0","Training","Stims/Figures/87-J-10-4.bmp","sa:ha:ha","Left","37","1","12","8","C2","C","12"
"","","approach-retreat","16","336350","0.0-16.0","","","1-3","6287","40","0","Training","Stims/Figures/86-C-30-1.bmp","fa:fasha","Down","38","1","13","8","C1","C","13"
"","","approach-retreat","17","343197","0.0-17.0","","","1-3","5331","37","1","Training","Stims/Figures/128-C-30-3.bmp","za:haza","Right","37","1","14","8","C2","C","14"
"","","approach-retreat","18","349804","0.0-18.0","","","1-3","5065","38","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Down","38","1","15","8","C2","C","15"
"","","approach-retreat","19","356589","0.0-19.0","","","1-3","5246","37","1","Training","Stims/Figures/118-J-0-2.bmp","fafa:sha","Left","37","1","16","8","C1","C","16"
"","","approach-retreat","20","363084","0.0-20.0","","","1-3","4976","40","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Up","40","2","1","8","C2","C","17"
"","","approach-retreat","21","370253","0.0-21.0","","","1-3","5625","38","0","Training","Stims/Figures/44-J-10-3.bmp","saha:za","Down","40","2","2","8","C2","C","18"
"","","approach-retreat","22","377081","0.0-22.0","","","1-3","5284","38","0","Training","Stims/Figures/86-C-30-1.bmp","fa:fasha","Up","40","2","3","8","C1","C","19"
"","","approach-retreat","23","384483","0.0-23.0","","","1-3","5855","37","0","Training","Stims/Figures/128-J-10-3.bmp","za:ha:ha","Right","39","2","4","8","C2","C","20"
"","","approach-retreat","24","390934","0.0-24.0","","","1-3","4926","39","1","Training","Stims/Figures/44-C-30-3.bmp","zasa:za","Left","39","2","5","8","C2","C","21"
"","","approach-retreat","25","397059","0.0-25.0","","","1-3","4585","40","0","Training","Stims/Figures/87-J-10-4.bmp","sa:ha:ha","Up","38","2","6","8","C2","C","22"
"","","approach-retreat","26","404268","0.0-26.0","","","1-3","5688","40","0","Training","Stims/Figures/118-C-20-2.bmp","fa:sha:va","Down","38","2","7","8","C1","C","23"
"","","approach-retreat","27","410744","0.0-27.0","","","1-3","4929","39","1","Training","Stims/Figures/71-J-0-1.bmp","va:fava","Right","39","2","8","8","C1","C","24"
"","","approach-retreat","28","417884","0.0-28.0","","","1-3","5591","38","1","Training","Stims/Figures/128-C-30-3.bmp","za:haza","Down","38","2","9","8","C2","C","25"
"","","approach-retreat","29","425257","0.0-29.0","","","1-3","5842","39","0","Training","Stims/Figures/87-C-20-4.bmp","sa:saha","Right","37","2","10","8","C2","C","26"
"","","approach-retreat","30","432707","0.0-30.0","","","1-3","5896","38","0","Training","Stims/Figures/85-C-20-2.bmp","va:fa:sha","Up","40","2","11","8","C1","C","27"
"","","approach-retreat","31","439171","0.0-31.0","","","1-3","4946","37","0","Training","Stims/Figures/118-J-0-2.bmp","fafa:sha","Right","39","2","12","8","C1","C","28"
"","","approach-retreat","32","445469","0.0-32.0","","","1-3","4755","39","1","Training","Stims/Figures/71-C-30-1.bmp","va:shasha","Left","39","2","13","8","C1","C","29"
"","","approach-retreat","33","452260","0.0-33.0","","","1-3","5251","37","1","Training","Stims/Figures/85-J-0-2.bmp","fa:shasha","Left","37","2","14","8","C1","C","30"
"","","approach-retreat","34","458663","0.0-34.0","","","1-3","4856","38","0","Training","Stims/Figures/86-J-0-1.bmp","vashasha","Down","40","2","15","8","C1","C","31"
"","","approach-retreat","35","465124","0.0-35.0","","","1-3","4919","39","0","Training","Stims/Figures/102-J-10-4.bmp","zaha:ha","Left","37","2","16","8","C2","C","32"
"","","approach-retreat","36","474399","0.0-36.0","","","1-3","7729","37","1","Training","Stims/Figures/85-J-0-2.bmp","fa:shasha","Left","37","3","1","8","C1","C","33"
"","","approach-retreat","37","480717","0.0-37.0","","","1-3","4800","38","1","Training","Stims/Figures/86-J-0-1.bmp","vashasha","Up","38","3","2","8","C1","C","34"
"","","approach-retreat","38","487398","0.0-38.0","","","1-3","5131","38","0","Training","Stims/Figures/118-J-0-2.bmp","fafa:sha","Down","40","3","3","8","C1","C","35"
"","","approach-retreat","39","493390","0.0-39.0","","","1-3","4451","40","1","Training","Stims/Figures/44-C-30-3.bmp","zasa:za","Up","40","3","4","8","C2","C","36"
"","","approach-retreat","40","501066","0.0-40.0","","","1-3","6144","39","1","Training","Stims/Figures/71-C-30-1.bmp","va:shasha","Left","39","3","5","8","C1","C","37"
"","","approach-retreat","41","508030","0.0-41.0","","","1-3","5441","39","0","Training","Stims/Figures/86-C-30-1.bmp","fa:fasha","Right","37","3","6","8","C1","C","38"
"","","approach-retreat","42","514274","0.0-42.0","","","1-3","4696","40","0","Training","Stims/Figures/85-C-20-2.bmp","va:fa:sha","Down","38","3","7","8","C1","C","39"
"","","approach-retreat","43","521314","0.0-43.0","","","1-3","5494","39","0","Training","Stims/Figures/87-J-10-4.bmp","sa:ha:ha","Left","37","3","8","8","C2","C","40"
"","","approach-retreat","44","527850","0.0-44.0","","","1-3","5002","38","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Down","38","3","9","8","C2","C","41"
"","","approach-retreat","45","534422","0.0-45.0","","","1-3","5028","37","1","Training","Stims/Figures/128-J-10-3.bmp","za:ha:ha","Left","37","3","10","8","C2","C","42"
