"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"1939","32","text","0","1944","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"681","","instructions","1","2628","0.0-1.0","[{""page_index"":0,""viewing_time"":680}]","","","","","","","","","","","","","","","",""
"14523","","survey-multi-choice","2","17209","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","25135","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","32179","0.0-4.0","","","1-4","5457","39","1","Training","Stims/Figures/102-C-20-4.bmp","ta:pa:ka","Left","39","1","1","9","P","C","1"
"","","approach-retreat","5","51977","0.0-5.0","","","1-4","18153","37","1","Training","Stims/Figures/44-C-30-3.bmp","ta:kata","Right","37","1","2","9","P","C","2"
"","","approach-retreat","6","57881","0.0-6.0","","","1-4","4352","40","0","Training","Stims/Figures/7-J-10-4.bmp","pa:kaka","Up","38","1","3","9","P","C","3"
"","","approach-retreat","7","64611","0.0-7.0","","","1-4","5179","39","0","Training","Stims/Figures/7-C-20-4.bmp","pakata","Right","37","1","4","9","P","C","4"
"","","approach-retreat","8","70614","0.0-8.0","","","1-4","4426","37","1","Training","Stims/Figures/44-J-10-3.bmp","zasaza","Left","37","1","5","9","C2","C","5"
"","","approach-retreat","9","92377","0.0-9.0","","","1-4","20207","39","0","Training","Stims/Figures/85-J-0-2.bmp","za:sa:ha","Left","37","1","6","9","C2","C","6"
"","","approach-retreat","10","103020","0.0-10.0","","","1-4","9079","38","1","Training","Stims/Figures/86-C-30-1.bmp","tapa:ta","Down","38","1","7","9","P","C","7"
"","","approach-retreat","11","108933","0.0-11.0","","","1-4","4355","39","0","Training","Stims/Figures/100-C-30-3.bmp","vasha:va","Right","37","1","8","9","C1","C","8"
"","","approach-retreat","12","116486","0.0-12.0","","","1-4","6013","40","0","Training","Stims/Figures/102-J-10-4.bmp","na:mana","Up","38","1","9","9","S","C","9"
"","","approach-retreat","13","123151","0.0-13.0","","","1-4","5111","38","1","Training","Stims/Figures/94-C-20-2.bmp","zahaha","Down","38","1","10","9","C2","C","10"
"","","approach-retreat","14","148736","0.0-14.0","","","1-4","24033","39","0","Training","Stims/Figures/85-C-20-2.bmp","ma:ma:na","Right","37","1","11","9","S","C","11"
"","","approach-retreat","15","155711","0.0-15.0","","","1-4","5422","37","0","Training","Stims/Figures/71-C-30-1.bmp","vafasha","Left","39","1","12","9","C1","C","12"
"","","approach-retreat","16","161671","0.0-16.0","","","1-4","4419","40","1","Training","Stims/Figures/71-J-0-1.bmp","fasha:sha","Down","40","1","13","9","C1","C","13"
"","","approach-retreat","17","167875","0.0-17.0","","","1-4","4654","38","1","Training","Stims/Figures/100-J-10-3.bmp","zasa:ha","Up","38","1","14","9","C2","C","14"
"","","approach-retreat","18","180881","0.0-18.0","","","1-4","11451","38","0","Training","Stims/Figures/94-J-0-2.bmp","sa:sa:ha","Down","40","1","15","9","C2","C","15"
"","","approach-retreat","19","186604","0.0-19.0","","","1-4","4176","40","0","Training","Stims/Figures/86-J-0-1.bmp","sa:saha","Up","38","1","16","9","C2","C","16"
"","","approach-retreat","20","195146","0.0-20.0","","","1-4","6995","39","0","Training","Stims/Figures/85-C-20-2.bmp","ma:ma:na","Right","37","2","1","9","S","C","17"
"","","approach-retreat","21","202632","0.0-21.0","","","1-4","5936","37","1","Training","Stims/Figures/100-J-10-3.bmp","zasa:ha","Left","37","2","2","9","C2","C","18"
"","","approach-retreat","22","208885","0.0-22.0","","","1-4","4704","39","1","Training","Stims/Figures/94-C-20-2.bmp","zahaha","Left","39","2","3","9","C2","C","19"
"","","approach-retreat","23","215732","0.0-23.0","","","1-4","5292","38","1","Training","Stims/Figures/71-J-0-1.bmp","fasha:sha","Up","38","2","4","9","C1","C","20"
"","","approach-retreat","24","221625","0.0-24.0","","","1-4","4356","40","1","Training","Stims/Figures/86-C-30-1.bmp","tapa:ta","Up","40","2","5","9","P","C","21"
"","","approach-retreat","25","228062","0.0-25.0","","","1-4","4889","39","1","Training","Stims/Figures/94-J-0-2.bmp","sa:sa:ha","Right","39","2","6","9","C2","C","22"
"","","approach-retreat","26","233725","0.0-26.0","","","1-4","4106","40","0","Training","Stims/Figures/85-J-0-2.bmp","za:sa:ha","Up","38","2","7","9","C2","C","23"
"","","approach-retreat","27","239384","0.0-27.0","","","1-4","4116","40","1","Training","Stims/Figures/86-J-0-1.bmp","sa:saha","Down","40","2","8","9","C2","C","24"
"","","approach-retreat","28","245400","0.0-28.0","","","1-4","4466","39","0","Training","Stims/Figures/71-C-30-1.bmp","vafasha","Right","37","2","9","9","C1","C","25"
"","","approach-retreat","29","252481","0.0-29.0","","","1-4","5531","39","0","Training","Stims/Figures/44-J-10-3.bmp","zasaza","Left","37","2","10","9","C2","C","26"
"","","approach-retreat","30","258284","0.0-30.0","","","1-4","4246","38","1","Training","Stims/Figures/102-C-20-4.bmp","ta:pa:ka","Down","38","2","11","9","P","C","27"
"","","approach-retreat","31","264680","0.0-31.0","","","1-4","4858","40","1","Training","Stims/Figures/100-C-30-3.bmp","vasha:va","Up","40","2","12","9","C1","C","28"
"","","approach-retreat","32","271440","0.0-32.0","","","1-4","5216","40","1","Training","Stims/Figures/102-J-10-4.bmp","na:mana","Down","40","2","13","9","S","C","29"
"","","approach-retreat","33","278153","0.0-33.0","","","1-4","5179","38","1","Training","Stims/Figures/44-C-30-3.bmp","ta:kata","Down","38","2","14","9","P","C","30"
"","","approach-retreat","34","284602","0.0-34.0","","","1-4","4903","39","1","Training","Stims/Figures/7-C-20-4.bmp","pakata","Left","39","2","15","9","P","C","31"
