"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"14971","32","text","0","14974","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"117707","","instructions","1","132683","0.0-1.0","[{""page_index"":0,""viewing_time"":117707}]","","","","","","","","","","","","","","","",""
"9853","","survey-multi-choice","2","142560","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","150442","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","160807","0.0-4.0","","","2-3","8861","39","1","Training","Stims/Figures/86-C-30-1.bmp","fa:fava","Right","39","1","1","6B","C1","J","1"
"","","approach-retreat","5","172022","0.0-5.0","","","2-3","9711","37","1","Training","Stims/Figures/102-C-20-4.bmp","fa:fa:va","Left","37","1","2","6B","C1","J","2"
"","","approach-retreat","6","180062","0.0-6.0","","","2-3","6537","39","1","Training","Stims/Figures/84-J-0-2.bmp","sa:haha","Left","39","1","3","6B","C2","J","3"
"","","approach-retreat","7","189118","0.0-7.0","","","2-3","7553","38","0","Training","Stims/Figures/102-J-10-4.bmp","saha:za","Up","40","1","4","6B","C2","J","4"
"","","approach-retreat","8","199983","0.0-8.0","","","2-3","9359","37","1","Training","Stims/Figures/27-C-30-1.bmp","vafava","Left","37","1","5","6B","C1","J","5"
"","","approach-retreat","9","211640","0.0-9.0","","","2-3","10150","39","0","Training","Stims/Figures/144-J-10-3.bmp","zahaha","Right","37","1","6","6B","C2","J","6"
"","","approach-retreat","10","219790","0.0-10.0","","","2-3","6646","38","1","Training","Stims/Figures/128-J-10-3.bmp","sasaha","Down","38","1","7","6B","C2","J","7"
"","","approach-retreat","11","231391","0.0-11.0","","","2-3","10096","40","1","Training","Stims/Figures/7-C-20-4.bmp","va:shava","Down","40","1","8","6B","C1","J","8"
"","","approach-retreat","12","246239","0.0-12.0","","","2-3","13345","40","1","Training","Stims/Figures/84-C-20-2.bmp","va:shasha","Down","40","1","9","6B","C1","J","9"
"","","approach-retreat","13","253766","0.0-13.0","","","2-3","6024","40","0","Training","Stims/Figures/144-C-30-3.bmp","fa:fasha","Up","38","1","10","6B","C1","J","10"
"","","approach-retreat","14","278783","0.0-14.0","","","2-3","23510","38","0","Training","Stims/Figures/86-J-0-1.bmp","sa:saha","Up","40","1","11","6B","C2","J","11"
