"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"45792","32","text","0","45797","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"81721","","instructions","1","127521","0.0-1.0","[{""page_index"":0,""viewing_time"":81720}]","","","","","","","","","","","","","","","",""
"27255","","survey-multi-choice","2","154815","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","164614","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","175297","0.0-4.0","","","1-1","9149","37","0","Training","Stims/Figures/128-C-30-3.bmp","ma:la:la","Right","39","1","1","7","S","J","1"
"","","approach-retreat","5","186180","0.0-5.0","","","1-1","9371","39","0","Training","Stims/Figures/111-C-30-3.bmp","na:ma:na","Left","37","1","2","7","S","J","2"
"","","approach-retreat","6","198576","0.0-6.0","","","1-1","10885","40","0","Training","Stims/Figures/27-J-0-1.bmp","papata","Down","38","1","3","7","P","J","3"
"","","approach-retreat","7","205140","0.0-7.0","","","1-1","5055","40","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Up","40","1","4","7","P","J","4"
"","","approach-retreat","8","213077","0.0-8.0","","","1-1","6426","39","1","Training","Stims/Figures/57-J-0-1.bmp","pa:pa:ka","Left","39","1","5","7","P","J","5"
"","","approach-retreat","9","219506","0.0-9.0","","","1-1","4920","39","1","Training","Stims/Figures/57-C-30-1.bmp","ta:pata","Right","39","1","6","7","P","J","6"
"","","approach-retreat","10","226968","0.0-10.0","","","1-1","5954","37","0","Training","Stims/Figures/84-J-0-2.bmp","ta:kata","Left","39","1","7","7","P","J","7"
"","","approach-retreat","11","234334","0.0-11.0","","","1-1","5851","40","1","Training","Stims/Figures/102-C-20-4.bmp","mala:na","Down","40","1","8","7","S","J","8"
"","","approach-retreat","12","241342","0.0-12.0","","","1-1","5496","38","0","Training","Stims/Figures/27-C-30-1.bmp","papa:ta","Down","40","1","9","7","P","J","9"
"","","approach-retreat","13","249072","0.0-13.0","","","1-1","6218","40","0","Training","Stims/Figures/102-J-10-4.bmp","malana","Down","38","1","10","7","S","J","10"
"","","approach-retreat","14","255076","0.0-14.0","","","1-1","4492","37","1","Training","Stims/Figures/128-J-10-3.bmp","ma:ma:na","Right","37","1","11","7","S","J","11"
"","","approach-retreat","15","261836","0.0-15.0","","","1-1","5248","38","1","Training","Stims/Figures/139-C-20-2.bmp","takaka","Up","38","1","12","7","P","J","12"
"","","approach-retreat","16","269422","0.0-16.0","","","1-1","6075","38","0","Training","Stims/Figures/74-J-10-4.bmp","nala:la","Up","40","1","13","7","S","J","13"
"","","approach-retreat","17","275328","0.0-17.0","","","1-1","4395","37","1","Training","Stims/Figures/74-C-20-4.bmp","namana","Left","37","1","14","7","S","J","14"
"","","approach-retreat","18","281701","0.0-18.0","","","1-1","4864","38","0","Training","Stims/Figures/111-J-10-3.bmp","mamala","Up","40","1","15","7","S","J","15"
"","","approach-retreat","19","287590","0.0-19.0","","","1-1","4377","37","0","Training","Stims/Figures/84-C-20-2.bmp","tapata","Right","39","1","16","7","P","J","16"
"","","approach-retreat","20","294095","0.0-20.0","","","1-1","4994","40","0","Training","Stims/Figures/84-J-0-2.bmp","ta:kata","Down","38","2","1","7","P","J","17"
"","","approach-retreat","21","299982","0.0-21.0","","","1-1","4376","38","1","Training","Stims/Figures/111-J-10-3.bmp","mamala","Down","38","2","2","7","S","J","18"
"","","approach-retreat","22","306964","0.0-22.0","","","1-1","5473","37","1","Training","Stims/Figures/74-C-20-4.bmp","namana","Left","37","2","3","7","S","J","19"
"","","approach-retreat","23","314022","0.0-23.0","","","1-1","5550","38","1","Training","Stims/Figures/128-C-30-3.bmp","ma:la:la","Up","38","2","4","7","S","J","20"
"","","approach-retreat","24","319876","0.0-24.0","","","1-1","4343","37","1","Training","Stims/Figures/84-C-20-2.bmp","tapata","Left","37","2","5","7","P","J","21"
"","","approach-retreat","25","326488","0.0-25.0","","","1-1","5100","39","0","Training","Stims/Figures/27-J-0-1.bmp","papata","Right","37","2","6","7","P","J","22"
"","","approach-retreat","26","334389","0.0-26.0","","","1-1","6392","39","1","Training","Stims/Figures/57-C-30-1.bmp","ta:pata","Right","39","2","7","7","P","J","23"
"","","approach-retreat","27","340263","0.0-27.0","","","1-1","4364","40","0","Training","Stims/Figures/74-J-10-4.bmp","nala:la","Down","38","2","8","7","S","J","24"
"","","approach-retreat","28","346019","0.0-28.0","","","1-1","4245","38","1","Training","Stims/Figures/111-C-30-3.bmp","na:ma:na","Up","38","2","9","7","S","J","25"
"","","approach-retreat","29","353453","0.0-29.0","","","1-1","5922","39","0","Training","Stims/Figures/102-C-20-4.bmp","mala:na","Left","37","2","10","7","S","J","26"
"","","approach-retreat","30","360409","0.0-30.0","","","1-1","5448","38","0","Training","Stims/Figures/27-C-30-1.bmp","papa:ta","Down","40","2","11","7","P","J","27"
"","","approach-retreat","31","370932","0.0-31.0","","","1-1","9012","39","0","Training","Stims/Figures/128-J-10-3.bmp","ma:ma:na","Right","37","2","12","7","S","J","28"
"","","approach-retreat","32","378792","0.0-32.0","","","1-1","6348","40","1","Training","Stims/Figures/102-J-10-4.bmp","malana","Up","40","2","13","7","S","J","29"
"","","approach-retreat","33","386351","0.0-33.0","","","1-1","6048","40","1","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Up","40","2","14","7","P","J","30"
