"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"86420","32","text","0","86424","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"230122","","instructions","1","316549","0.0-1.0","[{""page_index"":0,""viewing_time"":230122}]","","","","","","","","","","","","","","","",""
"50576","","survey-multi-choice","2","367148","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","376937","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","432159","0.0-4.0","","","1-4","53715","40","0","Training","Stims/Figures/118-J-0-2.bmp","fasha:va","Up","38","1","1","6A","C1","C","1"
"","","approach-retreat","5","457582","0.0-5.0","","","1-4","23916","40","0","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:ha","Down","38","1","2","6A","C2","C","2"
"","","approach-retreat","6","471037","0.0-6.0","","","1-4","11950","40","1","Training","Stims/Figures/57-C-30-1.bmp","zasaha","Up","40","1","3","6A","C2","C","3"
"","","approach-retreat","7","480700","0.0-7.0","","","1-4","8159","40","0","Training","Stims/Figures/19-C-20-4.bmp","zahaza","Down","38","1","4","6A","C2","C","4"
"","","approach-retreat","8","517021","0.0-8.0","","","1-4","34816","39","0","Training","Stims/Figures/57-J-0-1.bmp","va:sha:va","Left","37","1","5","6A","C1","C","5"
"","","approach-retreat","9","529021","0.0-9.0","","","1-4","10495","38","0","Training","Stims/Figures/128-J-10-3.bmp","va:fa:sha","Down","40","1","6","6A","C1","C","6"
"","","approach-retreat","10","547485","0.0-10.0","","","1-4","16959","38","1","Training","Stims/Figures/85-J-0-2.bmp","vafa:va","Up","38","1","7","6A","C1","C","7"
"","","approach-retreat","11","558540","0.0-11.0","","","1-4","9552","39","1","Training","Stims/Figures/128-C-30-3.bmp","zasa:za","Left","39","1","8","6A","C2","C","8"
"","","approach-retreat","12","567404","0.0-12.0","","","1-4","7360","37","1","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Right","37","1","9","6A","C2","C","9"
"","","approach-retreat","13","605965","0.0-13.0","","","1-4","37056","38","0","Training","Stims/Figures/19-J-10-4.bmp","fa:shava","Down","40","1","10","6A","C1","C","10"
"","","approach-retreat","14","618204","0.0-14.0","","","1-4","10734","40","0","Training","Stims/Figures/27-J-0-1.bmp","va:shasha","Up","38","1","11","6A","C1","C","11"
"","","approach-retreat","15","627835","0.0-15.0","","","1-4","8126","39","1","Training","Stims/Figures/102-J-10-4.bmp","fa:fasha","Right","39","1","12","6A","C1","C","12"
"","","approach-retreat","16","637148","0.0-16.0","","","1-4","7808","37","1","Training","Stims/Figures/85-C-20-2.bmp","sa:saha","Right","37","1","13","6A","C2","C","13"
"","","approach-retreat","17","644380","0.0-17.0","","","1-4","5727","39","1","Training","Stims/Figures/27-C-30-1.bmp","sasa:za","Left","39","1","14","6A","C2","C","14"
"","","approach-retreat","18","652043","0.0-18.0","","","1-4","6158","37","1","Training","Stims/Figures/44-C-30-3.bmp","sa:saza","Right","37","1","15","6A","C2","C","15"
"","","approach-retreat","19","659531","0.0-19.0","","","1-4","5982","37","1","Training","Stims/Figures/44-J-10-3.bmp","va:fasha","Left","37","1","16","6A","C1","C","16"
"","","approach-retreat","20","666683","0.0-20.0","","","1-4","5647","39","1","Training","Stims/Figures/27-C-30-1.bmp","sasa:za","Left","39","2","1","6A","C2","C","17"
"","","approach-retreat","21","674065","0.0-21.0","","","1-4","5871","38","0","Training","Stims/Figures/19-C-20-4.bmp","zahaza","Up","40","2","2","6A","C2","C","18"
"","","approach-retreat","22","696639","0.0-22.0","","","1-4","21071","39","0","Training","Stims/Figures/102-C-20-4.bmp","za:saha","Right","37","2","3","6A","C2","C","19"
"","","approach-retreat","23","709247","0.0-23.0","","","1-4","11104","40","1","Training","Stims/Figures/57-J-0-1.bmp","va:sha:va","Down","40","2","4","6A","C1","C","20"
"","","approach-retreat","24","718799","0.0-24.0","","","1-4","8048","38","1","Training","Stims/Figures/85-J-0-2.bmp","vafa:va","Up","38","2","5","6A","C1","C","21"
"","","approach-retreat","25","728960","0.0-25.0","","","1-4","8656","40","1","Training","Stims/Figures/128-C-30-3.bmp","zasa:za","Up","40","2","6","6A","C2","C","22"
"","","approach-retreat","26","737882","0.0-26.0","","","1-4","7418","37","0","Training","Stims/Figures/57-C-30-1.bmp","zasaha","Left","39","2","7","6A","C2","C","23"
"","","approach-retreat","27","746507","0.0-27.0","","","1-4","7121","40","1","Training","Stims/Figures/85-C-20-2.bmp","sa:saha","Up","40","2","8","6A","C2","C","24"
"","","approach-retreat","28","763241","0.0-28.0","","","1-4","15230","40","1","Training","Stims/Figures/27-J-0-1.bmp","va:shasha","Down","40","2","9","6A","C1","C","25"
"","","approach-retreat","29","773337","0.0-29.0","","","1-4","8593","37","0","Training","Stims/Figures/44-C-30-3.bmp","sa:saza","Left","39","2","10","6A","C2","C","26"
"","","approach-retreat","30","783321","0.0-30.0","","","1-4","8479","39","1","Training","Stims/Figures/128-J-10-3.bmp","va:fa:sha","Right","39","2","11","6A","C1","C","27"
"","","approach-retreat","31","793849","0.0-31.0","","","1-4","9024","40","1","Training","Stims/Figures/118-J-0-2.bmp","fasha:va","Down","40","2","12","6A","C1","C","28"
"","","approach-retreat","32","804923","0.0-32.0","","","1-4","9569","40","1","Training","Stims/Figures/102-J-10-4.bmp","fa:fasha","Down","40","2","13","6A","C1","C","29"
"","","approach-retreat","33","813179","0.0-33.0","","","1-4","6751","39","1","Training","Stims/Figures/118-C-20-2.bmp","sa:sa:ha","Left","39","2","14","6A","C2","C","30"
"","","approach-retreat","34","820494","0.0-34.0","","","1-4","5812","37","0","Training","Stims/Figures/19-J-10-4.bmp","fa:shava","Right","39","2","15","6A","C1","C","31"
