"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"56635","32","text","0","56640","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"150546","","instructions","1","207190","0.0-1.0","[{""page_index"":0,""viewing_time"":150545}]","","","","","","","","","","","","","","","",""
"65005","","survey-multi-choice","2","272234","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","283922","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","420063","0.0-4.0","","","3-4","134624","37","1","Training","Stims/Figures/7-C-20-4.bmp","mamala","Left","37","1","1","9","S","J","1"
"","","approach-retreat","5","449382","0.0-5.0","","","3-4","27807","38","1","Training","Stims/Figures/86-J-0-1.bmp","paka:ka","Down","38","1","2","9","P","J","2"
"","","approach-retreat","6","472467","0.0-6.0","","","3-4","21573","37","0","Training","Stims/Figures/27-C-30-1.bmp","ma:mana","Right","39","1","3","9","S","J","3"
"","","approach-retreat","7","490135","0.0-7.0","","","3-4","16158","39","1","Training","Stims/Figures/139-J-0-2.bmp","sasa:ha","Left","39","1","4","9","C2","J","4"
"","","approach-retreat","8","518393","0.0-8.0","","","3-4","26749","40","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Down","40","1","5","9","C1","J","5"
"","","approach-retreat","9","529726","0.0-9.0","","","3-4","9821","38","0","Training","Stims/Figures/27-J-0-1.bmp","vafa:sha","Up","40","1","6","9","C1","J","6"
"","","approach-retreat","10","540818","0.0-10.0","","","3-4","9581","39","0","Training","Stims/Figures/128-C-30-3.bmp","mamana","Left","37","1","7","9","S","J","7"
"","","approach-retreat","11","549500","0.0-11.0","","","3-4","7170","37","0","Training","Stims/Figures/84-C-20-2.bmp","pakata","Right","39","1","8","9","P","J","8"
"","","approach-retreat","12","559755","0.0-12.0","","","3-4","8744","38","1","Training","Stims/Figures/84-J-0-2.bmp","pa:pata","Down","38","1","9","9","P","J","9"
"","","approach-retreat","13","573001","0.0-13.0","","","3-4","11736","38","1","Training","Stims/Figures/86-C-30-1.bmp","pa:pa:ka","Up","38","1","10","9","P","J","10"
"","","approach-retreat","14","585497","0.0-14.0","","","3-4","10986","39","0","Training","Stims/Figures/74-J-10-4.bmp","ma:lana","Right","37","1","11","9","S","J","11"
"","","approach-retreat","15","593964","0.0-15.0","","","3-4","6957","37","0","Training","Stims/Figures/139-C-20-2.bmp","ma:la:na","Right","39","1","12","9","S","J","12"
