"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"83418","32","text","0","83420","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"52591","","instructions","1","136013","0.0-1.0","[{""page_index"":0,""viewing_time"":52589}]","","","","","","","","","","","","","","","",""
"34672","","survey-multi-choice","2","170758","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","179756","0.0-3.0","","{""age"":""26"",""gender"":""m"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","191219","0.0-4.0","","","1-4","9948","37","1","Training","Stims/Figures/87-C-20-4.bmp","sa:saha","Right","37","1","1","6A","C2","C","1"
"","","approach-retreat","5","201117","0.0-5.0","","","1-4","8389","40","1","Training","Stims/Figures/85-C-20-2.bmp","sasaza","Up","40","1","2","6A","C2","C","2"
"","","approach-retreat","6","207673","0.0-6.0","","","1-4","5046","40","1","Training","Stims/Figures/85-J-0-2.bmp","fafa:va","Down","40","1","3","6A","C1","C","3"
"","","approach-retreat","7","213712","0.0-7.0","","","1-4","4530","39","1","Training","Stims/Figures/7-J-10-4.bmp","va:fa:sha","Right","39","1","4","6A","C1","C","4"
"","","approach-retreat","8","219785","0.0-8.0","","","1-4","4563","40","1","Training","Stims/Figures/57-C-30-1.bmp","sa:haha","Up","40","1","5","6A","C2","C","5"
"","","approach-retreat","9","226095","0.0-9.0","","","1-4","4800","37","1","Training","Stims/Figures/139-J-0-2.bmp","vafava","Left","37","1","6","6A","C1","C","6"
"","","approach-retreat","10","236750","0.0-10.0","","","1-4","9146","39","1","Training","Stims/Figures/93-J-0-1.bmp","fasha:va","Right","39","1","7","6A","C1","C","7"
"","","approach-retreat","11","242655","0.0-11.0","","","1-4","4394","40","0","Training","Stims/Figures/100-C-30-3.bmp","zaha:za","Down","38","1","8","6A","C2","C","8"
"","","approach-retreat","12","248643","0.0-12.0","","","1-4","4478","40","1","Training","Stims/Figures/139-C-20-2.bmp","zahaha","Up","40","1","9","6A","C2","C","9"
"","","approach-retreat","13","254979","0.0-13.0","","","1-4","4826","39","0","Training","Stims/Figures/57-J-0-1.bmp","fafava","Left","37","1","10","6A","C1","C","10"
"","","approach-retreat","14","263904","0.0-14.0","","","1-4","7418","37","1","Training","Stims/Figures/7-C-20-4.bmp","zaha:ha","Right","37","1","11","6A","C2","C","11"
"","","approach-retreat","15","271999","0.0-15.0","","","1-4","6589","39","1","Training","Stims/Figures/128-C-30-3.bmp","za:haha","Left","39","1","12","6A","C2","C","12"
"","","approach-retreat","16","278724","0.0-16.0","","","1-4","5216","38","1","Training","Stims/Figures/93-C-30-1.bmp","sahaza","Down","38","1","13","6A","C2","C","13"
"","","approach-retreat","17","285445","0.0-17.0","","","1-4","5215","40","1","Training","Stims/Figures/87-J-10-4.bmp","va:sha:sha","Down","40","1","14","6A","C1","C","14"
"","","approach-retreat","18","292854","0.0-18.0","","","1-4","5898","37","1","Training","Stims/Figures/128-J-10-3.bmp","fashasha","Left","37","1","15","6A","C1","C","15"
"","","approach-retreat","19","299059","0.0-19.0","","","1-4","4695","40","0","Training","Stims/Figures/100-J-10-3.bmp","vasha:va","Up","38","1","16","6A","C1","C","16"
"","","approach-retreat","20","306022","0.0-20.0","","","1-4","5454","39","1","Training","Stims/Figures/93-J-0-1.bmp","fasha:va","Right","39","2","1","6A","C1","C","17"
"","","approach-retreat","21","319797","0.0-21.0","","","1-4","12265","38","0","Training","Stims/Figures/93-C-30-1.bmp","sahaza","Up","40","2","2","6A","C2","C","18"
"","","approach-retreat","22","327371","0.0-22.0","","","1-4","6066","37","0","Training","Stims/Figures/85-C-20-2.bmp","sasaza","Left","39","2","3","6A","C2","C","19"
"","","approach-retreat","23","333084","0.0-23.0","","","1-4","4203","37","1","Training","Stims/Figures/100-J-10-3.bmp","vasha:va","Left","37","2","4","6A","C1","C","20"
"","","approach-retreat","24","339077","0.0-24.0","","","1-4","4484","38","1","Training","Stims/Figures/139-C-20-2.bmp","zahaha","Down","38","2","5","6A","C2","C","21"
"","","approach-retreat","25","345122","0.0-25.0","","","1-4","4535","38","1","Training","Stims/Figures/87-J-10-4.bmp","va:sha:sha","Up","38","2","6","6A","C1","C","22"
"","","approach-retreat","26","351190","0.0-26.0","","","1-4","4559","37","1","Training","Stims/Figures/85-J-0-2.bmp","fafa:va","Left","37","2","7","6A","C1","C","23"
"","","approach-retreat","27","360878","0.0-27.0","","","1-4","8179","38","1","Training","Stims/Figures/100-C-30-3.bmp","zaha:za","Down","38","2","8","6A","C2","C","24"
"","","approach-retreat","28","373344","0.0-28.0","","","1-4","10954","37","1","Training","Stims/Figures/87-C-20-4.bmp","sa:saha","Right","37","2","9","6A","C2","C","25"
"","","approach-retreat","29","379784","0.0-29.0","","","1-4","4931","38","1","Training","Stims/Figures/57-C-30-1.bmp","sa:haha","Down","38","2","10","6A","C2","C","26"
"","","approach-retreat","30","385657","0.0-30.0","","","1-4","4363","40","1","Training","Stims/Figures/128-C-30-3.bmp","za:haha","Up","40","2","11","6A","C2","C","27"
"","","approach-retreat","31","391482","0.0-31.0","","","1-4","4317","37","1","Training","Stims/Figures/7-J-10-4.bmp","va:fa:sha","Left","37","2","12","6A","C1","C","28"
"","","approach-retreat","32","397240","0.0-32.0","","","1-4","4250","38","1","Training","Stims/Figures/7-C-20-4.bmp","zaha:ha","Down","38","2","13","6A","C2","C","29"
"","","approach-retreat","33","403191","0.0-33.0","","","1-4","4441","38","1","Training","Stims/Figures/128-J-10-3.bmp","fashasha","Up","38","2","14","6A","C1","C","30"
"","","approach-retreat","34","409104","0.0-34.0","","","1-4","4403","39","1","Training","Stims/Figures/139-J-0-2.bmp","vafava","Right","39","2","15","6A","C1","C","31"
"","","approach-retreat","35","416208","0.0-35.0","","","1-4","5596","39","1","Training","Stims/Figures/57-J-0-1.bmp","fafava","Right","39","2","16","6A","C1","C","32"
"","","approach-retreat","36","422000","0.0-36.0","","","1-4","4282","38","1","Training","Stims/Figures/128-C-30-3.bmp","za:haha","Down","38","3","1","6A","C2","C","33"
"","","approach-retreat","37","427818","0.0-37.0","","","1-4","4309","37","1","Training","Stims/Figures/93-J-0-1.bmp","fasha:va","Left","37","3","2","6A","C1","C","34"
"","","approach-retreat","38","434305","0.0-38.0","","","1-4","4978","40","1","Training","Stims/Figures/139-C-20-2.bmp","zahaha","Up","40","3","3","6A","C2","C","35"
"","","approach-retreat","39","440540","0.0-39.0","","","1-4","4725","40","1","Training","Stims/Figures/87-J-10-4.bmp","va:sha:sha","Down","40","3","4","6A","C1","C","36"
"","","approach-retreat","40","448647","0.0-40.0","","","1-4","6602","40","1","Training","Stims/Figures/93-C-30-1.bmp","sahaza","Up","40","3","5","6A","C2","C","37"
"","","approach-retreat","41","454484","0.0-41.0","","","1-4","4328","38","1","Training","Stims/Figures/7-C-20-4.bmp","zaha:ha","Down","38","3","6","6A","C2","C","38"
"","","approach-retreat","42","460486","0.0-42.0","","","1-4","4493","39","1","Training","Stims/Figures/57-C-30-1.bmp","sa:haha","Left","39","3","7","6A","C2","C","39"
"","","approach-retreat","43","466517","0.0-43.0","","","1-4","4522","37","1","Training","Stims/Figures/85-J-0-2.bmp","fafa:va","Left","37","3","8","6A","C1","C","40"
"","","approach-retreat","44","472531","0.0-44.0","","","1-4","4509","38","1","Training","Stims/Figures/57-J-0-1.bmp","fafava","Up","38","3","9","6A","C1","C","41"
"","","approach-retreat","45","481682","0.0-45.0","","","1-4","7643","37","1","Training","Stims/Figures/128-J-10-3.bmp","fashasha","Left","37","3","10","6A","C1","C","42"
"","","approach-retreat","46","487844","0.0-46.0","","","1-4","4652","39","0","Training","Stims/Figures/85-C-20-2.bmp","sasaza","Right","37","3","11","6A","C2","C","43"
"","","approach-retreat","47","493597","0.0-47.0","","","1-4","4243","37","1","Training","Stims/Figures/100-C-30-3.bmp","zaha:za","Right","37","3","12","6A","C2","C","44"
"","","approach-retreat","48","499383","0.0-48.0","","","1-4","4276","40","1","Training","Stims/Figures/7-J-10-4.bmp","va:fa:sha","Down","40","3","13","6A","C1","C","45"
"","","approach-retreat","49","505003","0.0-49.0","","","1-4","4110","39","0","Training","Stims/Figures/87-C-20-4.bmp","sa:saha","Right","37","3","14","6A","C2","C","46"
"","","approach-retreat","50","511522","0.0-50.0","","","1-4","5011","38","1","Training","Stims/Figures/139-J-0-2.bmp","vafava","Up","38","3","15","6A","C1","C","47"
"","","approach-retreat","51","517929","0.0-51.0","","","1-4","4896","39","1","Training","Stims/Figures/100-J-10-3.bmp","vasha:va","Right","39","3","16","6A","C1","C","48"
"","","approach-retreat","52","523717","0.0-52.0","","","1-4","4275","37","1","Training","Stims/Figures/139-J-0-2.bmp","vafava","Left","37","4","1","6A","C1","C","49"
"","","approach-retreat","53","529721","0.0-53.0","","","1-4","4494","38","1","Training","Stims/Figures/128-J-10-3.bmp","fashasha","Up","38","4","2","6A","C1","C","50"
