"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"47559","32","text","0","47565","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"112346","","instructions","1","159915","0.0-1.0","[{""page_index"":0,""viewing_time"":112344}]","","","","","","","","","","","","","","","",""
"56891","","survey-multi-choice","2","216849","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","240562","0.0-3.0","","{""age"":""22"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","252147","0.0-4.0","","","1-1","10065","40","0","Training","Stims/Figures/87-C-20-4.bmp","ma:la:la","Up","38","1","1","1","S","J","1"
"","","approach-retreat","5","261410","0.0-5.0","","","1-1","7750","38","0","Training","Stims/Figures/87-J-10-4.bmp","papa:ta","Up","40","1","2","1","P","J","2"
"","","approach-retreat","6","269363","0.0-6.0","","","1-1","6440","37","1","Training","Stims/Figures/93-J-0-1.bmp","papa:ta","Right","37","1","3","1","P","J","3"
"","","approach-retreat","7","277487","0.0-7.0","","","1-1","6613","39","0","Training","Stims/Figures/57-C-30-1.bmp","ma:la:la","Left","37","1","4","1","S","J","4"
"","","approach-retreat","8","286212","0.0-8.0","","","1-1","7212","38","0","Training","Stims/Figures/44-C-30-3.bmp","ma:la:la","Down","40","1","5","1","S","J","5"
"","","approach-retreat","9","295118","0.0-9.0","","","1-1","7395","39","0","Training","Stims/Figures/128-J-10-3.bmp","papa:ta","Right","37","1","6","1","P","J","6"
"","","approach-retreat","10","303481","0.0-10.0","","","1-1","6851","39","1","Training","Stims/Figures/57-J-0-1.bmp","papa:ta","Left","39","1","7","1","P","J","7"
"","","approach-retreat","11","310133","0.0-11.0","","","1-1","5137","40","1","Training","Stims/Figures/7-J-10-4.bmp","papa:ta","Up","40","1","8","1","P","J","8"
"","","approach-retreat","12","317045","0.0-12.0","","","1-1","5399","37","0","Training","Stims/Figures/94-C-20-2.bmp","ma:la:la","Right","39","1","9","1","S","J","9"
"","","approach-retreat","13","324496","0.0-13.0","","","1-1","5938","39","1","Training","Stims/Figures/93-C-30-1.bmp","ma:la:la","Right","39","1","10","1","S","J","10"
"","","approach-retreat","14","333954","0.0-14.0","","","1-1","7946","39","0","Training","Stims/Figures/7-C-20-4.bmp","ma:la:la","Left","37","1","11","1","S","J","11"
"","","approach-retreat","15","340624","0.0-15.0","","","1-1","5158","40","0","Training","Stims/Figures/139-C-20-2.bmp","ma:la:la","Up","38","1","12","1","S","J","12"
"","","approach-retreat","16","347356","0.0-16.0","","","1-1","5220","38","1","Training","Stims/Figures/139-J-0-2.bmp","papa:ta","Down","38","1","13","1","P","J","13"
"","","approach-retreat","17","354277","0.0-17.0","","","1-1","5408","40","0","Training","Stims/Figures/94-J-0-2.bmp","papa:ta","Down","38","1","14","1","P","J","14"
"","","approach-retreat","18","360858","0.0-18.0","","","1-1","5076","38","0","Training","Stims/Figures/128-C-30-3.bmp","ma:la:la","Down","40","1","15","1","S","J","15"
"","","approach-retreat","19","367529","0.0-19.0","","","1-1","5161","39","1","Training","Stims/Figures/44-J-10-3.bmp","papa:ta","Left","39","1","16","1","P","J","16"
"","","approach-retreat","20","375783","0.0-20.0","","","1-1","6742","40","1","Training","Stims/Figures/128-C-30-3.bmp","ma:la:la","Down","40","2","1","1","S","J","17"
"","","approach-retreat","21","384199","0.0-21.0","","","1-1","6902","39","0","Training","Stims/Figures/7-J-10-4.bmp","papa:ta","Right","37","2","2","1","P","J","18"
"","","approach-retreat","22","391631","0.0-22.0","","","1-1","5921","40","0","Training","Stims/Figures/44-J-10-3.bmp","papa:ta","Down","38","2","3","1","P","J","19"
"","","approach-retreat","23","398161","0.0-23.0","","","1-1","5016","37","1","Training","Stims/Figures/7-C-20-4.bmp","ma:la:la","Left","37","2","4","1","S","J","20"
"","","approach-retreat","24","407728","0.0-24.0","","","1-1","8054","38","0","Training","Stims/Figures/94-J-0-2.bmp","papa:ta","Up","40","2","5","1","P","J","21"
"","","approach-retreat","25","414430","0.0-25.0","","","1-1","5190","37","0","Training","Stims/Figures/87-J-10-4.bmp","papa:ta","Left","39","2","6","1","P","J","22"
"","","approach-retreat","26","421953","0.0-26.0","","","1-1","6011","40","0","Training","Stims/Figures/93-C-30-1.bmp","ma:la:la","Up","38","2","7","1","S","J","23"
"","","approach-retreat","27","429526","0.0-27.0","","","1-1","6061","39","1","Training","Stims/Figures/139-J-0-2.bmp","papa:ta","Left","39","2","8","1","P","J","24"
"","","approach-retreat","28","436770","0.0-28.0","","","1-1","5732","40","1","Training","Stims/Figures/139-C-20-2.bmp","ma:la:la","Down","40","2","9","1","S","J","25"
"","","approach-retreat","29","445024","0.0-29.0","","","1-1","6743","39","0","Training","Stims/Figures/93-J-0-1.bmp","papa:ta","Right","37","2","10","1","P","J","26"
"","","approach-retreat","30","452236","0.0-30.0","","","1-1","5701","40","1","Training","Stims/Figures/44-C-30-3.bmp","ma:la:la","Down","40","2","11","1","S","J","27"
"","","approach-retreat","31","458697","0.0-31.0","","","1-1","4947","38","1","Training","Stims/Figures/57-C-30-1.bmp","ma:la:la","Up","38","2","12","1","S","J","28"
"","","approach-retreat","32","465328","0.0-32.0","","","1-1","5120","37","1","Training","Stims/Figures/94-C-20-2.bmp","ma:la:la","Left","37","2","13","1","S","J","29"
"","","approach-retreat","33","472509","0.0-33.0","","","1-1","5669","39","0","Training","Stims/Figures/57-J-0-1.bmp","papa:ta","Right","37","2","14","1","P","J","30"
"","","approach-retreat","34","479562","0.0-34.0","","","1-1","5541","40","0","Training","Stims/Figures/87-C-20-4.bmp","ma:la:la","Up","38","2","15","1","S","J","31"
"","","approach-retreat","35","487756","0.0-35.0","","","1-1","6681","37","1","Training","Stims/Figures/128-J-10-3.bmp","papa:ta","Right","37","2","16","1","P","J","32"
