"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"4718","32","text","0","4726","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"71549","","instructions","1","76283","0.0-1.0","[{""page_index"":0,""viewing_time"":71547}]","","","","","","","","","","","","","","","",""
"30134","","survey-multi-choice","2","106513","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Ne"",""Q2"":""Ne"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","116096","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","131670","0.0-4.0","","","1-5","13973","37","0","Training","Stims/Figures/139-C-20-2.bmp","vasha:sha","Left","39","1","1","6B","C1","C","1"
"","","approach-retreat","5","141162","0.0-5.0","","","1-5","7968","37","0","Training","Stims/Figures/27-J-0-1.bmp","saha:za","Right","39","1","2","6B","C2","C","2"
"","","approach-retreat","6","151584","0.0-6.0","","","1-5","8903","38","0","Training","Stims/Figures/7-C-20-4.bmp","va:fa:sha","Up","40","1","3","6B","C1","C","3"
"","","approach-retreat","7","158283","0.0-7.0","","","1-5","5176","38","1","Training","Stims/Figures/144-J-10-3.bmp","za:haha","Up","38","1","4","6B","C2","C","4"
"","","approach-retreat","8","165909","0.0-8.0","","","1-5","6105","37","0","Training","Stims/Figures/57-C-30-1.bmp","vafa:sha","Left","39","1","5","6B","C1","C","5"
"","","approach-retreat","9","174167","0.0-9.0","","","1-5","6736","37","1","Training","Stims/Figures/27-C-30-1.bmp","fafava","Right","37","1","6","6B","C1","C","6"
"","","approach-retreat","10","180689","0.0-10.0","","","1-5","5003","40","0","Training","Stims/Figures/74-C-20-4.bmp","vashasha","Down","38","1","7","6B","C1","C","7"
"","","approach-retreat","11","189559","0.0-11.0","","","1-5","7345","38","0","Training","Stims/Figures/85-J-0-2.bmp","zaha:za","Down","40","1","8","6B","C2","C","8"
"","","approach-retreat","12","197410","0.0-12.0","","","1-5","6328","40","1","Training","Stims/Figures/111-J-10-3.bmp","za:sa:ha","Down","40","1","9","6B","C2","C","9"
"","","approach-retreat","13","204627","0.0-13.0","","","1-5","5696","39","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Right","39","1","10","6B","C2","C","10"
"","","approach-retreat","14","213132","0.0-14.0","","","1-5","6985","38","1","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Up","38","1","11","6B","C2","C","11"
"","","approach-retreat","15","219414","0.0-15.0","","","1-5","4764","37","1","Training","Stims/Figures/139-J-0-2.bmp","saha:ha","Left","37","1","12","6B","C2","C","12"
"","","approach-retreat","16","225531","0.0-16.0","","","1-5","4597","37","0","Training","Stims/Figures/85-C-20-2.bmp","fa:shasha","Left","39","1","13","6B","C1","C","13"
"","","approach-retreat","17","231988","0.0-17.0","","","1-5","4937","39","1","Training","Stims/Figures/74-J-10-4.bmp","sa:sa:za","Right","39","1","14","6B","C2","C","14"
"","","approach-retreat","18","238342","0.0-18.0","","","1-5","4831","40","0","Training","Stims/Figures/144-C-30-3.bmp","va:fava","Down","38","1","15","6B","C1","C","15"
"","","approach-retreat","19","244749","0.0-19.0","","","1-5","4890","38","0","Training","Stims/Figures/111-C-30-3.bmp","va:sha:sha","Up","40","1","16","6B","C1","C","16"
"","","approach-retreat","20","250962","0.0-20.0","","","1-5","4688","38","0","Training","Stims/Figures/144-C-30-3.bmp","va:fava","Up","40","2","1","6B","C1","C","17"
"","","approach-retreat","21","257035","0.0-21.0","","","1-5","4552","38","1","Training","Stims/Figures/57-J-0-1.bmp","zaha:ha","Up","38","2","2","6B","C2","C","18"
"","","approach-retreat","22","263575","0.0-22.0","","","1-5","5014","37","1","Training","Stims/Figures/139-J-0-2.bmp","saha:ha","Left","37","2","3","6B","C2","C","19"
"","","approach-retreat","23","269755","0.0-23.0","","","1-5","4659","40","1","Training","Stims/Figures/7-J-10-4.bmp","za:haza","Down","40","2","4","6B","C2","C","20"
"","","approach-retreat","24","275846","0.0-24.0","","","1-5","4568","37","0","Training","Stims/Figures/7-C-20-4.bmp","va:fa:sha","Left","39","2","5","6B","C1","C","21"
"","","approach-retreat","25","282285","0.0-25.0","","","1-5","4916","39","0","Training","Stims/Figures/139-C-20-2.bmp","vasha:sha","Right","37","2","6","6B","C1","C","22"
