"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"31960","32","text","0","31967","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"97570","","instructions","1","129540","0.0-1.0","[{""page_index"":0,""viewing_time"":97570}]","","","","","","","","","","","","","","","",""
"47491","","survey-multi-choice","2","177088","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","187750","0.0-3.0","","{""age"":""18"",""gender"":""m"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","194839","0.0-4.0","","","1-5","5573","39","0","Training","Stims/Figures/7-C-20-4.bmp","za:saza","Left","37","1","1","6A","C2","J","1"
"","","approach-retreat","5","203349","0.0-5.0","","","1-5","6997","39","0","Training","Stims/Figures/44-C-30-3.bmp","za:ha:ha","Left","37","1","2","6A","C2","J","2"
"","","approach-retreat","6","209438","0.0-6.0","","","1-5","4576","37","0","Training","Stims/Figures/118-J-0-2.bmp","va:fasha","Left","39","1","3","6A","C1","J","3"
"","","approach-retreat","7","216509","0.0-7.0","","","1-5","5560","40","1","Training","Stims/Figures/44-J-10-3.bmp","fashasha","Up","40","1","4","6A","C1","J","4"
"","","approach-retreat","8","223398","0.0-8.0","","","1-5","5377","37","1","Training","Stims/Figures/139-J-0-2.bmp","fafa:sha","Right","37","1","5","6A","C1","J","5"
"","","approach-retreat","9","229125","0.0-9.0","","","1-5","4216","39","1","Training","Stims/Figures/19-C-20-4.bmp","sasa:ha","Right","39","1","6","6A","C2","J","6"
"","","approach-retreat","10","235847","0.0-10.0","","","1-5","5209","39","0","Training","Stims/Figures/93-J-0-1.bmp","vasha:sha","Right","37","1","7","6A","C1","J","7"
"","","approach-retreat","11","242519","0.0-11.0","","","1-5","5159","40","0","Training","Stims/Figures/19-J-10-4.bmp","vafa:sha","Down","38","1","8","6A","C1","J","8"
"","","approach-retreat","12","248454","0.0-12.0","","","1-5","4422","38","0","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Up","40","1","9","6A","C1","J","9"
"","","approach-retreat","13","254405","0.0-13.0","","","1-5","4440","40","1","Training","Stims/Figures/128-J-10-3.bmp","va:sha:va","Up","40","1","10","6A","C1","J","10"
"","","approach-retreat","14","260143","0.0-14.0","","","1-5","4227","37","1","Training","Stims/Figures/128-C-30-3.bmp","sa:sa:za","Left","37","1","11","6A","C2","J","11"
"","","approach-retreat","15","266445","0.0-15.0","","","1-5","4791","40","1","Training","Stims/Figures/93-C-30-1.bmp","za:ha:za","Down","40","1","12","6A","C2","J","12"
"","","approach-retreat","16","273158","0.0-16.0","","","1-5","5202","38","1","Training","Stims/Figures/57-C-30-1.bmp","za:saha","Up","38","1","13","6A","C2","J","13"
"","","approach-retreat","17","279414","0.0-17.0","","","1-5","4743","37","0","Training","Stims/Figures/118-C-20-2.bmp","zahaza","Right","39","1","14","6A","C2","J","14"
"","","approach-retreat","18","285758","0.0-18.0","","","1-5","4832","40","1","Training","Stims/Figures/139-C-20-2.bmp","sahaha","Down","40","1","15","6A","C2","J","15"
"","","approach-retreat","19","292557","0.0-19.0","","","1-5","5288","40","0","Training","Stims/Figures/7-J-10-4.bmp","va:fa:va","Down","38","1","16","6A","C1","J","16"
"","","approach-retreat","20","299309","0.0-20.0","","","1-5","5249","38","1","Training","Stims/Figures/19-C-20-4.bmp","sasa:ha","Up","38","2","1","6A","C2","J","17"
"","","approach-retreat","21","305573","0.0-21.0","","","1-5","4752","37","1","Training","Stims/Figures/44-C-30-3.bmp","za:ha:ha","Left","37","2","2","6A","C2","J","18"
"","","approach-retreat","22","311581","0.0-22.0","","","1-5","4497","39","0","Training","Stims/Figures/139-C-20-2.bmp","sahaha","Left","37","2","3","6A","C2","J","19"
"","","approach-retreat","23","317165","0.0-23.0","","","1-5","4072","37","1","Training","Stims/Figures/7-C-20-4.bmp","za:saza","Left","37","2","4","6A","C2","J","20"
"","","approach-retreat","24","322998","0.0-24.0","","","1-5","4321","38","1","Training","Stims/Figures/57-J-0-1.bmp","fa:fa:va","Down","38","2","5","6A","C1","J","21"
"","","approach-retreat","25","328884","0.0-25.0","","","1-5","4376","37","1","Training","Stims/Figures/93-J-0-1.bmp","vasha:sha","Right","37","2","6","6A","C1","J","22"
"","","approach-retreat","26","334709","0.0-26.0","","","1-5","4309","37","1","Training","Stims/Figures/118-J-0-2.bmp","va:fasha","Right","37","2","7","6A","C1","J","23"
