\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"43911\",\"32\",\"text\",\"0\",\"43928\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"164326\",\"\",\"instructions\",\"1\",\"208255\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":164326}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"43683\",\"\",\"survey-multi-choice\",\"2\",\"251989\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"263860\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"270846\",\"0.0-4.0\",\"\",\"\",\"1-3\",\"5486\",\"39\",\"0\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"None\",\"Left\",\"37\",\"1\",\"1\",\"10\",\"N\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"277046\",\"0.0-5.0\",\"\",\"\",\"1-3\",\"4693\",\"39\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"None\",\"Left\",\"39\",\"1\",\"2\",\"10\",\"N\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"284247\",\"0.0-6.0\",\"\",\"\",\"1-3\",\"5694\",\"39\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"None\",\"Right\",\"37\",\"1\",\"3\",\"10\",\"N\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"290771\",\"0.0-7.0\",\"\",\"\",\"1-3\",\"5019\",\"37\",\"0\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"None\",\"Right\",\"39\",\"1\",\"4\",\"10\",\"N\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"297246\",\"0.0-8.0\",\"\",\"\",\"1-3\",\"4975\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"None\",\"Down\",\"40\",\"1\",\"5\",\"10\",\"N\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"303377\",\"0.0-9.0\",\"\",\"\",\"1-3\",\"4625\",\"40\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"None\",\"Up\",\"38\",\"1\",\"6\",\"10\",\"N\",\"J\",\"6\"
