\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"68432\",\"32\",\"text\",\"0\",\"68435\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"81032\",\"\",\"instructions\",\"1\",\"149469\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":81031}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"18287\",\"\",\"survey-multi-choice\",\"2\",\"167793\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"176996\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"21\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"185740\",\"0.0-4.0\",\"\",\"\",\"2-3\",\"7237\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"fa:fava\",\"Down\",\"40\",\"1\",\"1\",\"6A\",\"C1\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"196412\",\"0.0-5.0\",\"\",\"\",\"2-3\",\"9161\",\"37\",\"0\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"vafa:sha\",\"Right\",\"39\",\"1\",\"2\",\"6A\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"202916\",\"0.0-6.0\",\"\",\"\",\"2-3\",\"4994\",\"40\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"zaha:ha\",\"Up\",\"40\",\"1\",\"3\",\"6A\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"237793\",\"0.0-7.0\",\"\",\"\",\"2-3\",\"33366\",\"39\",\"0\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"sa:saza\",\"Right\",\"37\",\"1\",\"4\",\"6A\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"246905\",\"0.0-8.0\",\"\",\"\",\"2-3\",\"7606\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"fa:shasha\",\"Right\",\"39\",\"1\",\"5\",\"6A\",\"C1\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"252911\",\"0.0-9.0\",\"\",\"\",\"2-3\",\"4498\",\"40\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"fa:fa:sha\",\"Down\",\"40\",\"1\",\"6\",\"6A\",\"C1\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"258784\",\"0.0-10.0\",\"\",\"\",\"2-3\",\"4368\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"va:sha:sha\",\"Down\",\"40\",\"1\",\"7\",\"6A\",\"C1\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"265775\",\"0.0-11.0\",\"\",\"\",\"2-3\",\"5485\",\"38\",\"1\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"fafa:va\",\"Up\",\"38\",\"1\",\"8\",\"6A\",\"C1\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"273866\",\"0.0-12.0\",\"\",\"\",\"2-3\",\"6580\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"sa:haha\",\"Left\",\"39\",\"1\",\"9\",\"6A\",\"C2\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"279830\",\"0.0-13.0\",\"\",\"\",\"2-3\",\"4458\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"sa:ha:ha\",\"Left\",\"39\",\"1\",\"10\",\"6A\",\"C2\",\"C\",\"10\"
