\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"38014\",\"32\",\"text\",\"0\",\"38024\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"103242\",\"\",\"instructions\",\"1\",\"141270\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":103240}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"27122\",\"\",\"survey-multi-choice\",\"2\",\"168500\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"177662\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"194846\",\"0.0-4.0\",\"\",\"\",\"3-1\",\"15654\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"zasa:ha\",\"Up\",\"40\",\"1\",\"1\",\"3A\",\"C2\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"207672\",\"0.0-5.0\",\"\",\"\",\"3-1\",\"11304\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"zasa:ha\",\"Left\",\"39\",\"1\",\"2\",\"3A\",\"C2\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"218766\",\"0.0-6.0\",\"\",\"\",\"3-1\",\"9572\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"zasa:ha\",\"Right\",\"37\",\"1\",\"3\",\"3A\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"226546\",\"0.0-7.0\",\"\",\"\",\"3-1\",\"6250\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"fashava\",\"Down\",\"40\",\"1\",\"4\",\"3A\",\"C1\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"232416\",\"0.0-8.0\",\"\",\"\",\"3-1\",\"4350\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"fashava\",\"Down\",\"40\",\"1\",\"5\",\"3A\",\"C1\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"239838\",\"0.0-9.0\",\"\",\"\",\"3-1\",\"5900\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"zasa:ha\",\"Right\",\"37\",\"1\",\"6\",\"3A\",\"C2\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"246580\",\"0.0-10.0\",\"\",\"\",\"3-1\",\"5218\",\"38\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"fashava\",\"Up\",\"38\",\"1\",\"7\",\"3A\",\"C1\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"253104\",\"0.0-11.0\",\"\",\"\",\"3-1\",\"5000\",\"37\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"zasa:ha\",\"Left\",\"39\",\"1\",\"8\",\"3A\",\"C2\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"258868\",\"0.0-12.0\",\"\",\"\",\"3-1\",\"4246\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"fashava\",\"Left\",\"37\",\"1\",\"9\",\"3A\",\"C1\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"264856\",\"0.0-13.0\",\"\",\"\",\"3-1\",\"4462\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"zasa:ha\",\"Up\",\"40\",\"1\",\"10\",\"3A\",\"C2\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"270882\",\"0.0-14.0\",\"\",\"\",\"3-1\",\"4502\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"zasa:ha\",\"Right\",\"37\",\"1\",\"11\",\"3A\",\"C2\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"276520\",\"0.0-15.0\",\"\",\"\",\"3-1\",\"4120\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"zasa:ha\",\"Right\",\"37\",\"1\",\"12\",\"3A\",\"C2\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"283352\",\"0.0-16.0\",\"\",\"\",\"3-1\",\"5314\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"fashava\",\"Left\",\"37\",\"1\",\"13\",\"3A\",\"C1\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"289190\",\"0.0-17.0\",\"\",\"\",\"3-1\",\"4316\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"fashava\",\"Up\",\"38\",\"1\",\"14\",\"3A\",\"C1\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"295070\",\"0.0-18.0\",\"\",\"\",\"3-1\",\"4358\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fashava\",\"Down\",\"40\",\"1\",\"15\",\"3A\",\"C1\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"300956\",\"0.0-19.0\",\"\",\"\",\"3-1\",\"4368\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"fashava\",\"Down\",\"40\",\"1\",\"16\",\"3A\",\"C1\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"307032\",\"0.0-20.0\",\"\",\"\",\"3-1\",\"4560\",\"38\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"zasa:ha\",\"Up\",\"40\",\"2\",\"1\",\"3A\",\"C2\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"313016\",\"0.0-21.0\",\"\",\"\",\"3-1\",\"4464\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"fashava\",\"Down\",\"40\",\"2\",\"2\",\"3A\",\"C1\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"318928\",\"0.0-22.0\",\"\",\"\",\"3-1\",\"4392\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"fashava\",\"Up\",\"38\",\"2\",\"3\",\"3A\",\"C1\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"325402\",\"0.0-23.0\",\"\",\"\",\"3-1\",\"4958\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"fashava\",\"Right\",\"39\",\"2\",\"4\",\"3A\",\"C1\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"331228\",\"0.0-24.0\",\"\",\"\",\"3-1\",\"4286\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"fashava\",\"Left\",\"37\",\"2\",\"5\",\"3A\",\"C1\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"337040\",\"0.0-25.0\",\"\",\"\",\"3-1\",\"4294\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"zasa:ha\",\"Down\",\"38\",\"2\",\"6\",\"3A\",\"C2\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"342692\",\"0.0-26.0\",\"\",\"\",\"3-1\",\"4132\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"zasa:ha\",\"Down\",\"38\",\"2\",\"7\",\"3A\",\"C2\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"348332\",\"0.0-27.0\",\"\",\"\",\"3-1\",\"4118\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"zasa:ha\",\"Down\",\"38\",\"2\",\"8\",\"3A\",\"C2\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"354514\",\"0.0-28.0\",\"\",\"\",\"3-1\",\"4668\",\"39\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"zasa:ha\",\"Left\",\"39\",\"2\",\"9\",\"3A\",\"C2\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"360532\",\"0.0-29.0\",\"\",\"\",\"3-1\",\"4502\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fashava\",\"Right\",\"39\",\"2\",\"10\",\"3A\",\"C1\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"366596\",\"0.0-30.0\",\"\",\"\",\"3-1\",\"4546\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"zasa:ha\",\"Right\",\"37\",\"2\",\"11\",\"3A\",\"C2\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"372488\",\"0.0-31.0\",\"\",\"\",\"3-1\",\"4372\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"fashava\",\"Left\",\"37\",\"2\",\"12\",\"3A\",\"C1\",\"C\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"378322\",\"0.0-32.0\",\"\",\"\",\"3-1\",\"4316\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"fashava\",\"Right\",\"39\",\"2\",\"13\",\"3A\",\"C1\",\"C\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"385566\",\"0.0-33.0\",\"\",\"\",\"3-1\",\"5728\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"zasa:ha\",\"Up\",\"40\",\"2\",\"14\",\"3A\",\"C2\",\"C\",\"30\"
