\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"215728\",\"32\",\"text\",\"0\",\"215732\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"37734\",\"\",\"instructions\",\"1\",\"253468\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":37733}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"16312\",\"\",\"survey-multi-choice\",\"2\",\"269807\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"277679\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"287105\",\"0.0-4.0\",\"\",\"\",\"3-3\",\"7914\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"za:ha:za\",\"Down\",\"38\",\"1\",\"1\",\"6A\",\"C2\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"295054\",\"0.0-5.0\",\"\",\"\",\"3-3\",\"6441\",\"39\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"fasha:sha\",\"Left\",\"37\",\"1\",\"2\",\"6A\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"301657\",\"0.0-6.0\",\"\",\"\",\"3-3\",\"5096\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"sa:haza\",\"Up\",\"40\",\"1\",\"3\",\"6A\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"307380\",\"0.0-7.0\",\"\",\"\",\"3-3\",\"4215\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:haza\",\"Up\",\"40\",\"1\",\"4\",\"6A\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"313422\",\"0.0-8.0\",\"\",\"\",\"3-3\",\"4535\",\"40\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"sasa:za\",\"Down\",\"38\",\"1\",\"5\",\"6A\",\"C2\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"320379\",\"0.0-9.0\",\"\",\"\",\"3-3\",\"5450\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"vafasha\",\"Left\",\"37\",\"1\",\"6\",\"6A\",\"C1\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"326465\",\"0.0-10.0\",\"\",\"\",\"3-3\",\"4577\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fa:shava\",\"Right\",\"39\",\"1\",\"7\",\"6A\",\"C1\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"333151\",\"0.0-11.0\",\"\",\"\",\"3-3\",\"5178\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"va:fa:va\",\"Left\",\"37\",\"1\",\"8\",\"6A\",\"C1\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"339864\",\"0.0-12.0\",\"\",\"\",\"3-3\",\"5207\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"za:sa:za\",\"Up\",\"40\",\"1\",\"9\",\"6A\",\"C2\",\"C\",\"9\"
