\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"3767\",\"32\",\"text\",\"0\",\"3774\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"2601\",\"\",\"instructions\",\"1\",\"6380\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":2600}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"6198\",\"\",\"survey-multi-choice\",\"2\",\"12628\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"18914\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"25319\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"4889\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"fafa:va\",\"Right\",\"39\",\"1\",\"1\",\"3A\",\"C1\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"33429\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"6600\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"za:sa:za\",\"Left\",\"39\",\"1\",\"2\",\"3A\",\"C2\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"41668\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"6730\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"fafa:va\",\"Up\",\"38\",\"1\",\"3\",\"3A\",\"C1\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"48845\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"5666\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"za:sa:za\",\"Up\",\"40\",\"1\",\"4\",\"3A\",\"C2\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"55308\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"4954\",\"38\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"za:sa:za\",\"Down\",\"38\",\"1\",\"5\",\"3A\",\"C2\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"62845\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"6027\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:sa:za\",\"Right\",\"37\",\"1\",\"6\",\"3A\",\"C2\",\"C\",\"6\"
