\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"44064\",\"32\",\"text\",\"0\",\"44067\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"106525\",\"\",\"instructions\",\"1\",\"150594\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":106525}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"21678\",\"\",\"survey-multi-choice\",\"2\",\"172292\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"178793\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"22\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"186318\",\"0.0-4.0\",\"\",\"\",\"1-5\",\"6018\",\"38\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"pa:ka:ka\",\"Down\",\"40\",\"1\",\"1\",\"5\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"192583\",\"0.0-5.0\",\"\",\"\",\"1-5\",\"4760\",\"40\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"nalala\",\"Down\",\"38\",\"1\",\"2\",\"5\",\"S\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"200132\",\"0.0-6.0\",\"\",\"\",\"1-5\",\"6045\",\"37\",\"0\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"ta:ka:ka\",\"Right\",\"39\",\"1\",\"3\",\"5\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"206571\",\"0.0-7.0\",\"\",\"\",\"1-5\",\"4934\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"na:mala\",\"Right\",\"37\",\"1\",\"4\",\"5\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"212913\",\"0.0-8.0\",\"\",\"\",\"1-5\",\"4838\",\"37\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"pa:ka:ta\",\"Left\",\"37\",\"1\",\"5\",\"5\",\"P\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"219229\",\"0.0-9.0\",\"\",\"\",\"1-5\",\"4809\",\"38\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"tapaka\",\"Up\",\"38\",\"1\",\"6\",\"5\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"225864\",\"0.0-10.0\",\"\",\"\",\"1-5\",\"5131\",\"39\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"ta:pa:ta\",\"Left\",\"37\",\"1\",\"7\",\"5\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"231531\",\"0.0-11.0\",\"\",\"\",\"1-5\",\"4162\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"nama:la\",\"Right\",\"37\",\"1\",\"8\",\"5\",\"S\",\"J\",\"8\"
