\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"9049\",\"32\",\"text\",\"0\",\"9053\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"77476\",\"\",\"instructions\",\"1\",\"86531\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":77475}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"18960\",\"\",\"survey-multi-choice\",\"2\",\"105531\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"111695\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"119828\",\"0.0-4.0\",\"\",\"\",\"3-3\",\"6623\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"tapa:ka\",\"Down\",\"38\",\"1\",\"1\",\"5\",\"P\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"126949\",\"0.0-5.0\",\"\",\"\",\"3-3\",\"5614\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"ma:la:na\",\"Right\",\"39\",\"1\",\"2\",\"5\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"133543\",\"0.0-6.0\",\"\",\"\",\"3-3\",\"5086\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"na:la:na\",\"Up\",\"38\",\"1\",\"3\",\"5\",\"S\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"139905\",\"0.0-7.0\",\"\",\"\",\"3-3\",\"4855\",\"38\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"na:lala\",\"Down\",\"40\",\"1\",\"4\",\"5\",\"S\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"146988\",\"0.0-8.0\",\"\",\"\",\"3-3\",\"5574\",\"38\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"ma:ma:la\",\"Up\",\"38\",\"1\",\"5\",\"5\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"154060\",\"0.0-9.0\",\"\",\"\",\"3-3\",\"5560\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"nama:la\",\"Right\",\"39\",\"1\",\"6\",\"5\",\"S\",\"C\",\"6\"
