\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"26010\",\"32\",\"text\",\"0\",\"26012\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"39646\",\"\",\"instructions\",\"1\",\"65660\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":39644}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"15204\",\"\",\"survey-multi-choice\",\"2\",\"80900\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"88138\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"23\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"94274\",\"0.0-4.0\",\"\",\"\",\"3-1\",\"4618\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"vashava\",\"Left\",\"37\",\"1\",\"1\",\"3B\",\"C1\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"100488\",\"0.0-5.0\",\"\",\"\",\"3-1\",\"4706\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"2\",\"3B\",\"C1\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"107008\",\"0.0-6.0\",\"\",\"\",\"3-1\",\"5006\",\"37\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"sasaha\",\"Left\",\"39\",\"1\",\"3\",\"3B\",\"C2\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"112696\",\"0.0-7.0\",\"\",\"\",\"3-1\",\"4176\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"vashava\",\"Down\",\"40\",\"1\",\"4\",\"3B\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"119176\",\"0.0-8.0\",\"\",\"\",\"3-1\",\"4974\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"sasaha\",\"Right\",\"37\",\"1\",\"5\",\"3B\",\"C2\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"124774\",\"0.0-9.0\",\"\",\"\",\"3-1\",\"4092\",\"40\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"6\",\"3B\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"130728\",\"0.0-10.0\",\"\",\"\",\"3-1\",\"4446\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"sasaha\",\"Left\",\"39\",\"1\",\"7\",\"3B\",\"C2\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"136476\",\"0.0-11.0\",\"\",\"\",\"3-1\",\"4240\",\"40\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"sasaha\",\"Down\",\"38\",\"1\",\"8\",\"3B\",\"C2\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"142094\",\"0.0-12.0\",\"\",\"\",\"3-1\",\"4114\",\"39\",\"0\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"vashava\",\"Left\",\"37\",\"1\",\"9\",\"3B\",\"C1\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"147828\",\"0.0-13.0\",\"\",\"\",\"3-1\",\"4230\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"sasaha\",\"Right\",\"37\",\"1\",\"10\",\"3B\",\"C2\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"153472\",\"0.0-14.0\",\"\",\"\",\"3-1\",\"4132\",\"38\",\"0\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"vashava\",\"Down\",\"40\",\"1\",\"11\",\"3B\",\"C1\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"159180\",\"0.0-15.0\",\"\",\"\",\"3-1\",\"4198\",\"40\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"vashava\",\"Up\",\"38\",\"1\",\"12\",\"3B\",\"C1\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"165372\",\"0.0-16.0\",\"\",\"\",\"3-1\",\"4688\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"sasaha\",\"Right\",\"37\",\"1\",\"13\",\"3B\",\"C2\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"171096\",\"0.0-17.0\",\"\",\"\",\"3-1\",\"4220\",\"37\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"vashava\",\"Right\",\"39\",\"1\",\"14\",\"3B\",\"C1\",\"J\",\"14\"
