\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"59239\",\"32\",\"text\",\"0\",\"59242\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"163809\",\"\",\"instructions\",\"1\",\"223054\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":163808}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"69432\",\"\",\"survey-multi-choice\",\"2\",\"292506\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Ne\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"306973\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"321284\",\"0.0-4.0\",\"\",\"\",\"3-4\",\"12803\",\"40\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"ma:la:na\",\"Down\",\"38\",\"1\",\"1\",\"7\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"328743\",\"0.0-5.0\",\"\",\"\",\"3-4\",\"5955\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"papata\",\"Right\",\"37\",\"1\",\"2\",\"7\",\"P\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"336993\",\"0.0-6.0\",\"\",\"\",\"3-4\",\"6748\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"tapa:ka\",\"Left\",\"39\",\"1\",\"3\",\"7\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"345397\",\"0.0-7.0\",\"\",\"\",\"3-4\",\"6899\",\"38\",\"0\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"mama:na\",\"Down\",\"40\",\"1\",\"4\",\"7\",\"S\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"353507\",\"0.0-8.0\",\"\",\"\",\"3-4\",\"6604\",\"39\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"malana\",\"Right\",\"39\",\"1\",\"5\",\"7\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"360188\",\"0.0-9.0\",\"\",\"\",\"3-4\",\"5176\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"6\",\"7\",\"S\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"367706\",\"0.0-10.0\",\"\",\"\",\"3-4\",\"6013\",\"40\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mamana\",\"Down\",\"38\",\"1\",\"7\",\"7\",\"S\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"375436\",\"0.0-11.0\",\"\",\"\",\"3-4\",\"6224\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ta\",\"Up\",\"38\",\"1\",\"8\",\"7\",\"P\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"381837\",\"0.0-12.0\",\"\",\"\",\"3-4\",\"4895\",\"39\",\"0\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapaka\",\"Left\",\"37\",\"1\",\"9\",\"7\",\"P\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"388286\",\"0.0-13.0\",\"\",\"\",\"3-4\",\"4945\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"nala:na\",\"Up\",\"40\",\"1\",\"10\",\"7\",\"S\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"394506\",\"0.0-14.0\",\"\",\"\",\"3-4\",\"4716\",\"40\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"pa:kata\",\"Up\",\"38\",\"1\",\"11\",\"7\",\"P\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"400499\",\"0.0-15.0\",\"\",\"\",\"3-4\",\"4489\",\"37\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"na:la:na\",\"Right\",\"39\",\"1\",\"12\",\"7\",\"S\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"408006\",\"0.0-16.0\",\"\",\"\",\"3-4\",\"6000\",\"40\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:kata\",\"Up\",\"38\",\"1\",\"13\",\"7\",\"P\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"415158\",\"0.0-17.0\",\"\",\"\",\"3-4\",\"5647\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"na:ma:na\",\"Right\",\"37\",\"1\",\"14\",\"7\",\"S\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"421563\",\"0.0-18.0\",\"\",\"\",\"3-4\",\"4901\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"paka:ka\",\"Left\",\"39\",\"1\",\"15\",\"7\",\"P\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"427790\",\"0.0-19.0\",\"\",\"\",\"3-4\",\"4722\",\"40\",\"0\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"pakata\",\"Down\",\"38\",\"1\",\"16\",\"7\",\"P\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"436261\",\"0.0-20.0\",\"\",\"\",\"3-4\",\"6968\",\"39\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"paka:ka\",\"Right\",\"37\",\"2\",\"1\",\"7\",\"P\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"442558\",\"0.0-21.0\",\"\",\"\",\"3-4\",\"4793\",\"38\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"papata\",\"Down\",\"38\",\"2\",\"2\",\"7\",\"P\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"448170\",\"0.0-22.0\",\"\",\"\",\"3-4\",\"4108\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mamana\",\"Down\",\"38\",\"2\",\"3\",\"7\",\"S\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"455350\",\"0.0-23.0\",\"\",\"\",\"3-4\",\"5675\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"na:ma:na\",\"Right\",\"37\",\"2\",\"4\",\"7\",\"S\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"461362\",\"0.0-24.0\",\"\",\"\",\"3-4\",\"4506\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"na:la:na\",\"Down\",\"40\",\"2\",\"5\",\"7\",\"S\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"469275\",\"0.0-25.0\",\"\",\"\",\"3-4\",\"6409\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ta\",\"Left\",\"37\",\"2\",\"6\",\"7\",\"P\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"475701\",\"0.0-26.0\",\"\",\"\",\"3-4\",\"4921\",\"38\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"malana\",\"Up\",\"38\",\"2\",\"7\",\"7\",\"S\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"483113\",\"0.0-27.0\",\"\",\"\",\"3-4\",\"5907\",\"38\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"nala:na\",\"Up\",\"40\",\"2\",\"8\",\"7\",\"S\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"491866\",\"0.0-28.0\",\"\",\"\",\"3-4\",\"7245\",\"38\",\"0\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"pakata\",\"Up\",\"40\",\"2\",\"9\",\"7\",\"P\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"497967\",\"0.0-29.0\",\"\",\"\",\"3-4\",\"4598\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapaka\",\"Right\",\"39\",\"2\",\"10\",\"7\",\"P\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"503865\",\"0.0-30.0\",\"\",\"\",\"3-4\",\"4393\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"ma:la:na\",\"Left\",\"39\",\"2\",\"11\",\"7\",\"S\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"510097\",\"0.0-31.0\",\"\",\"\",\"3-4\",\"4729\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"mama:na\",\"Left\",\"37\",\"2\",\"12\",\"7\",\"S\",\"C\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"517173\",\"0.0-32.0\",\"\",\"\",\"3-4\",\"5571\",\"40\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:kata\",\"Down\",\"40\",\"2\",\"13\",\"7\",\"P\",\"C\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"526751\",\"0.0-33.0\",\"\",\"\",\"3-4\",\"8072\",\"39\",\"0\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"tapa:ka\",\"Right\",\"37\",\"2\",\"14\",\"7\",\"P\",\"C\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"533679\",\"0.0-34.0\",\"\",\"\",\"3-4\",\"5423\",\"39\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"pa:kata\",\"Left\",\"37\",\"2\",\"15\",\"7\",\"P\",\"C\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"541679\",\"0.0-35.0\",\"\",\"\",\"3-4\",\"6495\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"na:la:la\",\"Up\",\"38\",\"2\",\"16\",\"7\",\"S\",\"C\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"547975\",\"0.0-36.0\",\"\",\"\",\"3-4\",\"4793\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"na:la:na\",\"Up\",\"38\",\"3\",\"1\",\"7\",\"S\",\"C\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"556471\",\"0.0-37.0\",\"\",\"\",\"3-4\",\"6992\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapaka\",\"Left\",\"37\",\"3\",\"2\",\"7\",\"P\",\"C\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"563976\",\"0.0-38.0\",\"\",\"\",\"3-4\",\"5999\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"3\",\"3\",\"7\",\"S\",\"C\",\"35\"
\"\",\"\",\"approach-retreat\",\"39\",\"571826\",\"0.0-39.0\",\"\",\"\",\"3-4\",\"6345\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"pa:kata\",\"Down\",\"40\",\"3\",\"4\",\"7\",\"P\",\"C\",\"36\"
\"\",\"\",\"approach-retreat\",\"40\",\"578041\",\"0.0-40.0\",\"\",\"\",\"3-4\",\"4710\",\"38\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"ta:kata\",\"Up\",\"38\",\"3\",\"5\",\"7\",\"P\",\"C\",\"37\"
\"\",\"\",\"approach-retreat\",\"41\",\"587551\",\"0.0-41.0\",\"\",\"\",\"3-4\",\"8006\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"papata\",\"Right\",\"37\",\"3\",\"6\",\"7\",\"P\",\"C\",\"38\"
\"\",\"\",\"approach-retreat\",\"42\",\"596437\",\"0.0-42.0\",\"\",\"\",\"3-4\",\"7382\",\"38\",\"0\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"nala:na\",\"Up\",\"40\",\"3\",\"7\",\"7\",\"S\",\"C\",\"39\"
\"\",\"\",\"approach-retreat\",\"43\",\"605404\",\"0.0-43.0\",\"\",\"\",\"3-4\",\"7461\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"ma:la:na\",\"Right\",\"37\",\"3\",\"8\",\"7\",\"S\",\"C\",\"40\"
\"\",\"\",\"approach-retreat\",\"44\",\"612179\",\"0.0-44.0\",\"\",\"\",\"3-4\",\"5270\",\"40\",\"0\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"tapa:ka\",\"Down\",\"38\",\"3\",\"9\",\"7\",\"P\",\"C\",\"41\"
\"\",\"\",\"approach-retreat\",\"45\",\"618378\",\"0.0-45.0\",\"\",\"\",\"3-4\",\"4695\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mamana\",\"Right\",\"37\",\"3\",\"10\",\"7\",\"S\",\"C\",\"42\"
