\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"6261\",\"32\",\"text\",\"0\",\"6264\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"58718\",\"\",\"instructions\",\"1\",\"64985\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":58717}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"32532\",\"\",\"survey-multi-choice\",\"2\",\"97553\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"107092\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"114206\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"5558\",\"37\",\"0\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"vafa:sha\",\"Left\",\"39\",\"1\",\"1\",\"6B\",\"C1\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"121129\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"5412\",\"40\",\"0\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"saha:za\",\"Up\",\"38\",\"1\",\"2\",\"6B\",\"C2\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"127041\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"4406\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"zasa:za\",\"Left\",\"37\",\"1\",\"3\",\"6B\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"133390\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"4835\",\"38\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"va:fa:va\",\"Up\",\"40\",\"1\",\"4\",\"6B\",\"C1\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"139278\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"4383\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"vafa:va\",\"Right\",\"37\",\"1\",\"5\",\"6B\",\"C1\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"144964\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"4180\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"zaha:za\",\"Right\",\"39\",\"1\",\"6\",\"6B\",\"C2\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"150782\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"4307\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"vafasha\",\"Up\",\"40\",\"1\",\"7\",\"6B\",\"C1\",\"C\",\"7\"
