\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"30210\",\"32\",\"text\",\"0\",\"30215\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"92156\",\"\",\"instructions\",\"1\",\"122374\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":92154}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"28792\",\"\",\"survey-multi-choice\",\"2\",\"151203\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"159668\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"170241\",\"0.0-4.0\",\"\",\"\",\"2-5\",\"9060\",\"39\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"nalana\",\"Left\",\"37\",\"1\",\"1\",\"5\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"179593\",\"0.0-5.0\",\"\",\"\",\"2-5\",\"7842\",\"40\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"tapa:ta\",\"Down\",\"38\",\"1\",\"2\",\"5\",\"P\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"186807\",\"0.0-6.0\",\"\",\"\",\"2-5\",\"5705\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"pa:pa:ka\",\"Left\",\"39\",\"1\",\"3\",\"5\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"193919\",\"0.0-7.0\",\"\",\"\",\"2-5\",\"5603\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"ta:kata\",\"Down\",\"38\",\"1\",\"4\",\"5\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"201046\",\"0.0-8.0\",\"\",\"\",\"2-5\",\"5620\",\"40\",\"1\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"papata\",\"Up\",\"40\",\"1\",\"5\",\"5\",\"P\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"207783\",\"0.0-9.0\",\"\",\"\",\"2-5\",\"5228\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"na:mana\",\"Down\",\"40\",\"1\",\"6\",\"5\",\"S\",\"C\",\"6\"
