\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"63712\",\"32\",\"text\",\"0\",\"63723\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"69460\",\"\",\"instructions\",\"1\",\"133189\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":69458}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"31673\",\"\",\"survey-multi-choice\",\"2\",\"164945\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Ne\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"173647\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"180089\",\"0.0-4.0\",\"\",\"\",\"3-4\",\"4925\",\"38\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"na:lala\",\"Down\",\"40\",\"1\",\"1\",\"5\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"186012\",\"0.0-5.0\",\"\",\"\",\"3-4\",\"4396\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"na:la:la\",\"Up\",\"38\",\"1\",\"2\",\"5\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"191682\",\"0.0-6.0\",\"\",\"\",\"3-4\",\"4134\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"taka:ka\",\"Up\",\"40\",\"1\",\"3\",\"5\",\"P\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"197390\",\"0.0-7.0\",\"\",\"\",\"3-4\",\"4169\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"takata\",\"Left\",\"39\",\"1\",\"4\",\"5\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"203132\",\"0.0-8.0\",\"\",\"\",\"3-4\",\"4218\",\"37\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"nama:la\",\"Right\",\"39\",\"1\",\"5\",\"5\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"208810\",\"0.0-9.0\",\"\",\"\",\"3-4\",\"4155\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"na:ma:la\",\"Right\",\"39\",\"1\",\"6\",\"5\",\"S\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"214640\",\"0.0-10.0\",\"\",\"\",\"3-4\",\"4303\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"pa:ka:ta\",\"Down\",\"38\",\"1\",\"7\",\"5\",\"P\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"220185\",\"0.0-11.0\",\"\",\"\",\"3-4\",\"4019\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"na:la:na\",\"Left\",\"37\",\"1\",\"8\",\"5\",\"S\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"226574\",\"0.0-12.0\",\"\",\"\",\"3-4\",\"4862\",\"40\",\"0\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"ma:la:na\",\"Up\",\"38\",\"1\",\"9\",\"5\",\"S\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"232315\",\"0.0-13.0\",\"\",\"\",\"3-4\",\"4218\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"papa:ta\",\"Right\",\"37\",\"1\",\"10\",\"5\",\"P\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"239159\",\"0.0-14.0\",\"\",\"\",\"3-4\",\"5307\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"mama:la\",\"Down\",\"40\",\"1\",\"11\",\"5\",\"S\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"245517\",\"0.0-15.0\",\"\",\"\",\"3-4\",\"4834\",\"40\",\"1\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"taka:ta\",\"Up\",\"40\",\"1\",\"12\",\"5\",\"P\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"251349\",\"0.0-16.0\",\"\",\"\",\"3-4\",\"4306\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"paka:ta\",\"Right\",\"37\",\"1\",\"13\",\"5\",\"P\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"257094\",\"0.0-17.0\",\"\",\"\",\"3-4\",\"4208\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-C-30-3.bmp\",\"pakata\",\"Left\",\"39\",\"1\",\"14\",\"5\",\"P\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"262788\",\"0.0-18.0\",\"\",\"\",\"3-4\",\"4168\",\"37\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"ma:ma:la\",\"Left\",\"37\",\"1\",\"15\",\"5\",\"S\",\"C\",\"15\"
