\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"37044\",\"32\",\"text\",\"0\",\"37053\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"87590\",\"\",\"instructions\",\"1\",\"124649\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":87586}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"28961\",\"\",\"survey-multi-choice\",\"2\",\"153655\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"163103\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"175120\",\"0.0-4.0\",\"\",\"\",\"3-5\",\"10503\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"va:sha:va\",\"Up\",\"40\",\"1\",\"1\",\"9\",\"C1\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"182457\",\"0.0-5.0\",\"\",\"\",\"3-5\",\"5816\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pa:ka\",\"Down\",\"40\",\"1\",\"2\",\"9\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"188365\",\"0.0-6.0\",\"\",\"\",\"3-5\",\"4398\",\"39\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"paka:ka\",\"Left\",\"39\",\"1\",\"3\",\"9\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"195523\",\"0.0-7.0\",\"\",\"\",\"3-5\",\"5648\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mamala\",\"Down\",\"40\",\"1\",\"4\",\"9\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"203840\",\"0.0-8.0\",\"\",\"\",\"3-5\",\"6804\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"mamana\",\"Left\",\"37\",\"1\",\"5\",\"9\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"209751\",\"0.0-9.0\",\"\",\"\",\"3-5\",\"4397\",\"38\",\"0\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"ma:lana\",\"Up\",\"40\",\"1\",\"6\",\"9\",\"S\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"215379\",\"0.0-10.0\",\"\",\"\",\"3-5\",\"4111\",\"39\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"pa:pata\",\"Right\",\"37\",\"1\",\"7\",\"9\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"222397\",\"0.0-11.0\",\"\",\"\",\"3-5\",\"5511\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"ma:mana\",\"Right\",\"39\",\"1\",\"8\",\"9\",\"S\",\"J\",\"8\"
