\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"52366\",\"32\",\"text\",\"0\",\"52369\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"58199\",\"\",\"instructions\",\"1\",\"110571\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":58198}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"30080\",\"\",\"survey-multi-choice\",\"2\",\"140680\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Ne\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"151837\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"25\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"164517\",\"0.0-4.0\",\"\",\"\",\"1-2\",\"11173\",\"39\",\"0\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"ma:lana\",\"Left\",\"37\",\"1\",\"1\",\"7\",\"S\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"171505\",\"0.0-5.0\",\"\",\"\",\"1-2\",\"5478\",\"39\",\"0\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"ma:ma:na\",\"Right\",\"37\",\"1\",\"2\",\"7\",\"S\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"184010\",\"0.0-6.0\",\"\",\"\",\"1-2\",\"10996\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"mala:na\",\"Left\",\"37\",\"1\",\"3\",\"7\",\"S\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"194799\",\"0.0-7.0\",\"\",\"\",\"1-2\",\"9280\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"taka:ta\",\"Left\",\"39\",\"1\",\"4\",\"7\",\"P\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"201992\",\"0.0-8.0\",\"\",\"\",\"1-2\",\"5686\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"papa:ta\",\"Left\",\"39\",\"1\",\"5\",\"7\",\"P\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"211335\",\"0.0-9.0\",\"\",\"\",\"1-2\",\"7836\",\"40\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:lala\",\"Up\",\"38\",\"1\",\"6\",\"7\",\"S\",\"C\",\"6\"
