\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"75125\",\"32\",\"text\",\"0\",\"75126\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"80471\",\"\",\"instructions\",\"1\",\"155599\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":80470}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"59967\",\"\",\"survey-multi-choice\",\"2\",\"215585\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"225212\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"233509\",\"0.0-4.0\",\"\",\"\",\"3-3\",\"6792\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"zasa:za\",\"Down\",\"40\",\"1\",\"1\",\"6A\",\"C2\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"240146\",\"0.0-5.0\",\"\",\"\",\"3-3\",\"5132\",\"39\",\"0\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"sa:sa:za\",\"Left\",\"37\",\"1\",\"2\",\"6A\",\"C2\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"248015\",\"0.0-6.0\",\"\",\"\",\"3-3\",\"6363\",\"37\",\"1\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"vafa:va\",\"Right\",\"37\",\"1\",\"3\",\"6A\",\"C1\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"255516\",\"0.0-7.0\",\"\",\"\",\"3-3\",\"5997\",\"38\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"fa:sha:va\",\"Up\",\"40\",\"1\",\"4\",\"6A\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"263234\",\"0.0-8.0\",\"\",\"\",\"3-3\",\"6214\",\"40\",\"1\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"za:haza\",\"Down\",\"40\",\"1\",\"5\",\"6A\",\"C2\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"269570\",\"0.0-9.0\",\"\",\"\",\"3-3\",\"4831\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"va:shava\",\"Up\",\"40\",\"1\",\"6\",\"6A\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"275554\",\"0.0-10.0\",\"\",\"\",\"3-3\",\"4480\",\"39\",\"1\",\"Training\",\"Stims/Figures/100-J-10-3.bmp\",\"vafa:sha\",\"Left\",\"39\",\"1\",\"7\",\"6A\",\"C1\",\"J\",\"7\"
