\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"49898\",\"32\",\"text\",\"0\",\"49900\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"76695\",\"\",\"instructions\",\"1\",\"126595\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":76695}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"51740\",\"\",\"survey-multi-choice\",\"2\",\"178351\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"188450\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"203168\",\"0.0-4.0\",\"\",\"\",\"1-1\",\"13203\",\"39\",\"0\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"tapata\",\"Right\",\"37\",\"1\",\"1\",\"4\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"213960\",\"0.0-5.0\",\"\",\"\",\"1-1\",\"9287\",\"40\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"tapa:ka\",\"Down\",\"38\",\"1\",\"2\",\"4\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"222258\",\"0.0-6.0\",\"\",\"\",\"1-1\",\"6791\",\"38\",\"0\",\"Training\",\"Stims/Figures/111-J-10-3.bmp\",\"pa:ka:ta\",\"Up\",\"40\",\"1\",\"3\",\"4\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"228170\",\"0.0-7.0\",\"\",\"\",\"1-1\",\"4409\",\"38\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"pa:kaka\",\"Up\",\"40\",\"1\",\"4\",\"4\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"233939\",\"0.0-8.0\",\"\",\"\",\"1-1\",\"4263\",\"40\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"mamana\",\"Down\",\"40\",\"1\",\"5\",\"4\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"242930\",\"0.0-9.0\",\"\",\"\",\"1-1\",\"7491\",\"39\",\"0\",\"Training\",\"Stims/Figures/111-C-30-3.bmp\",\"mama:na\",\"Left\",\"37\",\"1\",\"6\",\"4\",\"S\",\"J\",\"6\"
