\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"43919\",\"32\",\"text\",\"0\",\"43923\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"87249\",\"\",\"instructions\",\"1\",\"131176\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":87248}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"78075\",\"\",\"survey-multi-choice\",\"2\",\"209290\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"223809\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"236929\",\"0.0-4.0\",\"\",\"\",\"2-1\",\"11615\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaha\",\"Left\",\"37\",\"1\",\"1\",\"9\",\"C2\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"244526\",\"0.0-5.0\",\"\",\"\",\"2-1\",\"6087\",\"39\",\"0\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"vafa:va\",\"Left\",\"37\",\"1\",\"2\",\"9\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"253423\",\"0.0-6.0\",\"\",\"\",\"2-1\",\"7387\",\"40\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"sa:sa:za\",\"Down\",\"38\",\"1\",\"3\",\"9\",\"C2\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"261063\",\"0.0-7.0\",\"\",\"\",\"2-1\",\"6131\",\"39\",\"0\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fa:sha:sha\",\"Right\",\"37\",\"1\",\"4\",\"9\",\"C1\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"271986\",\"0.0-8.0\",\"\",\"\",\"2-1\",\"9414\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"na:lana\",\"Left\",\"39\",\"1\",\"5\",\"9\",\"S\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"279764\",\"0.0-9.0\",\"\",\"\",\"2-1\",\"6270\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"fashasha\",\"Down\",\"40\",\"1\",\"6\",\"9\",\"C1\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"288552\",\"0.0-10.0\",\"\",\"\",\"2-1\",\"7279\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ta:pa:ta\",\"Right\",\"37\",\"1\",\"7\",\"9\",\"P\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"296348\",\"0.0-11.0\",\"\",\"\",\"2-1\",\"6286\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:la\",\"Right\",\"37\",\"1\",\"8\",\"9\",\"S\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"304585\",\"0.0-12.0\",\"\",\"\",\"2-1\",\"6725\",\"38\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ta:ka:ka\",\"Up\",\"38\",\"1\",\"9\",\"9\",\"P\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"313333\",\"0.0-13.0\",\"\",\"\",\"2-1\",\"7240\",\"38\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:ha:ha\",\"Up\",\"40\",\"1\",\"10\",\"9\",\"C2\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"320709\",\"0.0-14.0\",\"\",\"\",\"2-1\",\"5867\",\"38\",\"0\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"saha:ha\",\"Up\",\"40\",\"1\",\"11\",\"9\",\"C2\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"326880\",\"0.0-15.0\",\"\",\"\",\"2-1\",\"4661\",\"37\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"12\",\"9\",\"S\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"333958\",\"0.0-16.0\",\"\",\"\",\"2-1\",\"5570\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Up\",\"38\",\"1\",\"13\",\"9\",\"S\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"341224\",\"0.0-17.0\",\"\",\"\",\"2-1\",\"5759\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Right\",\"37\",\"1\",\"14\",\"9\",\"C2\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"347826\",\"0.0-18.0\",\"\",\"\",\"2-1\",\"5094\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ka\",\"Down\",\"40\",\"1\",\"15\",\"9\",\"P\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"354792\",\"0.0-19.0\",\"\",\"\",\"2-1\",\"5455\",\"38\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"mama:la\",\"Down\",\"40\",\"1\",\"16\",\"9\",\"S\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"362113\",\"0.0-20.0\",\"\",\"\",\"2-1\",\"5814\",\"40\",\"0\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"vafa:va\",\"Up\",\"38\",\"2\",\"1\",\"9\",\"C1\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"368077\",\"0.0-21.0\",\"\",\"\",\"2-1\",\"4456\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaha\",\"Left\",\"37\",\"2\",\"2\",\"9\",\"C2\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"373992\",\"0.0-22.0\",\"\",\"\",\"2-1\",\"4407\",\"38\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ta:ka:ka\",\"Up\",\"38\",\"2\",\"3\",\"9\",\"P\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"380112\",\"0.0-23.0\",\"\",\"\",\"2-1\",\"4613\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"sa:sa:za\",\"Left\",\"39\",\"2\",\"4\",\"9\",\"C2\",\"C\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"386882\",\"0.0-24.0\",\"\",\"\",\"2-1\",\"5261\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"mama:la\",\"Right\",\"39\",\"2\",\"5\",\"9\",\"S\",\"C\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"393677\",\"0.0-25.0\",\"\",\"\",\"2-1\",\"5286\",\"39\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"na:lana\",\"Right\",\"37\",\"2\",\"6\",\"9\",\"S\",\"C\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"400386\",\"0.0-26.0\",\"\",\"\",\"2-1\",\"5201\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:la\",\"Up\",\"40\",\"2\",\"7\",\"9\",\"S\",\"C\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"406261\",\"0.0-27.0\",\"\",\"\",\"2-1\",\"4366\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"2\",\"8\",\"9\",\"S\",\"C\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"412108\",\"0.0-28.0\",\"\",\"\",\"2-1\",\"4340\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:ha:ha\",\"Down\",\"38\",\"2\",\"9\",\"9\",\"C2\",\"C\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"418966\",\"0.0-29.0\",\"\",\"\",\"2-1\",\"5348\",\"37\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Left\",\"37\",\"2\",\"10\",\"9\",\"S\",\"C\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"425482\",\"0.0-30.0\",\"\",\"\",\"2-1\",\"5007\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fa:sha:sha\",\"Left\",\"39\",\"2\",\"11\",\"9\",\"C1\",\"C\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"431786\",\"0.0-31.0\",\"\",\"\",\"2-1\",\"4795\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ka\",\"Right\",\"39\",\"2\",\"12\",\"9\",\"P\",\"C\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"437734\",\"0.0-32.0\",\"\",\"\",\"2-1\",\"4439\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ta:pa:ta\",\"Up\",\"40\",\"2\",\"13\",\"9\",\"P\",\"C\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"444126\",\"0.0-33.0\",\"\",\"\",\"2-1\",\"4883\",\"39\",\"0\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"saha:ha\",\"Right\",\"37\",\"2\",\"14\",\"9\",\"C2\",\"C\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"451677\",\"0.0-34.0\",\"\",\"\",\"2-1\",\"6042\",\"40\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Down\",\"38\",\"2\",\"15\",\"9\",\"C2\",\"C\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"457362\",\"0.0-35.0\",\"\",\"\",\"2-1\",\"4175\",\"38\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"fashasha\",\"Down\",\"40\",\"2\",\"16\",\"9\",\"C1\",\"C\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"464061\",\"0.0-36.0\",\"\",\"\",\"2-1\",\"5191\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"fashasha\",\"Left\",\"37\",\"3\",\"1\",\"9\",\"C1\",\"C\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"470101\",\"0.0-37.0\",\"\",\"\",\"2-1\",\"4532\",\"37\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"sa:sa:za\",\"Right\",\"37\",\"3\",\"2\",\"9\",\"C2\",\"C\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"475899\",\"0.0-38.0\",\"\",\"\",\"2-1\",\"4287\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Left\",\"37\",\"3\",\"3\",\"9\",\"S\",\"C\",\"35\"
\"\",\"\",\"approach-retreat\",\"39\",\"481645\",\"0.0-39.0\",\"\",\"\",\"2-1\",\"4237\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:la\",\"Up\",\"40\",\"3\",\"4\",\"9\",\"S\",\"C\",\"36\"
\"\",\"\",\"approach-retreat\",\"40\",\"487280\",\"0.0-40.0\",\"\",\"\",\"2-1\",\"4127\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fa:sha:sha\",\"Left\",\"39\",\"3\",\"5\",\"9\",\"C1\",\"C\",\"37\"
\"\",\"\",\"approach-retreat\",\"41\",\"493018\",\"0.0-41.0\",\"\",\"\",\"2-1\",\"4228\",\"38\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:ha:ha\",\"Up\",\"40\",\"3\",\"6\",\"9\",\"C2\",\"C\",\"38\"
\"\",\"\",\"approach-retreat\",\"42\",\"499381\",\"0.0-42.0\",\"\",\"\",\"2-1\",\"4854\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Right\",\"37\",\"3\",\"7\",\"9\",\"C2\",\"C\",\"39\"
\"\",\"\",\"approach-retreat\",\"43\",\"505150\",\"0.0-43.0\",\"\",\"\",\"2-1\",\"4261\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"3\",\"8\",\"9\",\"S\",\"C\",\"40\"
\"\",\"\",\"approach-retreat\",\"44\",\"511019\",\"0.0-44.0\",\"\",\"\",\"2-1\",\"4360\",\"40\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"saha:ha\",\"Up\",\"40\",\"3\",\"9\",\"9\",\"C2\",\"C\",\"41\"
\"\",\"\",\"approach-retreat\",\"45\",\"517812\",\"0.0-45.0\",\"\",\"\",\"2-1\",\"5283\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ta:ka:ka\",\"Right\",\"39\",\"3\",\"10\",\"9\",\"P\",\"C\",\"42\"
\"\",\"\",\"approach-retreat\",\"46\",\"523927\",\"0.0-46.0\",\"\",\"\",\"2-1\",\"4607\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ta:pa:ta\",\"Right\",\"37\",\"3\",\"11\",\"9\",\"P\",\"C\",\"43\"
\"\",\"\",\"approach-retreat\",\"47\",\"529959\",\"0.0-47.0\",\"\",\"\",\"2-1\",\"4524\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ka\",\"Down\",\"40\",\"3\",\"12\",\"9\",\"P\",\"C\",\"44\"
\"\",\"\",\"approach-retreat\",\"48\",\"535698\",\"0.0-48.0\",\"\",\"\",\"2-1\",\"4231\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaha\",\"Left\",\"37\",\"3\",\"13\",\"9\",\"C2\",\"C\",\"45\"
\"\",\"\",\"approach-retreat\",\"49\",\"541558\",\"0.0-49.0\",\"\",\"\",\"2-1\",\"4353\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"vafa:va\",\"Up\",\"38\",\"3\",\"14\",\"9\",\"C1\",\"C\",\"46\"
\"\",\"\",\"approach-retreat\",\"50\",\"547380\",\"0.0-50.0\",\"\",\"\",\"2-1\",\"4314\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"mama:la\",\"Down\",\"40\",\"3\",\"15\",\"9\",\"S\",\"C\",\"47\"
\"\",\"\",\"approach-retreat\",\"51\",\"553180\",\"0.0-51.0\",\"\",\"\",\"2-1\",\"4292\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"na:lana\",\"Down\",\"38\",\"3\",\"16\",\"9\",\"S\",\"C\",\"48\"
\"\",\"\",\"approach-retreat\",\"52\",\"559054\",\"0.0-52.0\",\"\",\"\",\"2-1\",\"4366\",\"39\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"ta:pa:ta\",\"Right\",\"37\",\"4\",\"1\",\"9\",\"P\",\"C\",\"49\"
\"\",\"\",\"approach-retreat\",\"53\",\"565126\",\"0.0-53.0\",\"\",\"\",\"2-1\",\"4564\",\"39\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ta:ka:ka\",\"Right\",\"39\",\"4\",\"2\",\"9\",\"P\",\"C\",\"50\"
\"\",\"\",\"approach-retreat\",\"54\",\"571363\",\"0.0-54.0\",\"\",\"\",\"2-1\",\"4728\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"mama:la\",\"Down\",\"40\",\"4\",\"3\",\"9\",\"S\",\"C\",\"51\"
\"\",\"\",\"approach-retreat\",\"55\",\"576986\",\"0.0-55.0\",\"\",\"\",\"2-1\",\"4113\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"na:lana\",\"Left\",\"39\",\"4\",\"4\",\"9\",\"S\",\"C\",\"52\"
\"\",\"\",\"approach-retreat\",\"56\",\"582837\",\"0.0-56.0\",\"\",\"\",\"2-1\",\"4340\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ka\",\"Left\",\"37\",\"4\",\"5\",\"9\",\"P\",\"C\",\"53\"
\"\",\"\",\"approach-retreat\",\"57\",\"588517\",\"0.0-57.0\",\"\",\"\",\"2-1\",\"4171\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"fashasha\",\"Left\",\"37\",\"4\",\"6\",\"9\",\"C1\",\"C\",\"54\"
\"\",\"\",\"approach-retreat\",\"58\",\"594745\",\"0.0-58.0\",\"\",\"\",\"2-1\",\"4720\",\"37\",\"0\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fa:sha:sha\",\"Left\",\"39\",\"4\",\"7\",\"9\",\"C1\",\"C\",\"55\"
\"\",\"\",\"approach-retreat\",\"59\",\"600528\",\"0.0-59.0\",\"\",\"\",\"2-1\",\"4274\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"vafa:va\",\"Up\",\"38\",\"4\",\"8\",\"9\",\"C1\",\"C\",\"56\"
\"\",\"\",\"approach-retreat\",\"60\",\"606261\",\"0.0-60.0\",\"\",\"\",\"2-1\",\"4222\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:ha:ha\",\"Up\",\"40\",\"4\",\"9\",\"9\",\"C2\",\"C\",\"57\"
\"\",\"\",\"approach-retreat\",\"61\",\"612580\",\"0.0-61.0\",\"\",\"\",\"2-1\",\"4810\",\"37\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Right\",\"37\",\"4\",\"10\",\"9\",\"C2\",\"C\",\"58\"
\"\",\"\",\"approach-retreat\",\"62\",\"618596\",\"0.0-62.0\",\"\",\"\",\"2-1\",\"4509\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"sasaha\",\"Up\",\"38\",\"4\",\"11\",\"9\",\"C2\",\"C\",\"59\"
\"\",\"\",\"approach-retreat\",\"63\",\"624445\",\"0.0-63.0\",\"\",\"\",\"2-1\",\"4341\",\"38\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Down\",\"40\",\"4\",\"12\",\"9\",\"S\",\"C\",\"60\"
\"\",\"\",\"approach-retreat\",\"64\",\"630279\",\"0.0-64.0\",\"\",\"\",\"2-1\",\"4327\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"saha:ha\",\"Right\",\"37\",\"4\",\"13\",\"9\",\"C2\",\"C\",\"61\"
\"\",\"\",\"approach-retreat\",\"65\",\"636215\",\"0.0-65.0\",\"\",\"\",\"2-1\",\"4428\",\"38\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"sa:sa:za\",\"Down\",\"38\",\"4\",\"14\",\"9\",\"C2\",\"C\",\"62\"
\"\",\"\",\"approach-retreat\",\"66\",\"641931\",\"0.0-66.0\",\"\",\"\",\"2-1\",\"4206\",\"40\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:la\",\"Up\",\"40\",\"4\",\"15\",\"9\",\"S\",\"C\",\"63\"
\"\",\"\",\"approach-retreat\",\"67\",\"647784\",\"0.0-67.0\",\"\",\"\",\"2-1\",\"4345\",\"38\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:la:la\",\"Down\",\"40\",\"4\",\"16\",\"9\",\"S\",\"C\",\"64\"
\"\",\"\",\"approach-retreat\",\"68\",\"653494\",\"0.0-68.0\",\"\",\"\",\"2-1\",\"4202\",\"37\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"na:mana\",\"Right\",\"39\",\"5\",\"1\",\"9\",\"S\",\"C\",\"65\"
\"\",\"\",\"approach-retreat\",\"69\",\"659147\",\"0.0-69.0\",\"\",\"\",\"2-1\",\"4144\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"na:lana\",\"Left\",\"39\",\"5\",\"2\",\"9\",\"S\",\"C\",\"66\"
\"\",\"\",\"approach-retreat\",\"70\",\"664830\",\"0.0-70.0\",\"\",\"\",\"2-1\",\"4175\",\"38\",\"1\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"sa:sa:za\",\"Down\",\"38\",\"5\",\"3\",\"9\",\"C2\",\"C\",\"67\"
\"\",\"\",\"approach-retreat\",\"71\",\"670473\",\"0.0-71.0\",\"\",\"\",\"2-1\",\"4132\",\"39\",\"0\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"na:la:la\",\"Left\",\"37\",\"5\",\"4\",\"9\",\"S\",\"C\",\"68\"
\"\",\"\",\"approach-retreat\",\"72\",\"676601\",\"0.0-72.0\",\"\",\"\",\"2-1\",\"4619\",\"40\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"ta:ka:ka\",\"Down\",\"40\",\"5\",\"5\",\"9\",\"P\",\"C\",\"69\"
\"\",\"\",\"approach-retreat\",\"73\",\"682740\",\"0.0-73.0\",\"\",\"\",\"2-1\",\"4632\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"vafa:va\",\"Left\",\"37\",\"5\",\"6\",\"9\",\"C1\",\"C\",\"70\"
\"\",\"\",\"approach-retreat\",\"74\",\"689270\",\"0.0-74.0\",\"\",\"\",\"2-1\",\"5021\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"za:saza\",\"Up\",\"40\",\"5\",\"7\",\"9\",\"C2\",\"C\",\"71\"
\"\",\"\",\"approach-retreat\",\"75\",\"695501\",\"0.0-75.0\",\"\",\"\",\"2-1\",\"4722\",\"40\",\"0\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"saha:ha\",\"Down\",\"38\",\"5\",\"8\",\"9\",\"C2\",\"C\",\"72\"
\"\",\"\",\"approach-retreat\",\"76\",\"701205\",\"0.0-76.0\",\"\",\"\",\"2-1\",\"4196\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fa:sha:sha\",\"Left\",\"39\",\"5\",\"9\",\"9\",\"C1\",\"C\",\"73\"
\"\",\"\",\"approach-retreat\",\"77\",\"706980\",\"0.0-77.0\",\"\",\"\",\"2-1\",\"4266\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"pa:pa:ka\",\"Up\",\"38\",\"5\",\"10\",\"9\",\"P\",\"C\",\"74\"
