"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"3893","32","text","0","3898","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"13814","","instructions","1","17716","0.0-1.0","[{""page_index"":0,""viewing_time"":13813}]","","","","","","","","","","","","","","","",""
"12076","","survey-multi-choice","2","29843","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","35738","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","45678","0.0-4.0","","","1-5","8398","38","1","Training","Stims/Figures/87-J-10-4.bmp","sahaza","Up","38","1","1","6B","C2","C","1"
"","","approach-retreat","5","54251","0.0-5.0","","","1-5","7063","39","1","Training","Stims/Figures/94-J-0-2.bmp","za:saha","Right","39","1","2","6B","C2","C","2"
"","","approach-retreat","6","60401","0.0-6.0","","","1-5","4638","39","1","Training","Stims/Figures/57-C-30-1.bmp","fa:fava","Left","39","1","3","6B","C1","C","3"
"","","approach-retreat","7","67103","0.0-7.0","","","1-5","5190","38","1","Training","Stims/Figures/87-C-20-4.bmp","vafasha","Down","38","1","4","6B","C1","C","4"
"","","approach-retreat","8","74948","0.0-8.0","","","1-5","6333","38","1","Training","Stims/Figures/111-J-10-3.bmp","za:sa:ha","Up","38","1","5","6B","C2","C","5"
"","","approach-retreat","9","81497","0.0-9.0","","","1-5","5029","39","1","Training","Stims/Figures/86-J-0-1.bmp","saha:za","Right","39","1","6","6B","C2","C","6"
"","","approach-retreat","10","87605","0.0-10.0","","","1-5","4591","38","1","Training","Stims/Figures/94-C-20-2.bmp","va:shasha","Down","38","1","7","6B","C1","C","7"
"","","approach-retreat","11","93461","0.0-11.0","","","1-5","4343","39","1","Training","Stims/Figures/84-C-20-2.bmp","vafa:va","Left","39","1","8","6B","C1","C","8"
"","","approach-retreat","12","99245","0.0-12.0","","","1-5","4269","39","1","Training","Stims/Figures/128-C-30-3.bmp","va:fa:va","Left","39","1","9","6B","C1","C","9"
"","","approach-retreat","13","105126","0.0-13.0","","","1-5","4345","40","1","Training","Stims/Figures/111-C-30-3.bmp","fa:sha:sha","Up","40","1","10","6B","C1","C","10"
"","","approach-retreat","14","110920","0.0-14.0","","","1-5","4284","39","1","Training","Stims/Figures/128-J-10-3.bmp","zasa:za","Right","39","1","11","6B","C2","C","11"
"","","approach-retreat","15","117073","0.0-15.0","","","1-5","4640","39","1","Training","Stims/Figures/57-J-0-1.bmp","zasaza","Right","39","1","12","6B","C2","C","12"
"","","approach-retreat","16","123194","0.0-16.0","","","1-5","4609","38","1","Training","Stims/Figures/86-C-30-1.bmp","vafa:sha","Down","38","1","13","6B","C1","C","13"
"","","approach-retreat","17","130346","0.0-17.0","","","1-5","5636","38","1","Training","Stims/Figures/19-C-20-4.bmp","va:sha:sha","Down","38","1","14","6B","C1","C","14"
"","","approach-retreat","18","136324","0.0-18.0","","","1-5","4435","38","1","Training","Stims/Figures/84-J-0-2.bmp","zaha:za","Up","38","1","15","6B","C2","C","15"
"","","approach-retreat","19","142637","0.0-19.0","","","1-5","4751","37","1","Training","Stims/Figures/19-J-10-4.bmp","sasaza","Left","37","1","16","6B","C2","C","16"
"","","approach-retreat","20","148297","0.0-20.0","","","1-5","4148","39","1","Training","Stims/Figures/86-J-0-1.bmp","saha:za","Right","39","2","1","6B","C2","C","17"
