"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"45828","32","text","0","45833","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"80969","","instructions","1","126807","0.0-1.0","[{""page_index"":0,""viewing_time"":80968}]","","","","","","","","","","","","","","","",""
"61243","","survey-multi-choice","2","188107","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","201788","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","212715","0.0-4.0","","","1-4","9408","38","0","Training","Stims/Figures/74-J-10-4.bmp","namala","Up","40","1","1","2","S","J","1"
"","","approach-retreat","5","221522","0.0-5.0","","","1-4","7294","37","1","Training","Stims/Figures/85-C-20-2.bmp","papata","Left","37","1","2","2","P","J","2"
"","","approach-retreat","6","227897","0.0-6.0","","","1-4","4862","37","0","Training","Stims/Figures/93-C-30-1.bmp","papata","Right","39","1","3","2","P","J","3"
"","","approach-retreat","7","234568","0.0-7.0","","","1-4","5158","38","0","Training","Stims/Figures/7-J-10-4.bmp","namala","Up","40","1","4","2","S","J","4"
"","","approach-retreat","8","241140","0.0-8.0","","","1-4","5061","39","1","Training","Stims/Figures/86-J-0-1.bmp","namala","Left","39","1","5","2","S","J","5"
"","","approach-retreat","9","247720","0.0-9.0","","","1-4","5068","39","1","Training","Stims/Figures/139-C-20-2.bmp","papata","Right","39","1","6","2","P","J","6"
"","","approach-retreat","10","254760","0.0-10.0","","","1-4","5527","38","1","Training","Stims/Figures/100-J-10-3.bmp","namala","Down","38","1","7","2","S","J","7"
"","","approach-retreat","11","261596","0.0-11.0","","","1-4","5325","38","1","Training","Stims/Figures/93-J-0-1.bmp","namala","Down","38","1","8","2","S","J","8"
"","","approach-retreat","12","268217","0.0-12.0","","","1-4","5107","39","1","Training","Stims/Figures/111-C-30-3.bmp","papata","Right","39","1","9","2","P","J","9"
"","","approach-retreat","13","274527","0.0-13.0","","","1-4","4798","37","1","Training","Stims/Figures/86-C-30-1.bmp","papata","Left","37","1","10","2","P","J","10"
"","","approach-retreat","14","281949","0.0-14.0","","","1-4","5911","38","1","Training","Stims/Figures/111-J-10-3.bmp","namala","Down","38","1","11","2","S","J","11"
"","","approach-retreat","15","288318","0.0-15.0","","","1-4","4858","37","1","Training","Stims/Figures/7-C-20-4.bmp","papata","Left","37","1","12","2","P","J","12"
"","","approach-retreat","16","294936","0.0-16.0","","","1-4","5104","38","1","Training","Stims/Figures/100-C-30-3.bmp","papata","Up","38","1","13","2","P","J","13"
