"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"58152","32","text","0","58155","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"191184","","instructions","1","249339","0.0-1.0","[{""page_index"":0,""viewing_time"":191183}]","","","","","","","","","","","","","","","",""
"148246","","survey-multi-choice","2","397605","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","410314","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","472200","0.0-4.0","","","2-5","60380","38","0","Training","Stims/Figures/139-C-20-2.bmp","None","Up","40","1","1","10","N","C","1"
"","","approach-retreat","5","482632","0.0-5.0","","","2-5","8926","40","0","Training","Stims/Figures/111-C-30-3.bmp","None","Down","38","1","2","10","N","C","2"
"","","approach-retreat","6","502398","0.0-6.0","","","2-5","18262","37","1","Training","Stims/Figures/84-J-0-2.bmp","None","Left","37","1","3","10","N","C","3"
"","","approach-retreat","7","509702","0.0-7.0","","","2-5","5799","40","1","Training","Stims/Figures/102-J-10-4.bmp","None","Down","40","1","4","10","N","C","4"
"","","approach-retreat","8","518615","0.0-8.0","","","2-5","7408","39","0","Training","Stims/Figures/102-C-20-4.bmp","None","Right","37","1","5","10","N","C","5"
"","","approach-retreat","9","545096","0.0-9.0","","","2-5","24974","39","0","Training","Stims/Figures/71-C-30-1.bmp","None","Right","37","1","6","10","N","C","6"
"","","approach-retreat","10","552639","0.0-10.0","","","2-5","6038","39","1","Training","Stims/Figures/7-J-10-4.bmp","None","Right","39","1","7","10","N","C","7"
"","","approach-retreat","11","559352","0.0-11.0","","","2-5","5207","38","0","Training","Stims/Figures/7-C-20-4.bmp","None","Up","40","1","8","10","N","C","8"
"","","approach-retreat","12","566703","0.0-12.0","","","2-5","5846","37","1","Training","Stims/Figures/111-J-10-3.bmp","None","Left","37","1","9","10","N","C","9"
"","","approach-retreat","13","590623","0.0-13.0","","","2-5","22415","38","0","Training","Stims/Figures/144-C-30-3.bmp","None","Up","40","1","10","10","N","C","10"
"","","approach-retreat","14","597559","0.0-14.0","","","2-5","5429","37","0","Training","Stims/Figures/86-C-30-1.bmp","None","Left","39","1","11","10","N","C","11"
"","","approach-retreat","15","607919","0.0-15.0","","","2-5","8855","39","0","Training","Stims/Figures/71-J-0-1.bmp","None","Left","37","1","12","10","N","C","12"
"","","approach-retreat","16","620727","0.0-16.0","","","2-5","11302","40","1","Training","Stims/Figures/144-J-10-3.bmp","None","Down","40","1","13","10","N","C","13"
"","","approach-retreat","17","631352","0.0-17.0","","","2-5","9116","38","1","Training","Stims/Figures/139-J-0-2.bmp","None","Up","38","1","14","10","N","C","14"
"","","approach-retreat","18","639734","0.0-18.0","","","2-5","6879","39","1","Training","Stims/Figures/86-J-0-1.bmp","None","Right","39","1","15","10","N","C","15"
"","","approach-retreat","19","648487","0.0-19.0","","","2-5","7247","40","0","Training","Stims/Figures/84-C-20-2.bmp","None","Down","38","1","16","10","N","C","16"
