\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"29764\",\"32\",\"text\",\"0\",\"29765\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"135113\",\"\",\"instructions\",\"1\",\"164878\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":135113}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"16522\",\"\",\"survey-multi-choice\",\"2\",\"181413\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"192370\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"212769\",\"0.0-4.0\",\"\",\"\",\"3-1\",\"18893\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"fafava\",\"Up\",\"38\",\"1\",\"1\",\"6B\",\"C1\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"222146\",\"0.0-5.0\",\"\",\"\",\"3-1\",\"7874\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"fafasha\",\"Left\",\"37\",\"1\",\"2\",\"6B\",\"C1\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"230526\",\"0.0-6.0\",\"\",\"\",\"3-1\",\"6876\",\"38\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"fasha:sha\",\"Up\",\"38\",\"1\",\"3\",\"6B\",\"C1\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"236938\",\"0.0-7.0\",\"\",\"\",\"3-1\",\"4906\",\"39\",\"0\",\"Training\",\"Stims/Figures/102-J-10-4.bmp\",\"zahaza\",\"Right\",\"37\",\"1\",\"4\",\"6B\",\"C2\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"243108\",\"0.0-8.0\",\"\",\"\",\"3-1\",\"4664\",\"40\",\"0\",\"Training\",\"Stims/Figures/84-J-0-2.bmp\",\"sasaza\",\"Down\",\"38\",\"1\",\"5\",\"6B\",\"C2\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"252369\",\"0.0-9.0\",\"\",\"\",\"3-1\",\"7756\",\"38\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"va:shasha\",\"Down\",\"40\",\"1\",\"6\",\"6B\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"257975\",\"0.0-10.0\",\"\",\"\",\"3-1\",\"4102\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"za:haha\",\"Right\",\"37\",\"1\",\"7\",\"6B\",\"C2\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"266229\",\"0.0-11.0\",\"\",\"\",\"3-1\",\"6750\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"za:sa:ha\",\"Down\",\"38\",\"1\",\"8\",\"6B\",\"C2\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"271682\",\"0.0-12.0\",\"\",\"\",\"3-1\",\"3950\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"zasa:ha\",\"Down\",\"38\",\"1\",\"9\",\"6B\",\"C2\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"277049\",\"0.0-13.0\",\"\",\"\",\"3-1\",\"3863\",\"39\",\"0\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"va:fasha\",\"Left\",\"37\",\"1\",\"10\",\"6B\",\"C1\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"287253\",\"0.0-14.0\",\"\",\"\",\"3-1\",\"8698\",\"40\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"va:fa:sha\",\"Up\",\"38\",\"1\",\"11\",\"6B\",\"C1\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"293051\",\"0.0-15.0\",\"\",\"\",\"3-1\",\"4295\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"va:sha:va\",\"Right\",\"39\",\"1\",\"12\",\"6B\",\"C1\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"298554\",\"0.0-16.0\",\"\",\"\",\"3-1\",\"3998\",\"37\",\"0\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"sasa:ha\",\"Left\",\"39\",\"1\",\"13\",\"6B\",\"C2\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"304219\",\"0.0-17.0\",\"\",\"\",\"3-1\",\"4158\",\"40\",\"0\",\"Training\",\"Stims/Figures/102-C-20-4.bmp\",\"vafava\",\"Up\",\"38\",\"1\",\"14\",\"6B\",\"C1\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"310149\",\"0.0-18.0\",\"\",\"\",\"3-1\",\"4425\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"sa:saha\",\"Right\",\"37\",\"1\",\"15\",\"6B\",\"C2\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"315923\",\"0.0-19.0\",\"\",\"\",\"3-1\",\"4267\",\"37\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"sa:ha:ha\",\"Left\",\"39\",\"1\",\"16\",\"6B\",\"C2\",\"J\",\"16\"
