\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"38126\",\"32\",\"text\",\"0\",\"38131\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"99916\",\"\",\"instructions\",\"1\",\"138050\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":99916}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"31568\",\"\",\"survey-multi-choice\",\"2\",\"169638\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"177364\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"188074\",\"0.0-4.0\",\"\",\"\",\"3-1\",\"9203\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"sa:saza\",\"Up\",\"38\",\"1\",\"1\",\"3B\",\"C2\",\"C\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"197564\",\"0.0-5.0\",\"\",\"\",\"3-1\",\"7977\",\"38\",\"1\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"va:shasha\",\"Down\",\"38\",\"1\",\"2\",\"3B\",\"C1\",\"C\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"204133\",\"0.0-6.0\",\"\",\"\",\"3-1\",\"5057\",\"38\",\"1\",\"Training\",\"Stims/Figures/71-C-30-1.bmp\",\"va:shasha\",\"Down\",\"38\",\"1\",\"3\",\"3B\",\"C1\",\"C\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"210942\",\"0.0-7.0\",\"\",\"\",\"3-1\",\"5296\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"va:shasha\",\"Right\",\"37\",\"1\",\"4\",\"3B\",\"C1\",\"C\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"217311\",\"0.0-8.0\",\"\",\"\",\"3-1\",\"4858\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"sa:saza\",\"Down\",\"40\",\"1\",\"5\",\"3B\",\"C2\",\"C\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"224591\",\"0.0-9.0\",\"\",\"\",\"3-1\",\"5768\",\"38\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"sa:saza\",\"Up\",\"38\",\"1\",\"6\",\"3B\",\"C2\",\"C\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"230993\",\"0.0-10.0\",\"\",\"\",\"3-1\",\"4890\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"sa:saza\",\"Left\",\"37\",\"1\",\"7\",\"3B\",\"C2\",\"C\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"238552\",\"0.0-11.0\",\"\",\"\",\"3-1\",\"6047\",\"40\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"va:shasha\",\"Up\",\"40\",\"1\",\"8\",\"3B\",\"C1\",\"C\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"246584\",\"0.0-12.0\",\"\",\"\",\"3-1\",\"6518\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"va:shasha\",\"Down\",\"38\",\"1\",\"9\",\"3B\",\"C1\",\"C\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"254497\",\"0.0-13.0\",\"\",\"\",\"3-1\",\"6406\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"sa:saza\",\"Left\",\"37\",\"1\",\"10\",\"3B\",\"C2\",\"C\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"260602\",\"0.0-14.0\",\"\",\"\",\"3-1\",\"4600\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"va:shasha\",\"Right\",\"37\",\"1\",\"11\",\"3B\",\"C1\",\"C\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"267621\",\"0.0-15.0\",\"\",\"\",\"3-1\",\"5509\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"sa:saza\",\"Left\",\"37\",\"1\",\"12\",\"3B\",\"C2\",\"C\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"275292\",\"0.0-16.0\",\"\",\"\",\"3-1\",\"6159\",\"39\",\"1\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"sa:saza\",\"Right\",\"39\",\"1\",\"13\",\"3B\",\"C2\",\"C\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"282928\",\"0.0-17.0\",\"\",\"\",\"3-1\",\"6124\",\"37\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"va:shasha\",\"Right\",\"37\",\"1\",\"14\",\"3B\",\"C1\",\"C\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"288732\",\"0.0-18.0\",\"\",\"\",\"3-1\",\"4293\",\"39\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"va:shasha\",\"Left\",\"39\",\"1\",\"15\",\"3B\",\"C1\",\"C\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"294963\",\"0.0-19.0\",\"\",\"\",\"3-1\",\"4719\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"sa:saza\",\"Up\",\"38\",\"1\",\"16\",\"3B\",\"C2\",\"C\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"302046\",\"0.0-20.0\",\"\",\"\",\"3-1\",\"5572\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"va:shasha\",\"Left\",\"39\",\"2\",\"1\",\"3B\",\"C1\",\"C\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"310363\",\"0.0-21.0\",\"\",\"\",\"3-1\",\"6805\",\"38\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"va:shasha\",\"Down\",\"38\",\"2\",\"2\",\"3B\",\"C1\",\"C\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"316895\",\"0.0-22.0\",\"\",\"\",\"3-1\",\"5020\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"sa:saza\",\"Up\",\"38\",\"2\",\"3\",\"3B\",\"C2\",\"C\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"323089\",\"0.0-23.0\",\"\",\"\",\"3-1\",\"4683\",\"39\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"va:shasha\",\"Left\",\"39\",\"2\",\"4\",\"3B\",\"C1\",\"C\",\"20\"
