\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"231065\",\"32\",\"text\",\"0\",\"231092\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"139110\",\"\",\"instructions\",\"1\",\"370219\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":139104}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"24473\",\"\",\"survey-multi-choice\",\"2\",\"394878\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"404947\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"417178\",\"0.0-4.0\",\"\",\"\",\"1-2\",\"10686\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"nalana\",\"Down\",\"40\",\"1\",\"1\",\"4\",\"S\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"426437\",\"0.0-5.0\",\"\",\"\",\"1-2\",\"7734\",\"38\",\"0\",\"Training\",\"Stims/Figures/71-J-0-1.bmp\",\"tapa:ka\",\"Up\",\"40\",\"1\",\"2\",\"4\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"434295\",\"0.0-6.0\",\"\",\"\",\"1-2\",\"6255\",\"38\",\"1\",\"Training\",\"Stims/Figures/87-J-10-4.bmp\",\"tapaka\",\"Down\",\"38\",\"1\",\"3\",\"4\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"443442\",\"0.0-7.0\",\"\",\"\",\"1-2\",\"7630\",\"40\",\"0\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"pa:kaka\",\"Down\",\"38\",\"1\",\"4\",\"4\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"450682\",\"0.0-8.0\",\"\",\"\",\"1-2\",\"5719\",\"39\",\"0\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"na:la:la\",\"Left\",\"37\",\"1\",\"5\",\"4\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"457785\",\"0.0-9.0\",\"\",\"\",\"1-2\",\"5565\",\"39\",\"1\",\"Training\",\"Stims/Figures/84-C-20-2.bmp\",\"mamana\",\"Right\",\"39\",\"1\",\"6\",\"4\",\"S\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"467634\",\"0.0-10.0\",\"\",\"\",\"1-2\",\"8305\",\"37\",\"0\",\"Training\",\"Stims/Figures/87-C-20-4.bmp\",\"nala:na\",\"Right\",\"39\",\"1\",\"7\",\"4\",\"S\",\"J\",\"7\"
