"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"80205","32","text","0","80211","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"3884","","instructions","1","84100","0.0-1.0","[{""page_index"":0,""viewing_time"":3879}]","","","","","","","","","","","","","","","",""
"90651","","survey-multi-choice","2","174805","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","188244","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","228708","0.0-4.0","","","2-4","38384","40","0","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Down","38","1","1","1","P","J","1"
"","","approach-retreat","5","240127","0.0-5.0","","","2-4","9896","39","0","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Right","37","1","2","1","P","J","2"
"","","approach-retreat","6","256347","0.0-6.0","","","2-4","14694","37","1","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Left","37","1","3","1","S","J","3"
"","","approach-retreat","7","268147","0.0-7.0","","","2-4","10271","39","1","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Left","39","1","4","1","P","J","4"
"","","approach-retreat","8","282288","0.0-8.0","","","2-4","12617","38","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Up","38","1","5","1","S","J","5"
"","","approach-retreat","9","294417","0.0-9.0","","","2-4","10599","39","1","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Left","39","1","6","1","P","J","6"
"","","approach-retreat","10","305067","0.0-10.0","","","2-4","9133","37","1","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Right","37","1","7","1","P","J","7"
"","","approach-retreat","11","316547","0.0-11.0","","","2-4","9967","38","1","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Up","38","1","8","1","S","J","8"
"","","approach-retreat","12","333157","0.0-12.0","","","2-4","15095","38","0","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Up","40","1","9","1","P","J","9"
"","","approach-retreat","13","343997","0.0-13.0","","","2-4","9325","37","1","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Right","37","1","10","1","P","J","10"
"","","approach-retreat","14","352908","0.0-14.0","","","2-4","7387","40","1","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Down","40","1","11","1","S","J","11"
"","","approach-retreat","15","361507","0.0-15.0","","","2-4","7075","40","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Down","40","1","12","1","S","J","12"
"","","approach-retreat","16","368058","0.0-16.0","","","2-4","5032","40","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Down","40","1","13","1","S","J","13"
"","","approach-retreat","17","375216","0.0-17.0","","","2-4","5641","37","1","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Left","37","1","14","1","S","J","14"
"","","approach-retreat","18","382997","0.0-18.0","","","2-4","6255","39","1","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Right","39","1","15","1","S","J","15"
"","","approach-retreat","19","390317","0.0-19.0","","","2-4","5804","40","1","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Up","40","1","16","1","P","J","16"
"","","approach-retreat","20","405097","0.0-20.0","","","2-4","13273","40","0","Training","Stims/Figures/87-J-10-4.bmp","ta:ka:ta","Down","38","2","1","1","P","J","17"
"","","approach-retreat","21","411347","0.0-21.0","","","2-4","4736","39","1","Training","Stims/Figures/84-J-0-2.bmp","ta:ka:ta","Left","39","2","2","1","P","J","18"
"","","approach-retreat","22","421407","0.0-22.0","","","2-4","8535","39","0","Training","Stims/Figures/57-J-0-1.bmp","ta:ka:ta","Right","37","2","3","1","P","J","19"
"","","approach-retreat","23","429968","0.0-23.0","","","2-4","7044","37","1","Training","Stims/Figures/84-C-20-2.bmp","nala:na","Left","37","2","4","1","S","J","20"
"","","approach-retreat","24","437209","0.0-24.0","","","2-4","5726","39","1","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Right","39","2","5","1","S","J","21"
"","","approach-retreat","25","444487","0.0-25.0","","","2-4","5758","37","1","Training","Stims/Figures/87-C-20-4.bmp","nala:na","Left","37","2","6","1","S","J","22"
"","","approach-retreat","26","460567","0.0-26.0","","","2-4","14560","38","1","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Up","38","2","7","1","S","J","23"
"","","approach-retreat","27","468828","0.0-27.0","","","2-4","6744","38","1","Training","Stims/Figures/128-C-30-3.bmp","nala:na","Up","38","2","8","1","S","J","24"
"","","approach-retreat","28","478478","0.0-28.0","","","2-4","8133","37","1","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Left","37","2","9","1","S","J","25"
"","","approach-retreat","29","488868","0.0-29.0","","","2-4","8867","37","1","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Right","37","2","10","1","P","J","26"
"","","approach-retreat","30","497048","0.0-30.0","","","2-4","6657","40","0","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Down","38","2","11","1","P","J","27"
"","","approach-retreat","31","503317","0.0-31.0","","","2-4","4750","38","1","Training","Stims/Figures/102-C-20-4.bmp","nala:na","Up","38","2","12","1","S","J","28"
"","","approach-retreat","32","509577","0.0-32.0","","","2-4","4749","40","1","Training","Stims/Figures/44-J-10-3.bmp","ta:ka:ta","Up","40","2","13","1","P","J","29"
"","","approach-retreat","33","516478","0.0-33.0","","","2-4","5396","37","1","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Right","37","2","14","1","P","J","30"
"","","approach-retreat","34","526878","0.0-34.0","","","2-4","8886","40","0","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Down","38","2","15","1","P","J","31"
"","","approach-retreat","35","537518","0.0-35.0","","","2-4","9117","38","0","Training","Stims/Figures/93-C-30-1.bmp","nala:na","Down","40","2","16","1","S","J","32"
"","","approach-retreat","36","544027","0.0-36.0","","","2-4","4985","39","1","Training","Stims/Figures/57-C-30-1.bmp","nala:na","Right","39","3","1","1","S","J","33"
"","","approach-retreat","37","550358","0.0-37.0","","","2-4","4805","38","0","Training","Stims/Figures/102-J-10-4.bmp","ta:ka:ta","Up","40","3","2","1","P","J","34"
"","","approach-retreat","38","558728","0.0-38.0","","","2-4","6849","40","1","Training","Stims/Figures/139-C-20-2.bmp","nala:na","Down","40","3","3","1","S","J","35"
"","","approach-retreat","39","564828","0.0-39.0","","","2-4","4578","37","1","Training","Stims/Figures/44-C-30-3.bmp","nala:na","Left","37","3","4","1","S","J","36"
"","","approach-retreat","40","574598","0.0-40.0","","","2-4","8262","40","0","Training","Stims/Figures/128-J-10-3.bmp","ta:ka:ta","Down","38","3","5","1","P","J","37"
"","","approach-retreat","41","580968","0.0-41.0","","","2-4","4861","38","1","Training","Stims/Figures/93-J-0-1.bmp","ta:ka:ta","Down","38","3","6","1","P","J","38"
"","","approach-retreat","42","589518","0.0-42.0","","","2-4","7036","37","0","Training","Stims/Figures/139-J-0-2.bmp","ta:ka:ta","Left","39","3","7","1","P","J","39"
