\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"83414\",\"32\",\"text\",\"0\",\"83416\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"102197\",\"\",\"instructions\",\"1\",\"185614\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":102196}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"48268\",\"\",\"survey-multi-choice\",\"2\",\"233907\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"245327\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"m\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"257181\",\"0.0-4.0\",\"\",\"\",\"2-3\",\"10346\",\"40\",\"0\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"mala:na\",\"Up\",\"38\",\"1\",\"1\",\"1\",\"S\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"273222\",\"0.0-5.0\",\"\",\"\",\"2-3\",\"14536\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"tapa:ka\",\"Down\",\"38\",\"1\",\"2\",\"1\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"279303\",\"0.0-6.0\",\"\",\"\",\"2-3\",\"4576\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"tapa:ka\",\"Up\",\"40\",\"1\",\"3\",\"1\",\"P\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"285144\",\"0.0-7.0\",\"\",\"\",\"2-3\",\"4335\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mala:na\",\"Right\",\"39\",\"1\",\"4\",\"1\",\"S\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"290951\",\"0.0-8.0\",\"\",\"\",\"2-3\",\"4303\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mala:na\",\"Left\",\"37\",\"1\",\"5\",\"1\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"296546\",\"0.0-9.0\",\"\",\"\",\"2-3\",\"4088\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapa:ka\",\"Left\",\"39\",\"1\",\"6\",\"1\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"302167\",\"0.0-10.0\",\"\",\"\",\"2-3\",\"4115\",\"38\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"tapa:ka\",\"Down\",\"38\",\"1\",\"7\",\"1\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"307791\",\"0.0-11.0\",\"\",\"\",\"2-3\",\"4120\",\"37\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"mala:na\",\"Left\",\"37\",\"1\",\"8\",\"1\",\"S\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"313305\",\"0.0-12.0\",\"\",\"\",\"2-3\",\"4008\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"mala:na\",\"Down\",\"40\",\"1\",\"9\",\"1\",\"S\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"318766\",\"0.0-13.0\",\"\",\"\",\"2-3\",\"3956\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"mala:na\",\"Right\",\"39\",\"1\",\"10\",\"1\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"324268\",\"0.0-14.0\",\"\",\"\",\"2-3\",\"3997\",\"39\",\"0\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapa:ka\",\"Right\",\"37\",\"1\",\"11\",\"1\",\"P\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"329880\",\"0.0-15.0\",\"\",\"\",\"2-3\",\"4107\",\"40\",\"0\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"tapa:ka\",\"Down\",\"38\",\"1\",\"12\",\"1\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"335468\",\"0.0-16.0\",\"\",\"\",\"2-3\",\"4082\",\"37\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"tapa:ka\",\"Right\",\"37\",\"1\",\"13\",\"1\",\"P\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"341094\",\"0.0-17.0\",\"\",\"\",\"2-3\",\"4121\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"mala:na\",\"Up\",\"38\",\"1\",\"14\",\"1\",\"S\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"346665\",\"0.0-18.0\",\"\",\"\",\"2-3\",\"4067\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"tapa:ka\",\"Left\",\"39\",\"1\",\"15\",\"1\",\"P\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"352142\",\"0.0-19.0\",\"\",\"\",\"2-3\",\"3971\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"mala:na\",\"Up\",\"38\",\"1\",\"16\",\"1\",\"S\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"358802\",\"0.0-20.0\",\"\",\"\",\"2-3\",\"5156\",\"37\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mala:na\",\"Right\",\"39\",\"2\",\"1\",\"1\",\"S\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"365597\",\"0.0-21.0\",\"\",\"\",\"2-3\",\"5290\",\"37\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"tapa:ka\",\"Left\",\"39\",\"2\",\"2\",\"1\",\"P\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"371827\",\"0.0-22.0\",\"\",\"\",\"2-3\",\"4725\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"tapa:ka\",\"Up\",\"40\",\"2\",\"3\",\"1\",\"P\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"377491\",\"0.0-23.0\",\"\",\"\",\"2-3\",\"4157\",\"38\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapa:ka\",\"Down\",\"38\",\"2\",\"4\",\"1\",\"P\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"382993\",\"0.0-24.0\",\"\",\"\",\"2-3\",\"3997\",\"38\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"tapa:ka\",\"Down\",\"38\",\"2\",\"5\",\"1\",\"P\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"388699\",\"0.0-25.0\",\"\",\"\",\"2-3\",\"4202\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"tapa:ka\",\"Left\",\"39\",\"2\",\"6\",\"1\",\"P\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"394648\",\"0.0-26.0\",\"\",\"\",\"2-3\",\"4443\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"mala:na\",\"Up\",\"38\",\"2\",\"7\",\"1\",\"S\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"400145\",\"0.0-27.0\",\"\",\"\",\"2-3\",\"3992\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"mala:na\",\"Right\",\"39\",\"2\",\"8\",\"1\",\"S\",\"J\",\"24\"
\"\",\"\",\"approach-retreat\",\"28\",\"405554\",\"0.0-28.0\",\"\",\"\",\"2-3\",\"3905\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapa:ka\",\"Left\",\"39\",\"2\",\"9\",\"1\",\"P\",\"J\",\"25\"
\"\",\"\",\"approach-retreat\",\"29\",\"412086\",\"0.0-29.0\",\"\",\"\",\"2-3\",\"5026\",\"38\",\"0\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mala:na\",\"Down\",\"40\",\"2\",\"10\",\"1\",\"S\",\"J\",\"26\"
\"\",\"\",\"approach-retreat\",\"30\",\"417465\",\"0.0-30.0\",\"\",\"\",\"2-3\",\"3876\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"mala:na\",\"Right\",\"39\",\"2\",\"11\",\"1\",\"S\",\"J\",\"27\"
\"\",\"\",\"approach-retreat\",\"31\",\"422951\",\"0.0-31.0\",\"\",\"\",\"2-3\",\"3982\",\"38\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"mala:na\",\"Up\",\"38\",\"2\",\"12\",\"1\",\"S\",\"J\",\"28\"
\"\",\"\",\"approach-retreat\",\"32\",\"428478\",\"0.0-32.0\",\"\",\"\",\"2-3\",\"4023\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"tapa:ka\",\"Left\",\"39\",\"2\",\"13\",\"1\",\"P\",\"J\",\"29\"
\"\",\"\",\"approach-retreat\",\"33\",\"434035\",\"0.0-33.0\",\"\",\"\",\"2-3\",\"4053\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"tapa:ka\",\"Up\",\"40\",\"2\",\"14\",\"1\",\"P\",\"J\",\"30\"
\"\",\"\",\"approach-retreat\",\"34\",\"439637\",\"0.0-34.0\",\"\",\"\",\"2-3\",\"4096\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"mala:na\",\"Down\",\"40\",\"2\",\"15\",\"1\",\"S\",\"J\",\"31\"
\"\",\"\",\"approach-retreat\",\"35\",\"445058\",\"0.0-35.0\",\"\",\"\",\"2-3\",\"3916\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"mala:na\",\"Right\",\"39\",\"2\",\"16\",\"1\",\"S\",\"J\",\"32\"
\"\",\"\",\"approach-retreat\",\"36\",\"450699\",\"0.0-36.0\",\"\",\"\",\"2-3\",\"4136\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"tapa:ka\",\"Left\",\"39\",\"3\",\"1\",\"1\",\"P\",\"J\",\"33\"
\"\",\"\",\"approach-retreat\",\"37\",\"456605\",\"0.0-37.0\",\"\",\"\",\"2-3\",\"4401\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"tapa:ka\",\"Up\",\"40\",\"3\",\"2\",\"1\",\"P\",\"J\",\"34\"
\"\",\"\",\"approach-retreat\",\"38\",\"462246\",\"0.0-38.0\",\"\",\"\",\"2-3\",\"4135\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"mala:na\",\"Down\",\"40\",\"3\",\"3\",\"1\",\"S\",\"J\",\"35\"
\"\",\"\",\"approach-retreat\",\"39\",\"467895\",\"0.0-39.0\",\"\",\"\",\"2-3\",\"4145\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"tapa:ka\",\"Up\",\"40\",\"3\",\"4\",\"1\",\"P\",\"J\",\"36\"
\"\",\"\",\"approach-retreat\",\"40\",\"473627\",\"0.0-40.0\",\"\",\"\",\"2-3\",\"4224\",\"38\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"tapa:ka\",\"Down\",\"38\",\"3\",\"5\",\"1\",\"P\",\"J\",\"37\"
\"\",\"\",\"approach-retreat\",\"41\",\"479167\",\"0.0-41.0\",\"\",\"\",\"2-3\",\"4035\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mala:na\",\"Right\",\"39\",\"3\",\"6\",\"1\",\"S\",\"J\",\"38\"
\"\",\"\",\"approach-retreat\",\"42\",\"484672\",\"0.0-42.0\",\"\",\"\",\"2-3\",\"4001\",\"39\",\"1\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"tapa:ka\",\"Left\",\"39\",\"3\",\"7\",\"1\",\"P\",\"J\",\"39\"
\"\",\"\",\"approach-retreat\",\"43\",\"490369\",\"0.0-43.0\",\"\",\"\",\"2-3\",\"4192\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"mala:na\",\"Right\",\"39\",\"3\",\"8\",\"1\",\"S\",\"J\",\"40\"
\"\",\"\",\"approach-retreat\",\"44\",\"496601\",\"0.0-44.0\",\"\",\"\",\"2-3\",\"4727\",\"40\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"mala:na\",\"Down\",\"40\",\"3\",\"9\",\"1\",\"S\",\"J\",\"41\"
\"\",\"\",\"approach-retreat\",\"45\",\"502169\",\"0.0-45.0\",\"\",\"\",\"2-3\",\"4063\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"tapa:ka\",\"Up\",\"40\",\"3\",\"10\",\"1\",\"P\",\"J\",\"42\"
\"\",\"\",\"approach-retreat\",\"46\",\"507694\",\"0.0-46.0\",\"\",\"\",\"2-3\",\"4021\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapa:ka\",\"Left\",\"39\",\"3\",\"11\",\"1\",\"P\",\"J\",\"43\"
\"\",\"\",\"approach-retreat\",\"47\",\"513280\",\"0.0-47.0\",\"\",\"\",\"2-3\",\"4079\",\"39\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"mala:na\",\"Right\",\"39\",\"3\",\"12\",\"1\",\"S\",\"J\",\"44\"
\"\",\"\",\"approach-retreat\",\"48\",\"518793\",\"0.0-48.0\",\"\",\"\",\"2-3\",\"4008\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"mala:na\",\"Right\",\"39\",\"3\",\"13\",\"1\",\"S\",\"J\",\"45\"
\"\",\"\",\"approach-retreat\",\"49\",\"524513\",\"0.0-49.0\",\"\",\"\",\"2-3\",\"4216\",\"40\",\"0\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"tapa:ka\",\"Down\",\"38\",\"3\",\"14\",\"1\",\"P\",\"J\",\"46\"
\"\",\"\",\"approach-retreat\",\"50\",\"531289\",\"0.0-50.0\",\"\",\"\",\"2-3\",\"5272\",\"38\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"mala:na\",\"Up\",\"38\",\"3\",\"15\",\"1\",\"S\",\"J\",\"47\"
\"\",\"\",\"approach-retreat\",\"51\",\"537839\",\"0.0-51.0\",\"\",\"\",\"2-3\",\"5044\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mala:na\",\"Left\",\"37\",\"3\",\"16\",\"1\",\"S\",\"J\",\"48\"
\"\",\"\",\"approach-retreat\",\"52\",\"544004\",\"0.0-52.0\",\"\",\"\",\"2-3\",\"4660\",\"38\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"mala:na\",\"Up\",\"38\",\"4\",\"1\",\"1\",\"S\",\"J\",\"49\"
\"\",\"\",\"approach-retreat\",\"53\",\"549734\",\"0.0-53.0\",\"\",\"\",\"2-3\",\"4225\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"mala:na\",\"Right\",\"39\",\"4\",\"2\",\"1\",\"S\",\"J\",\"50\"
\"\",\"\",\"approach-retreat\",\"54\",\"555293\",\"0.0-54.0\",\"\",\"\",\"2-3\",\"4055\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"tapa:ka\",\"Up\",\"40\",\"4\",\"3\",\"1\",\"P\",\"J\",\"51\"
\"\",\"\",\"approach-retreat\",\"55\",\"560787\",\"0.0-55.0\",\"\",\"\",\"2-3\",\"3989\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"tapa:ka\",\"Up\",\"40\",\"4\",\"4\",\"1\",\"P\",\"J\",\"52\"
\"\",\"\",\"approach-retreat\",\"56\",\"566821\",\"0.0-56.0\",\"\",\"\",\"2-3\",\"4528\",\"40\",\"1\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"mala:na\",\"Down\",\"40\",\"4\",\"5\",\"1\",\"S\",\"J\",\"53\"
\"\",\"\",\"approach-retreat\",\"57\",\"572397\",\"0.0-57.0\",\"\",\"\",\"2-3\",\"4069\",\"37\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"tapa:ka\",\"Right\",\"37\",\"4\",\"6\",\"1\",\"P\",\"J\",\"54\"
\"\",\"\",\"approach-retreat\",\"58\",\"578633\",\"0.0-58.0\",\"\",\"\",\"2-3\",\"4732\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"mala:na\",\"Right\",\"39\",\"4\",\"7\",\"1\",\"S\",\"J\",\"55\"
\"\",\"\",\"approach-retreat\",\"59\",\"584370\",\"0.0-59.0\",\"\",\"\",\"2-3\",\"4231\",\"40\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"mala:na\",\"Down\",\"40\",\"4\",\"8\",\"1\",\"S\",\"J\",\"56\"
\"\",\"\",\"approach-retreat\",\"60\",\"589843\",\"0.0-60.0\",\"\",\"\",\"2-3\",\"3968\",\"40\",\"1\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"mala:na\",\"Down\",\"40\",\"4\",\"9\",\"1\",\"S\",\"J\",\"57\"
