\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"46426\",\"32\",\"text\",\"0\",\"46437\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"50079\",\"\",\"instructions\",\"1\",\"96522\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":50079}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"19385\",\"\",\"survey-multi-choice\",\"2\",\"115947\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"123220\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"19\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"131290\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"6551\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-C-30-1.bmp\",\"pa:pata\",\"Left\",\"37\",\"1\",\"1\",\"2\",\"P\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"138426\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"5631\",\"37\",\"0\",\"Training\",\"Stims/Figures/85-C-20-2.bmp\",\"pa:pata\",\"Right\",\"39\",\"1\",\"2\",\"2\",\"P\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"145192\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"5261\",\"39\",\"1\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"nalala\",\"Left\",\"39\",\"1\",\"3\",\"2\",\"S\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"152135\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"5437\",\"40\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"pa:pata\",\"Up\",\"38\",\"1\",\"4\",\"2\",\"P\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"160407\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"6766\",\"38\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"nalala\",\"Down\",\"38\",\"1\",\"5\",\"2\",\"S\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"167127\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"5213\",\"37\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"pa:pata\",\"Left\",\"37\",\"1\",\"6\",\"2\",\"P\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"174684\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"6047\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"pa:pata\",\"Down\",\"40\",\"1\",\"7\",\"2\",\"P\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"181955\",\"0.0-11.0\",\"\",\"\",\"1-4\",\"5757\",\"40\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"nalala\",\"Up\",\"40\",\"1\",\"8\",\"2\",\"S\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"187865\",\"0.0-12.0\",\"\",\"\",\"1-4\",\"4397\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"nalala\",\"Up\",\"40\",\"1\",\"9\",\"2\",\"S\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"195191\",\"0.0-13.0\",\"\",\"\",\"1-4\",\"5821\",\"37\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"nalala\",\"Right\",\"37\",\"1\",\"10\",\"2\",\"S\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"201565\",\"0.0-14.0\",\"\",\"\",\"1-4\",\"4862\",\"39\",\"1\",\"Training\",\"Stims/Figures/144-J-10-3.bmp\",\"nalala\",\"Left\",\"39\",\"1\",\"11\",\"2\",\"S\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"208342\",\"0.0-15.0\",\"\",\"\",\"1-4\",\"5267\",\"38\",\"0\",\"Training\",\"Stims/Figures/27-C-30-1.bmp\",\"pa:pata\",\"Down\",\"40\",\"1\",\"12\",\"2\",\"P\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"214423\",\"0.0-16.0\",\"\",\"\",\"1-4\",\"4577\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"nalala\",\"Up\",\"40\",\"1\",\"13\",\"2\",\"S\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"220906\",\"0.0-17.0\",\"\",\"\",\"1-4\",\"4971\",\"39\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"pa:pata\",\"Right\",\"39\",\"1\",\"14\",\"2\",\"P\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"227962\",\"0.0-18.0\",\"\",\"\",\"1-4\",\"5552\",\"39\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"pa:pata\",\"Right\",\"39\",\"1\",\"15\",\"2\",\"P\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"234952\",\"0.0-19.0\",\"\",\"\",\"1-4\",\"5479\",\"38\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"nalala\",\"Down\",\"38\",\"1\",\"16\",\"2\",\"S\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"241342\",\"0.0-20.0\",\"\",\"\",\"1-4\",\"4871\",\"39\",\"0\",\"Training\",\"Stims/Figures/144-C-30-3.bmp\",\"pa:pata\",\"Left\",\"37\",\"2\",\"1\",\"2\",\"P\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"247807\",\"0.0-21.0\",\"\",\"\",\"1-4\",\"4959\",\"37\",\"1\",\"Training\",\"Stims/Figures/86-J-0-1.bmp\",\"nalala\",\"Right\",\"37\",\"2\",\"2\",\"2\",\"S\",\"J\",\"18\"
\"\",\"\",\"approach-retreat\",\"22\",\"254086\",\"0.0-22.0\",\"\",\"\",\"1-4\",\"4774\",\"39\",\"1\",\"Training\",\"Stims/Figures/27-J-0-1.bmp\",\"nalala\",\"Left\",\"39\",\"2\",\"3\",\"2\",\"S\",\"J\",\"19\"
\"\",\"\",\"approach-retreat\",\"23\",\"260859\",\"0.0-23.0\",\"\",\"\",\"1-4\",\"5261\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"nalala\",\"Up\",\"40\",\"2\",\"4\",\"2\",\"S\",\"J\",\"20\"
\"\",\"\",\"approach-retreat\",\"24\",\"267484\",\"0.0-24.0\",\"\",\"\",\"1-4\",\"5113\",\"38\",\"1\",\"Training\",\"Stims/Figures/85-J-0-2.bmp\",\"nalala\",\"Down\",\"38\",\"2\",\"5\",\"2\",\"S\",\"J\",\"21\"
\"\",\"\",\"approach-retreat\",\"25\",\"274434\",\"0.0-25.0\",\"\",\"\",\"1-4\",\"5438\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-C-20-4.bmp\",\"pa:pata\",\"Down\",\"40\",\"2\",\"6\",\"2\",\"P\",\"J\",\"22\"
\"\",\"\",\"approach-retreat\",\"26\",\"280665\",\"0.0-26.0\",\"\",\"\",\"1-4\",\"4720\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"nalala\",\"Up\",\"40\",\"2\",\"7\",\"2\",\"S\",\"J\",\"23\"
\"\",\"\",\"approach-retreat\",\"27\",\"286496\",\"0.0-27.0\",\"\",\"\",\"1-4\",\"4317\",\"40\",\"1\",\"Training\",\"Stims/Figures/74-J-10-4.bmp\",\"nalala\",\"Up\",\"40\",\"2\",\"8\",\"2\",\"S\",\"J\",\"24\"
