\"rt\",\"key_press\",\"trial_type\",\"trial_index\",\"time_elapsed\",\"internal_node_id\",\"view_history\",\"responses\",\"Id\",\"Rt\",\"ResKeyCode\",\"ResCorr\",\"TrialType2\",\"Image\",\"Label\",\"Location\",\"CorrectResponse\",\"Block\",\"BlockTrial\",\"Condition\",\"LabelType\",\"Subcondition\",\"trialNum\"
\"4331\",\"32\",\"text\",\"0\",\"4334\",\"0.0-0.0-0.0\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"109220\",\"\",\"instructions\",\"1\",\"113555\",\"0.0-1.0\",\"[{\"\"page_index\"\":0,\"\"viewing_time\"\":109219}]\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"44516\",\"\",\"survey-multi-choice\",\"2\",\"158118\",\"0.0-2.0\",\"\",\"{\"\"Q0\"\":\"\"Da\"\",\"\"Q1\"\":\"\"Da\"\",\"\"Q2\"\":\"\"Da\"\",\"\"Q3\"\":\"\"Da\"\",\"\"Q4\"\":\"\"Da\"\",\"\"Q5\"\":\"\"Da\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"bio\",\"3\",\"167061\",\"0.0-3.0\",\"\",\"{\"\"age\"\":\"\"20\"\",\"\"gender\"\":\"\"f\"\",\"\"specify\"\":\"\"\"\"}\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\",\"\"
\"\",\"\",\"approach-retreat\",\"4\",\"178175\",\"0.0-4.0\",\"\",\"\",\"1-4\",\"9594\",\"37\",\"1\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:ha:ha\",\"Left\",\"37\",\"1\",\"1\",\"6A\",\"C2\",\"J\",\"1\"
\"\",\"\",\"approach-retreat\",\"5\",\"187139\",\"0.0-5.0\",\"\",\"\",\"1-4\",\"7450\",\"40\",\"1\",\"Training\",\"Stims/Figures/118-C-20-2.bmp\",\"zahaza\",\"Down\",\"40\",\"1\",\"2\",\"6A\",\"C2\",\"J\",\"2\"
\"\",\"\",\"approach-retreat\",\"6\",\"197269\",\"0.0-6.0\",\"\",\"\",\"1-4\",\"8619\",\"39\",\"1\",\"Training\",\"Stims/Figures/139-J-0-2.bmp\",\"fafa:sha\",\"Left\",\"39\",\"1\",\"3\",\"6A\",\"C1\",\"J\",\"3\"
\"\",\"\",\"approach-retreat\",\"7\",\"204027\",\"0.0-7.0\",\"\",\"\",\"1-4\",\"5247\",\"40\",\"1\",\"Training\",\"Stims/Figures/128-J-10-3.bmp\",\"va:sha:va\",\"Up\",\"40\",\"1\",\"4\",\"6A\",\"C1\",\"J\",\"4\"
\"\",\"\",\"approach-retreat\",\"8\",\"210323\",\"0.0-8.0\",\"\",\"\",\"1-4\",\"4785\",\"40\",\"0\",\"Training\",\"Stims/Figures/118-J-0-2.bmp\",\"va:fasha\",\"Down\",\"38\",\"1\",\"5\",\"6A\",\"C1\",\"J\",\"5\"
\"\",\"\",\"approach-retreat\",\"9\",\"219371\",\"0.0-9.0\",\"\",\"\",\"1-4\",\"7534\",\"39\",\"1\",\"Training\",\"Stims/Figures/7-J-10-4.bmp\",\"va:fa:va\",\"Left\",\"39\",\"1\",\"6\",\"6A\",\"C1\",\"J\",\"6\"
\"\",\"\",\"approach-retreat\",\"10\",\"229057\",\"0.0-10.0\",\"\",\"\",\"1-4\",\"8175\",\"38\",\"1\",\"Training\",\"Stims/Figures/128-C-30-3.bmp\",\"sa:sa:za\",\"Up\",\"38\",\"1\",\"7\",\"6A\",\"C2\",\"J\",\"7\"
\"\",\"\",\"approach-retreat\",\"11\",\"235493\",\"0.0-11.0\",\"\",\"\",\"1-4\",\"4924\",\"38\",\"1\",\"Training\",\"Stims/Figures/19-C-20-4.bmp\",\"sasa:ha\",\"Up\",\"38\",\"1\",\"8\",\"6A\",\"C2\",\"J\",\"8\"
\"\",\"\",\"approach-retreat\",\"12\",\"247973\",\"0.0-12.0\",\"\",\"\",\"1-4\",\"10968\",\"39\",\"0\",\"Training\",\"Stims/Figures/44-J-10-3.bmp\",\"fashasha\",\"Right\",\"37\",\"1\",\"9\",\"6A\",\"C1\",\"J\",\"9\"
\"\",\"\",\"approach-retreat\",\"13\",\"256605\",\"0.0-13.0\",\"\",\"\",\"1-4\",\"7121\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"vasha:sha\",\"Right\",\"37\",\"1\",\"10\",\"6A\",\"C1\",\"J\",\"10\"
\"\",\"\",\"approach-retreat\",\"14\",\"264212\",\"0.0-14.0\",\"\",\"\",\"1-4\",\"6095\",\"40\",\"1\",\"Training\",\"Stims/Figures/7-C-20-4.bmp\",\"za:saza\",\"Down\",\"40\",\"1\",\"11\",\"6A\",\"C2\",\"J\",\"11\"
\"\",\"\",\"approach-retreat\",\"15\",\"271349\",\"0.0-15.0\",\"\",\"\",\"1-4\",\"5625\",\"40\",\"1\",\"Training\",\"Stims/Figures/57-J-0-1.bmp\",\"fa:fa:va\",\"Up\",\"40\",\"1\",\"12\",\"6A\",\"C1\",\"J\",\"12\"
\"\",\"\",\"approach-retreat\",\"16\",\"280154\",\"0.0-16.0\",\"\",\"\",\"1-4\",\"7295\",\"39\",\"1\",\"Training\",\"Stims/Figures/57-C-30-1.bmp\",\"za:saha\",\"Right\",\"39\",\"1\",\"13\",\"6A\",\"C2\",\"J\",\"13\"
\"\",\"\",\"approach-retreat\",\"17\",\"288009\",\"0.0-17.0\",\"\",\"\",\"1-4\",\"6342\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-C-30-1.bmp\",\"za:ha:za\",\"Left\",\"37\",\"1\",\"14\",\"6A\",\"C2\",\"J\",\"14\"
\"\",\"\",\"approach-retreat\",\"18\",\"294690\",\"0.0-18.0\",\"\",\"\",\"1-4\",\"5169\",\"40\",\"0\",\"Training\",\"Stims/Figures/19-J-10-4.bmp\",\"vafa:sha\",\"Down\",\"38\",\"1\",\"15\",\"6A\",\"C1\",\"J\",\"15\"
\"\",\"\",\"approach-retreat\",\"19\",\"304610\",\"0.0-19.0\",\"\",\"\",\"1-4\",\"8407\",\"37\",\"0\",\"Training\",\"Stims/Figures/139-C-20-2.bmp\",\"sahaha\",\"Right\",\"39\",\"1\",\"16\",\"6A\",\"C2\",\"J\",\"16\"
\"\",\"\",\"approach-retreat\",\"20\",\"314466\",\"0.0-20.0\",\"\",\"\",\"1-4\",\"8344\",\"37\",\"0\",\"Training\",\"Stims/Figures/44-C-30-3.bmp\",\"za:ha:ha\",\"Right\",\"39\",\"2\",\"1\",\"6A\",\"C2\",\"J\",\"17\"
\"\",\"\",\"approach-retreat\",\"21\",\"320754\",\"0.0-21.0\",\"\",\"\",\"1-4\",\"4776\",\"37\",\"1\",\"Training\",\"Stims/Figures/93-J-0-1.bmp\",\"vasha:sha\",\"Right\",\"37\",\"2\",\"2\",\"6A\",\"C1\",\"J\",\"18\"
